diet,sex,order,hour,emmean,SE,df,lower.CL,upper.CL
NR,F,1,0,7.171428571,1.048671364,623.9677394,5.112075895,9.230781248
PR,F,1,0,10.31428571,1.048671364,623.9677394,8.254933038,12.37363839
NR,M,1,0,6.595238095,0.957301603,623.9677394,4.715314904,8.475161287
PR,M,1,0,6.047619048,0.957301603,623.9677394,4.167695856,7.927542239
NR,F,2,0,8.047619048,0.957301603,623.9677394,6.167695856,9.927542239
PR,F,2,0,7.476190476,0.957301603,623.9677394,5.596267285,9.356113668
NR,M,2,0,6.761904762,0.957301603,623.9677394,4.88198157,8.641827953
PR,M,2,0,7.619047619,0.957301603,623.9677394,5.739124428,9.498970811
NR,F,1,1,2.314285714,1.048671364,623.9677394,0.254933038,4.373638391
PR,F,1,1,2.885714286,1.048671364,623.9677394,0.826361609,4.945066962
NR,M,1,1,6.19047619,0.957301603,623.9677394,4.310552999,8.070399382
PR,M,1,1,6.904761905,0.957301603,623.9677394,5.024838713,8.784685096
NR,F,2,1,2.880952381,0.957301603,623.9677394,1.001029189,4.760875572
PR,F,2,1,1.976190476,0.957301603,623.9677394,0.096267285,3.856113668
NR,M,2,1,5.785714286,0.957301603,623.9677394,3.905791094,7.665637477
PR,M,2,1,6.5,0.957301603,623.9677394,4.620076808,8.379923192
NR,F,1,2,5.6,1.048671364,623.9677394,3.540647323,7.659352677
PR,F,1,2,6.171428571,1.048671364,623.9677394,4.112075895,8.230781248
NR,M,1,2,4.071428571,0.957301603,623.9677394,2.19150538,5.951351763
PR,M,1,2,6.333333333,0.957301603,623.9677394,4.453410142,8.213256525
NR,F,2,2,5.738095238,0.957301603,623.9677394,3.858172047,7.61801843
PR,F,2,2,7,0.957301603,623.9677394,5.120076808,8.879923192
NR,M,2,2,7,0.957301603,623.9677394,5.120076808,8.879923192
PR,M,2,2,6.833333333,0.957301603,623.9677394,4.953410142,8.713256525
NR,F,1,3,4.542857143,1.048671364,623.9677394,2.483504466,6.60220982
PR,F,1,3,6.342857143,1.048671364,623.9677394,4.283504466,8.40220982
NR,M,1,3,7.238095238,0.957301603,623.9677394,5.358172047,9.11801843
PR,M,1,3,5.166666667,0.957301603,623.9677394,3.286743475,7.046589858
NR,F,2,3,6.404761905,0.957301603,623.9677394,4.524838713,8.284685096
PR,F,2,3,4.619047619,0.957301603,623.9677394,2.739124428,6.498970811
NR,M,2,3,7.976190476,0.957301603,623.9677394,6.096267285,9.856113668
PR,M,2,3,5.261904762,0.957301603,623.9677394,3.38198157,7.141827953
NR,F,1,4,5.485714286,1.048671364,623.9677394,3.426361609,7.545066962
PR,F,1,4,3,1.048671364,623.9677394,0.940647323,5.059352677
NR,M,1,4,4.666666667,0.957301603,623.9677394,2.786743475,6.546589858
PR,M,1,4,4.523809524,0.957301603,623.9677394,2.643886332,6.403732715
NR,F,2,4,5.523809524,0.957301603,623.9677394,3.643886332,7.403732715
PR,F,2,4,4.523809524,0.957301603,623.9677394,2.643886332,6.403732715
NR,M,2,4,8,0.957301603,623.9677394,6.120076808,9.879923192
PR,M,2,4,5.476190476,0.957301603,623.9677394,3.596267285,7.356113668
NR,F,1,5,3.571428571,1.048671364,623.9677394,1.512075895,5.630781248
PR,F,1,5,4.342857143,1.048671364,623.9677394,2.283504466,6.40220982
NR,M,1,5,3.69047619,0.957301603,623.9677394,1.810552999,5.570399382
PR,M,1,5,5.023809524,0.957301603,623.9677394,3.143886332,6.903732715
NR,F,2,5,4.714285714,0.957301603,623.9677394,2.834362523,6.594208906
PR,F,2,5,2.976190476,0.957301603,623.9677394,1.096267285,4.856113668
NR,M,2,5,7.19047619,0.957301603,623.9677394,5.310552999,9.070399382
PR,M,2,5,5.119047619,0.957301603,623.9677394,3.239124428,6.998970811
NR,F,1,6,4.542857143,1.048671364,623.9677394,2.483504466,6.60220982
PR,F,1,6,3.542857143,1.048671364,623.9677394,1.483504466,5.60220982
NR,M,1,6,3.214285714,0.957301603,623.9677394,1.334362523,5.094208906
PR,M,1,6,3.30952381,0.957301603,623.9677394,1.429600618,5.189447001
NR,F,2,6,3.380952381,0.957301603,623.9677394,1.501029189,5.260875572
PR,F,2,6,2.833333333,0.957301603,623.9677394,0.953410142,4.713256525
NR,M,2,6,3.047619048,0.957301603,623.9677394,1.167695856,4.927542239
PR,M,2,6,3.119047619,0.957301603,623.9677394,1.239124428,4.998970811
NR,F,1,7,2.8,1.048671364,623.9677394,0.740647323,4.859352677
PR,F,1,7,1.485714286,1.048671364,623.9677394,-0.573638391,3.545066962
NR,M,1,7,2.19047619,0.957301603,623.9677394,0.310552999,4.070399382
