contrast,hour,estimate,SE,df,t.ratio,p.value
NR F order1 - PR F order1,0,-3.142857143,1.407640553,893,-2.232712844,0.645376743
NR F order1 - NR M order1,0,0.576190476,1.41990774,623.9677394,0.405794306,1
NR F order1 - PR M order1,0,1.123809524,1.41990774,623.9677394,0.791466581,1
NR F order1 - NR F order2,0,-0.876190476,1.41990774,623.9677394,-0.617075639,1
NR F order1 - PR F order2,0,-0.304761905,1.41990774,623.9677394,-0.214635005,1
NR F order1 - NR M order2,0,0.40952381,1.41990774,623.9677394,0.288415788,1
NR F order1 - PR M order2,0,-0.447619048,1.41990774,623.9677394,-0.315245164,1
PR F order1 - NR M order1,0,3.719047619,1.41990774,623.9677394,2.619217795,0.243739176
PR F order1 - PR M order1,0,4.266666667,1.41990774,623.9677394,3.00489007,0.077373843
PR F order1 - NR F order2,0,2.266666667,1.41990774,623.9677394,1.596347849,1
PR F order1 - PR F order2,0,2.838095238,1.41990774,623.9677394,1.998788484,1
PR F order1 - NR M order2,0,3.552380952,1.41990774,623.9677394,2.501839277,0.327857787
PR F order1 - PR M order2,0,2.695238095,1.41990774,623.9677394,1.898178325,1
NR M order1 - PR M order1,0,0.547619048,1.28499414,893,0.426164627,1
NR M order1 - NR F order2,0,-1.452380952,1.35382891,623.9677394,-1.072795049,1
NR M order1 - PR F order2,0,-0.880952381,1.35382891,623.9677394,-0.650711751,1
NR M order1 - NR M order2,0,-0.166666667,1.35382891,623.9677394,-0.123107629,1
NR M order1 - PR M order2,0,-1.023809524,1.35382891,623.9677394,-0.756232576,1
PR M order1 - NR F order2,0,-2,1.35382891,623.9677394,-1.477291543,1
PR M order1 - PR F order2,0,-1.428571429,1.35382891,623.9677394,-1.055208245,1
PR M order1 - NR M order2,0,-0.714285714,1.35382891,623.9677394,-0.527604123,1
PR M order1 - PR M order2,0,-1.571428571,1.35382891,623.9677394,-1.16072907,1
NR F order2 - PR F order2,0,0.571428571,1.28499414,893,0.444693523,1
NR F order2 - NR M order2,0,1.285714286,1.35382891,623.9677394,0.949687421,1
NR F order2 - PR M order2,0,0.428571429,1.35382891,623.9677394,0.316562474,1
PR F order2 - NR M order2,0,0.714285714,1.35382891,623.9677394,0.527604123,1
PR F order2 - PR M order2,0,-0.142857143,1.35382891,623.9677394,-0.105520825,1
NR M order2 - PR M order2,0,-0.857142857,1.28499414,893,-0.667040285,1
NR F order1 - PR F order1,1,-0.571428571,1.407640553,893,-0.40594779,1
NR F order1 - NR M order1,1,-3.876190476,1.41990774,623.9677394,-2.729888969,0.130287299
NR F order1 - PR M order1,1,-4.59047619,1.41990774,623.9677394,-3.232939762,0.033535364
NR F order1 - NR F order2,1,-0.566666667,1.41990774,623.9677394,-0.399086962,1
NR F order1 - PR F order2,1,0.338095238,1.41990774,623.9677394,0.238110709,1
NR F order1 - NR M order2,1,-3.471428571,1.41990774,623.9677394,-2.444826854,0.251051197
NR F order1 - PR M order2,1,-4.185714286,1.41990774,623.9677394,-2.947877646,0.076342193
PR F order1 - NR M order1,1,-3.304761905,1.41990774,623.9677394,-2.327448335,0.303905526
PR F order1 - PR M order1,1,-4.019047619,1.41990774,623.9677394,-2.830499128,0.105537878
PR F order1 - NR F order2,1,0.004761905,1.41990774,623.9677394,0.003353672,1
PR F order1 - PR F order2,1,0.90952381,1.41990774,623.9677394,0.640551343,1
PR F order1 - NR M order2,1,-2.9,1.41990774,623.9677394,-2.042386219,0.539929755
PR F order1 - PR M order2,1,-3.614285714,1.41990774,623.9677394,-2.545437012,0.200764485
NR M order1 - PR M order1,1,-0.714285714,1.28499414,893,-0.555866904,1
NR M order1 - NR F order2,1,3.30952381,1.35382891,623.9677394,2.444565768,0.251051197
NR M order1 - PR F order2,1,4.214285714,1.35382891,623.9677394,3.112864324,0.048439152
NR M order1 - NR M order2,1,0.404761905,1.35382891,623.9677394,0.29897567,1
NR M order1 - PR M order2,1,-0.30952381,1.35382891,623.9677394,-0.228628453,1
PR M order1 - NR F order2,1,4.023809524,1.35382891,623.9677394,2.972169891,0.073702816
PR M order1 - PR F order2,1,4.928571429,1.35382891,623.9677394,3.640468446,0.008251792
