"sex","order","hour","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","0","diet","NR","PR",0,0.6,-1.31239233125692,2.51239233125692,0.49,"ns"
"F","1","1","diet","NR","PR",0,0.228571428571429,-0.435209942525139,0.892352799667996,0.45,"ns"
"F","1","2","diet","NR","PR",0,0.314285714285714,-0.599843114894554,1.22841454346598,0.451,"ns"
"F","1","3","diet","NR","PR",0,0.628571428571429,-0.126964140991899,1.38410699813476,0.0913,"ns"
"F","1","4","diet","NR","PR",0,-0.257142857142857,-1.11112085115619,0.59683513687048,0.507,"ns"
"F","1","5","diet","NR","PR",0,0.114285714285714,-0.344556015167786,0.573127443739214,0.582,"ns"
"F","1","6","diet","NR","PR",0,0.2,-0.407437363084903,0.807437363084903,0.469,"ns"
"F","1","7","diet","NR","PR",0,0.0857142857142857,-0.338725500467161,0.510154071895732,0.654,"ns"
"F","1","8","diet","NR","PR",0,0.0857142857142859,-0.658241509415579,0.829670080844151,0.797,"ns"
"F","1","9","diet","NR","PR",0,0.228571428571429,-0.375282201979487,0.832425059122344,0.408,"ns"
"F","1","10","diet","NR","PR",0,-0.142857142857143,-0.866102346445236,0.580388060730951,0.661,"ns"
"F","1","11","diet","NR","PR",0,0.257142857142858,-0.578854639064468,1.09314035335018,0.498,"ns"
"F","1","12","diet","NR","PR",0,0.342857142857143,-0.278708559092065,0.964422844806351,0.239,"ns"
"F","1","13","diet","NR","PR",0,0.857142857142857,-1.15210499617859,2.86639071046431,0.354,"ns"
"F","1","14","diet","NR","PR",0,0.942857142857144,-1.16908955934053,3.05480384505481,0.333,"ns"
"F","1","15","diet","NR","PR",0,0.6,-1.51707902252932,2.71707902252932,0.532,"ns"
"F","1","16","diet","NR","PR",0,0.742857142857143,-1.41333159909042,2.8990458848047,0.45,"ns"
"F","1","17","diet","NR","PR",0,0.114285714285715,-1.81336756324308,2.04193899181451,0.895,"ns"
"F","1","18","diet","NR","PR",0,1.17142857142857,-0.522490932170691,2.86534807502784,0.149,"ns"
"F","1","19","diet","NR","PR",0,0.657142857142857,-0.939824261628109,2.25410997591382,0.37,"ns"
"F","1","20","diet","NR","PR",0,0.371428571428571,-1.22077451804795,1.96363166090509,0.605,"ns"
"F","1","21","diet","NR","PR",0,0.571428571428572,-0.809818844140762,1.95267598699791,0.368,"ns"
"F","1","22","diet","NR","PR",0,-0.4,-1.7749475085431,0.974947508543105,0.521,"ns"
"F","1","23","diet","NR","PR",0,0.571428571428572,-1.30139867558345,2.4442558184406,0.502,"ns"
"M","1","0","diet","NR","PR",0,-0.0952380952380949,-0.875645871861997,0.685169681385807,0.791,"ns"
"M","1","1","diet","NR","PR",0,-0.238095238095238,-0.763272600908628,0.287082124718152,0.336,"ns"
"M","1","2","diet","NR","PR",0,0.595238095238095,0.223881620667079,0.966594569809111,0.00508,"**"
"M","1","3","diet","NR","PR",0,0.523809523809524,0.00185743630780411,1.04576161131124,0.0493,"*"
"M","1","4","diet","NR","PR",0,0.30952380952381,-0.0526240465755544,0.671671665623173,0.086,"ns"
"M","1","5","diet","NR","PR",0,0.380952380952381,0.0556502691460086,0.706254492758753,0.0261,"*"
"M","1","6","diet","NR","PR",0,0.119047619047619,-0.12864964351982,0.366744881615058,0.309,"ns"
"M","1","7","diet","NR","PR",0,0.142857142857143,-0.28419456509881,0.569908850813096,0.473,"ns"
"M","1","8","diet","NR","PR",0,0,-0.430987751603593,0.430987751603593,1,"ns"
"M","1","9","diet","NR","PR",0,0,-0.396996770344277,0.396996770344277,1,"ns"
"M","1","10","diet","NR","PR",0,0.261904761904762,-0.227200599068243,0.751010122877767,0.26,"ns"
"M","1","11","diet","NR","PR",0,0.238095238095238,-0.178278487336814,0.65446896352729,0.231,"ns"
"M","1","12","diet","NR","PR",0,-0.19047619047619,-0.84882085558362,0.46786847463124,0.534,"ns"
"M","1","13","diet","NR","PR",0,1.09523809523809,0.0567399854457857,2.1337362050304,0.0406,"*"
"M","1","14","diet","NR","PR",0,0.761904761904762,-0.71706520904205,2.24087473285157,0.278,"ns"
"M","1","15","diet","NR","PR",0,0.357142857142857,-1.22747326299493,1.94175897728065,0.626,"ns"
"M","1","16","diet","NR","PR",0,0.285714285714286,-0.979080291277345,1.55050886270592,0.626,"ns"
"M","1","17","diet","NR","PR",0,0.11904761904762,-0.815913790747805,1.05400902884304,0.782,"ns"
"M","1","18","diet","NR","PR",0,-0.238095238095237,-1.2568940184594,0.780703542268929,0.614,"ns"
"M","1","19","diet","NR","PR",0,-0.214285714285714,-0.725890306942348,0.29731887837092,0.373,"ns"
"M","1","20","diet","NR","PR",0,-0.142857142857143,-0.78387390783337,0.498159622119084,0.63,"ns"
"M","1","21","diet","NR","PR",0,-0.0714285714285712,-0.7675893213033,0.624732178446158,0.824,"ns"
"M","1","22","diet","NR","PR",0,0.523809523809524,0.0711635624192523,0.976455485199795,0.0275,"*"
"M","1","23","diet","NR","PR",0,-0.404761904761905,-1.33610409551576,0.526580285991955,0.356,"ns"
"F","2","0","diet","NR","PR",0,0.30952380952381,-0.329293920618157,0.948341539665776,0.306,"ns"
"F","2","1","diet","NR","PR",0,-0.0476190476190474,-0.459917238818017,0.364679143579922,0.802,"ns"
"F","2","2","diet","NR","PR",0,0.547619047619048,-0.46257977980208,1.55781787504017,0.255,"ns"
"F","2","3","diet","NR","PR",0,-0.238095238095238,-1.07757479083496,0.601384314644479,0.542,"ns"
"F","2","4","diet","NR","PR",0,-0.142857142857143,-0.795189401979919,0.509475116265633,0.636,"ns"
"F","2","5","diet","NR","PR",0,-0.523809523809524,-1.29112472190592,0.243505674286877,0.159,"ns"
"F","2","6","diet","NR","PR",0,-0.166666666666667,-0.783975216931396,0.450641883598063,0.561,"ns"
"F","2","7","diet","NR","PR",0,-0.0952380952380952,-0.440680691051903,0.250204500575712,0.553,"ns"
"F","2","8","diet","NR","PR",0,-0.380952380952381,-0.918837485290216,0.156932723385454,0.146,"ns"
"F","2","9","diet","NR","PR",0,-0.0476190476190473,-0.488931322624231,0.393693227386137,0.815,"ns"
"F","2","10","diet","NR","PR",0,-0.119047619047619,-0.78715235709768,0.549057119002441,0.7,"ns"
"F","2","11","diet","NR","PR",0,0.404761904761905,0.092707002484877,0.716816807038933,0.0161,"*"
"F","2","12","diet","NR","PR",0,0.452380952380953,-0.153886911828463,1.05864881659037,0.127,"ns"
"F","2","13","diet","NR","PR",0,-0.166666666666666,-1.00915811505912,0.675824781725788,0.669,"ns"
"F","2","14","diet","NR","PR",0,0.833333333333334,-0.217289305759256,1.88395597242592,0.108,"ns"
"F","2","15","diet","NR","PR",0,1.19047619047619,0.0706115005328716,2.31034088041951,0.0394,"*"
"F","2","16","diet","NR","PR",0,1.07142857142857,0.106834952051109,2.03602219080604,0.0328,"*"
"F","2","17","diet","NR","PR",0,0.571428571428572,-0.350498211092528,1.49335535394967,0.197,"ns"
"F","2","18","diet","NR","PR",0,1.14285714285714,0.0341055033194431,2.25160878239484,0.0445,"*"
"F","2","19","diet","NR","PR",0,0.738095238095238,-0.0519896062436918,1.52818008243417,0.064,"ns"
"F","2","20","diet","NR","PR",0,0.452380952380953,-0.350425217151528,1.25518712191343,0.238,"ns"
"F","2","21","diet","NR","PR",0,0.952380952380953,0.062768981304147,1.84199292345776,0.0383,"*"
"F","2","22","diet","NR","PR",0,0.142857142857143,-0.920810594744709,1.206524880459,0.771,"ns"
"F","2","23","diet","NR","PR",0,1,0.0774628719750895,1.92253712802491,0.0364,"*"
"M","2","0","diet","NR","PR",0,0.619047619047619,-0.137183965461121,1.37527920355636,0.0981,"ns"
"M","2","1","diet","NR","PR",0,1.35714285714286,0.654543489292248,2.05974222499347,0.00155,"**"
"M","2","2","diet","NR","PR",0,0.238095238095238,-0.394969253633618,0.871159729824095,0.422,"ns"
