"diet","sex","order","hour","emmean","SE","df","lower.CL","upper.CL"
"NR","F","1","0",1.59999999999973,0.322311977015501,172.47054210041,0.963816101990209,2.23618389800925
"PR","F","1","0",2.20000000000003,0.322311977015502,172.470542100376,1.56381610199051,2.83618389800955
"NR","M","1","0",1.35714285714293,0.294229233942453,172.470542100422,0.776389071040646,1.93789664324522
"PR","M","1","0",1.26190476190476,0.294229233942454,172.470542100446,0.681150975802474,1.84265854800704
"NR","F","2","0",1.50000000000015,0.294229233942453,172.470542100427,0.919246213897866,2.08075378610243
"PR","F","2","0",1.80952380952392,0.294229233942453,172.470542100452,1.22877002342163,2.3902775956262
"NR","M","2","0",1.0952380952381,0.294229233942456,172.470542100446,0.51448430913581,1.67599188134039
"PR","M","2","0",1.71428571428571,0.294229233942456,172.470542100462,1.13353192818342,2.295039500388
"NR","F","1","1",0.428571428571333,0.322311977015496,172.47054210045,-0.207612469438176,1.06475532658084
"PR","F","1","1",0.657142857142764,0.322311977015496,172.470542100452,0.0209589591332546,1.29332675515227
"NR","M","1","1",1.40476190476192,0.294229233942458,172.470542100467,0.824008118659629,1.98551569086421
"PR","M","1","1",1.16666666666668,0.294229233942458,172.470542100467,0.585912880564391,1.74742045276898
"NR","F","2","1",0.547619047619115,0.294229233942457,172.470542100464,-0.0331347384831769,1.12837283372141
"PR","F","2","1",0.500000000000067,0.294229233942456,172.470542100462,-0.0807537861022228,1.08075378610236
"NR","M","2","1",0.38095238095238,0.294229233942457,172.470542100471,-0.199801405149911,0.961706167054672
"PR","M","2","1",1.73809523809524,0.294229233942457,172.470542100471,1.15734145199295,2.31884902419753
"NR","F","1","2",1.37142857142848,0.322311977015496,172.47054210045,0.735244673418968,2.00761246943799
"PR","F","1","2",1.68571428571419,0.322311977015496,172.470542100452,1.04953038770468,2.3218981837237
"NR","M","1","2",0.833333333333349,0.294229233942458,172.470542100464,0.252579547231057,1.41408711943564
"PR","M","1","2",1.42857142857145,0.294229233942458,172.470542100467,0.847817642469153,2.00932521467374
"NR","F","2","2",1.3333333333334,0.294229233942458,172.470542100467,0.752579547231108,1.91408711943569
"PR","F","2","2",1.88095238095245,0.294229233942458,172.470542100469,1.30019859485016,2.46170616705474
"NR","M","2","2",1.23809523809524,0.294229233942457,172.470542100469,0.657341451992945,1.81884902419753
"PR","M","2","2",1.47619047619048,0.294229233942457,172.470542100471,0.895436690088184,2.05694426229277
"NR","F","1","3",1.0857142857142,0.322311977015496,172.47054210045,0.449530387704687,1.7218981837237
"PR","F","1","3",1.71428571428562,0.322311977015496,172.470542100452,1.07810181627611,2.35046961229513
"NR","M","1","3",0.952380952380968,0.294229233942457,172.470542100464,0.371627166278676,1.53313473848326
"PR","M","1","3",1.47619047619049,0.294229233942458,172.470542100469,0.8954366900882,2.05694426229279
"NR","F","2","3",1.47619047619054,0.294229233942457,172.470542100464,0.89543669008825,2.05694426229283
"PR","F","2","3",1.23809523809531,0.294229233942457,172.470542100464,0.657341451993013,1.8188490241976
"NR","M","2","3",1.26190476190476,0.294229233942457,172.470542100469,0.681150975802469,1.84265854800705
"PR","M","2","3",1.07142857142857,0.294229233942457,172.470542100467,0.490674785326279,1.65218235753086
"NR","F","1","4",1.05714285714276,0.322311977015496,172.470542100452,0.420958959133254,1.69332675515227
"PR","F","1","4",0.799999999999908,0.322311977015496,172.470542100452,0.163816101990398,1.43618389800942
