"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"diet",48.9432575083522,48.9432575083522,1,892.999998477503,135.002690575874,3.66276624090612e-29
"sex",0.495946439679518,0.495946439679518,1,18.9999996929502,1.36799443165046,0.256620544781533
"order",0.594661575680382,0.594661575680382,1,18.9999996958957,1.64028544044581,0.215700043711398
"hour",976.760152791279,42.4678327300556,23,893.000000214798,117.141195199467,7.21229013975011e-251
"diet:sex",1.46629366168776,1.46629366168776,1,892.999999818607,4.04455280624543,0.0446142181894349
"diet:order",6.29450367342415,6.29450367342415,1,893.000001284479,17.3624514389335,3.38887424091462e-05
"sex:order",0.113079621503816,0.113079621503816,1,18.9999996930791,0.311913303884839,0.58303107672649
"diet:hour",29.0084116186156,1.2612352877659,23,893.000000134967,3.47892980495988,7.95516736910827e-08
"sex:hour",15.5155382788036,0.674588620817548,23,893.000000074083,1.86075229722288,0.00839301042759195
"order:hour",25.2453190800126,1.0976225686962,23,893.000000107989,3.02762847335002,2.6131020719329e-06
"diet:sex:order",8.15419984883089,8.15419984883089,1,892.999999742115,22.4921465208502,2.45526741520061e-06
"diet:sex:hour",7.39863675629015,0.321679858969137,23,893.000000095113,0.887306008544492,0.61678957443582
"diet:order:hour",24.2847181729836,1.05585731186885,23,893.000000197936,2.91242522919893,6.2229981462985e-06
"sex:order:hour",10.7918988230209,0.469212992305256,23,893.000000191866,1.29425419637335,0.16047137175572
"diet:sex:order:hour",8.26659108087699,0.359417003516391,23,893.000000103268,0.99139830456015,0.473708110648503
