mouse_id,sex,order,hour,PR,NR
FEDXA01,M,2.0,0,0.8571428571428571,0.8571428571428571
FEDXA01,M,2.0,1,2.0,0.42857142857142855
FEDXA01,M,2.0,2,1.1428571428571428,0.8571428571428571
FEDXA01,M,2.0,3,0.42857142857142855,0.5714285714285714
FEDXA01,M,2.0,4,0.7142857142857143,0.5714285714285714
FEDXA01,M,2.0,5,0.8571428571428571,0.5714285714285714
FEDXA01,M,2.0,6,0.2857142857142857,0.0
FEDXA01,M,2.0,7,0.42857142857142855,0.14285714285714285
FEDXA01,M,2.0,8,0.14285714285714285,0.14285714285714285
FEDXA01,M,2.0,9,0.42857142857142855,0.0
FEDXA01,M,2.0,10,0.7142857142857143,0.5714285714285714
FEDXA01,M,2.0,11,0.5714285714285714,0.7142857142857143
FEDXA01,M,2.0,12,1.4285714285714286,0.5714285714285714
FEDXA01,M,2.0,13,1.8571428571428572,2.5714285714285716
FEDXA01,M,2.0,14,2.4285714285714284,2.2857142857142856
FEDXA01,M,2.0,15,2.142857142857143,1.1428571428571428
FEDXA01,M,2.0,16,2.7142857142857144,1.0
FEDXA01,M,2.0,17,2.5714285714285716,1.4285714285714286
FEDXA01,M,2.0,18,2.5714285714285716,1.0
FEDXA01,M,2.0,19,0.5714285714285714,0.5714285714285714
FEDXA01,M,2.0,20,1.8571428571428572,0.7142857142857143
FEDXA01,M,2.0,21,1.1428571428571428,0.2857142857142857
FEDXA01,M,2.0,22,1.7142857142857142,0.2857142857142857
FEDXA01,M,2.0,23,2.142857142857143,0.5714285714285714
FEDXA02,M,2.0,0,1.4285714285714286,1.0
FEDXA02,M,2.0,1,3.0,0.42857142857142855
FEDXA02,M,2.0,2,1.7142857142857142,1.1428571428571428
FEDXA02,M,2.0,3,1.0,1.1428571428571428
FEDXA02,M,2.0,4,0.8571428571428571,0.2857142857142857
FEDXA02,M,2.0,5,0.8571428571428571,0.42857142857142855
FEDXA02,M,2.0,6,0.14285714285714285,0.14285714285714285
FEDXA02,M,2.0,7,0.7142857142857143,0.14285714285714285
FEDXA02,M,2.0,8,0.2857142857142857,0.14285714285714285
FEDXA02,M,2.0,9,1.1428571428571428,0.2857142857142857
FEDXA02,M,2.0,10,0.7142857142857143,0.2857142857142857
FEDXA02,M,2.0,11,1.0,0.42857142857142855
FEDXA02,M,2.0,12,2.5714285714285716,1.5714285714285714
FEDXA02,M,2.0,13,4.714285714285714,3.5714285714285716
FEDXA02,M,2.0,14,4.0,3.142857142857143
FEDXA02,M,2.0,15,3.2857142857142856,2.4285714285714284
FEDXA02,M,2.0,16,4.571428571428571,1.4285714285714286
FEDXA02,M,2.0,17,2.5714285714285716,2.142857142857143
FEDXA02,M,2.0,18,1.5714285714285714,1.5714285714285714
FEDXA02,M,2.0,19,2.4285714285714284,1.4285714285714286
FEDXA02,M,2.0,20,1.7142857142857142,1.2857142857142858
FEDXA02,M,2.0,21,1.8571428571428572,0.5714285714285714
FEDXA02,M,2.0,22,2.0,0.7142857142857143
FEDXA02,M,2.0,23,3.0,1.7142857142857142
FEDXA03,M,2.0,0,2.4285714285714284,1.0
FEDXA03,M,2.0,1,1.8571428571428572,0.14285714285714285
FEDXA03,M,2.0,2,2.2857142857142856,1.5714285714285714
FEDXA03,M,2.0,3,1.1428571428571428,1.8571428571428572
FEDXA03,M,2.0,4,1.5714285714285714,1.1428571428571428
FEDXA03,M,2.0,5,0.7142857142857143,0.8571428571428571
FEDXA03,M,2.0,6,0.5714285714285714,0.14285714285714285
FEDXA03,M,2.0,7,0.5714285714285714,0.14285714285714285
FEDXA03,M,2.0,8,0.42857142857142855,0.0
FEDXA03,M,2.0,9,0.5714285714285714,0.2857142857142857
FEDXA03,M,2.0,10,0.8571428571428571,0.42857142857142855
FEDXA03,M,2.0,11,0.8571428571428571,0.5714285714285714
FEDXA03,M,2.0,12,2.5714285714285716,1.4285714285714286
FEDXA03,M,2.0,13,4.571428571428571,4.428571428571429
FEDXA03,M,2.0,14,4.285714285714286,2.7142857142857144
FEDXA03,M,2.0,15,3.857142857142857,2.5714285714285716
FEDXA03,M,2.0,16,4.285714285714286,1.4285714285714286
FEDXA03,M,2.0,17,4.285714285714286,1.0
FEDXA03,M,2.0,18,3.857142857142857,0.7142857142857143
FEDXA03,M,2.0,19,2.0,0.7142857142857143
FEDXA03,M,2.0,20,2.0,0.2857142857142857
FEDXA03,M,2.0,21,1.5714285714285714,0.14285714285714285
FEDXA03,M,2.0,22,0.5714285714285714,0.14285714285714285
FEDXA03,M,2.0,23,1.8571428571428572,0.7142857142857143
FEDXA04,M,2.0,0,1.7142857142857142,0.2857142857142857
FEDXA04,M,2.0,1,1.2857142857142858,0.14285714285714285
FEDXA04,M,2.0,2,0.5714285714285714,1.1428571428571428
FEDXA04,M,2.0,3,1.2857142857142858,1.8571428571428572
FEDXA04,M,2.0,4,0.5714285714285714,0.7142857142857143
FEDXA04,M,2.0,5,1.1428571428571428,0.7142857142857143
FEDXA04,M,2.0,6,0.2857142857142857,0.14285714285714285
FEDXA04,M,2.0,7,0.5714285714285714,0.42857142857142855
FEDXA04,M,2.0,8,0.14285714285714285,0.14285714285714285
FEDXA04,M,2.0,9,1.0,0.7142857142857143
FEDXA04,M,2.0,10,0.42857142857142855,0.14285714285714285
FEDXA04,M,2.0,11,1.2857142857142858,0.2857142857142857
FEDXA04,M,2.0,12,2.142857142857143,1.7142857142857142
FEDXA04,M,2.0,13,2.857142857142857,2.7142857142857144
FEDXA04,M,2.0,14,3.5714285714285716,1.8571428571428572
FEDXA04,M,2.0,15,4.142857142857143,0.8571428571428571
FEDXA04,M,2.0,16,3.4285714285714284,0.8571428571428571
FEDXA04,M,2.0,17,3.4285714285714284,0.2857142857142857
FEDXA04,M,2.0,18,3.142857142857143,1.0
FEDXA04,M,2.0,19,2.7142857142857144,1.0
FEDXA04,M,2.0,20,1.1428571428571428,0.42857142857142855
FEDXA04,M,2.0,21,1.4285714285714286,0.0
FEDXA04,M,2.0,22,1.2857142857142858,0.2857142857142857
FEDXA04,M,2.0,23,2.0,0.8571428571428571
FEDXA05,M,2.0,0,2.4285714285714284,1.8571428571428572
FEDXA05,M,2.0,1,1.4285714285714286,0.7142857142857143
FEDXA05,M,2.0,2,2.0,1.5714285714285714
FEDXA05,M,2.0,3,0.5714285714285714,0.8571428571428571
FEDXA05,M,2.0,4,1.0,0.14285714285714285
FEDXA05,M,2.0,5,1.0,0.7142857142857143
FEDXA05,M,2.0,6,0.2857142857142857,0.0
FEDXA05,M,2.0,7,0.5714285714285714,0.0
FEDXA05,M,2.0,8,0.42857142857142855,0.2857142857142857
FEDXA05,M,2.0,9,1.0,0.0
FEDXA05,M,2.0,10,1.0,0.7142857142857143
FEDXA05,M,2.0,11,1.0,1.1428571428571428
FEDXA05,M,2.0,12,2.857142857142857,2.7142857142857144
FEDXA05,M,2.0,13,3.5714285714285716,5.0
FEDXA05,M,2.0,14,4.571428571428571,5.0
FEDXA05,M,2.0,15,4.428571428571429,2.7142857142857144
FEDXA05,M,2.0,16,6.285714285714286,2.7142857142857144
FEDXA05,M,2.0,17,3.5714285714285716,3.142857142857143
FEDXA05,M,2.0,18,5.571428571428571,2.2857142857142856
FEDXA05,M,2.0,19,4.142857142857143,0.8571428571428571
FEDXA05,M,2.0,20,2.142857142857143,1.5714285714285714
FEDXA05,M,2.0,21,1.7142857142857142,0.8571428571428571
FEDXA05,M,2.0,22,1.1428571428571428,0.8571428571428571
FEDXA05,M,2.0,23,1.1428571428571428,1.5714285714285714
FEDXA06,M,2.0,0,1.4285714285714286,1.5714285714285714
FEDXA06,M,2.0,1,0.8571428571428571,0.42857142857142855
FEDXA06,M,2.0,2,1.1428571428571428,1.1428571428571428
FEDXA06,M,2.0,3,2.0,1.2857142857142858
FEDXA06,M,2.0,4,2.0,1.4285714285714286
FEDXA06,M,2.0,5,0.8571428571428571,0.8571428571428571
FEDXA06,M,2.0,6,0.5714285714285714,0.0
FEDXA06,M,2.0,7,0.7142857142857143,0.5714285714285714
FEDXA06,M,2.0,8,0.5714285714285714,1.0
FEDXA06,M,2.0,9,0.14285714285714285,0.42857142857142855
FEDXA06,M,2.0,10,0.7142857142857143,0.2857142857142857
FEDXA06,M,2.0,11,0.7142857142857143,0.7142857142857143
FEDXA06,M,2.0,12,2.142857142857143,1.7142857142857142
FEDXA06,M,2.0,13,5.285714285714286,5.428571428571429
FEDXA06,M,2.0,14,5.0,2.2857142857142856
FEDXA06,M,2.0,15,5.0,3.4285714285714284
FEDXA06,M,2.0,16,3.7142857142857144,2.4285714285714284
FEDXA06,M,2.0,17,5.142857142857143,3.142857142857143
FEDXA06,M,2.0,18,4.428571428571429,3.2857142857142856
FEDXA06,M,2.0,19,3.0,0.7142857142857143
FEDXA06,M,2.0,20,2.0,1.2857142857142858
FEDXA06,M,2.0,21,3.2857142857142856,1.8571428571428572
FEDXA06,M,2.0,22,3.5714285714285716,1.0
FEDXA06,M,2.0,23,3.4285714285714284,1.7142857142857142
FEDXA07,M,1.0,0,0.8571428571428571,0.5714285714285714
FEDXA07,M,1.0,1,0.7142857142857143,1.4285714285714286
FEDXA07,M,1.0,2,1.4285714285714286,0.7142857142857143
FEDXA07,M,1.0,3,1.1428571428571428,0.7142857142857143
FEDXA07,M,1.0,4,1.2857142857142858,0.7142857142857143
FEDXA07,M,1.0,5,0.7142857142857143,0.42857142857142855
FEDXA07,M,1.0,6,0.5714285714285714,0.7142857142857143
FEDXA07,M,1.0,7,0.5714285714285714,0.42857142857142855
FEDXA07,M,1.0,8,0.7142857142857143,0.5714285714285714
FEDXA07,M,1.0,9,0.14285714285714285,0.42857142857142855
FEDXA07,M,1.0,10,0.42857142857142855,0.42857142857142855
FEDXA07,M,1.0,11,0.5714285714285714,0.2857142857142857
FEDXA07,M,1.0,12,1.5714285714285714,1.8571428571428572
FEDXA07,M,1.0,13,3.0,2.142857142857143
FEDXA07,M,1.0,14,3.857142857142857,2.4285714285714284
FEDXA07,M,1.0,15,4.142857142857143,1.8571428571428572
FEDXA07,M,1.0,16,3.0,1.7142857142857142
FEDXA07,M,1.0,17,3.0,1.8571428571428572
FEDXA07,M,1.0,18,3.142857142857143,2.5714285714285716
FEDXA07,M,1.0,19,1.0,1.5714285714285714
FEDXA07,M,1.0,20,0.8571428571428571,1.1428571428571428
