"sex","order","diet","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","NR","hour","0","1",0,-1.17142857142857,-3.26306757114416,0.920210428287014,0.905,"ns"
"F","1","NR","hour","0","2",0,-0.228571428571428,-2.32021042828701,1.86306757114416,1,"ns"
"F","1","NR","hour","0","3",0,-0.514285714285714,-2.6059247140013,1.57735328542987,1,"ns"
"F","1","NR","hour","0","4",0,-0.542857142857142,-2.63449614257273,1.54878185685844,1,"ns"
"F","1","NR","hour","0","5",0,-0.885714285714286,-2.97735328542987,1.2059247140013,0.996,"ns"
"F","1","NR","hour","0","6",0,-0.857142857142858,-2.94878185685844,1.23449614257273,0.997,"ns"
"F","1","NR","hour","0","7",0,-1.25714285714286,-3.34878185685844,0.834496142572728,0.833,"ns"
"F","1","NR","hour","0","8",0,-0.942857142857142,-3.03449614257273,1.14878185685844,0.99,"ns"
"F","1","NR","hour","0","9",0,-0.885714285714286,-2.97735328542987,1.2059247140013,0.996,"ns"
"F","1","NR","hour","0","10",0,-0.8,-2.89163899971558,1.29163899971558,0.999,"ns"
"F","1","NR","hour","0","11",0,-0.6,-2.69163899971558,1.49163899971559,1,"ns"
"F","1","NR","hour","0","12",0,-0.171428571428571,-2.26306757114416,1.92021042828701,1,"ns"
"F","1","NR","hour","0","13",0,0.828571428571429,-1.26306757114416,2.92021042828701,0.998,"ns"
"F","1","NR","hour","0","14",0,0.914285714285713,-1.17735328542987,3.0059247140013,0.993,"ns"
"F","1","NR","hour","0","15",0,1.05714285714286,-1.03449614257273,3.14878185685844,0.964,"ns"
"F","1","NR","hour","0","16",0,0.685714285714286,-1.4059247140013,2.77735328542987,1,"ns"
"F","1","NR","hour","0","17",0,0.542857142857143,-1.54878185685844,2.63449614257273,1,"ns"
"F","1","NR","hour","0","18",0,-0.314285714285714,-2.4059247140013,1.77735328542987,1,"ns"
"F","1","NR","hour","0","19",0,-0.228571428571428,-2.32021042828701,1.86306757114416,1,"ns"
"F","1","NR","hour","0","20",0,-0.314285714285714,-2.4059247140013,1.77735328542987,1,"ns"
"F","1","NR","hour","0","21",0,-0.571428571428571,-2.66306757114416,1.52021042828701,1,"ns"
"F","1","NR","hour","0","22",0,0.0285714285714287,-2.06306757114416,2.12021042828701,1,"ns"
"F","1","NR","hour","0","23",0,0.0285714285714287,-2.06306757114416,2.12021042828701,1,"ns"
"F","1","NR","hour","1","2",0,0.942857142857142,-1.14878185685844,3.03449614257273,0.99,"ns"
"F","1","NR","hour","1","3",0,0.657142857142856,-1.43449614257273,2.74878185685844,1,"ns"
"F","1","NR","hour","1","4",0,0.628571428571428,-1.46306757114416,2.72021042828701,1,"ns"
"F","1","NR","hour","1","5",0,0.285714285714284,-1.8059247140013,2.37735328542987,1,"ns"
"F","1","NR","hour","1","6",0,0.314285714285713,-1.77735328542987,2.4059247140013,1,"ns"
"F","1","NR","hour","1","7",0,-0.0857142857142857,-2.17735328542987,2.0059247140013,1,"ns"
"F","1","NR","hour","1","8",0,0.228571428571428,-1.86306757114416,2.32021042828701,1,"ns"
"F","1","NR","hour","1","9",0,0.285714285714285,-1.8059247140013,2.37735328542987,1,"ns"
"F","1","NR","hour","1","10",0,0.371428571428571,-1.72021042828701,2.46306757114416,1,"ns"
"F","1","NR","hour","1","11",0,0.571428571428571,-1.52021042828701,2.66306757114416,1,"ns"
"F","1","NR","hour","1","12",0,0.999999999999999,-1.09163899971559,3.09163899971558,0.98,"ns"
"F","1","NR","hour","1","13",0,2,-0.0916389997155851,4.09163899971558,0.0798,"ns"
"F","1","NR","hour","1","14",0,2.08571428571428,-0.00592471400130101,4.17735328542987,0.0516,"ns"
"F","1","NR","hour","1","15",0,2.22857142857143,0.136932428855842,4.32021042828701,0.0235,"*"
"F","1","NR","hour","1","16",0,1.85714285714286,-0.234496142572728,3.94878185685844,0.155,"ns"
"F","1","NR","hour","1","17",0,1.71428571428571,-0.377353285429871,3.8059247140013,0.275,"ns"
"F","1","NR","hour","1","18",0,0.857142857142857,-1.23449614257273,2.94878185685844,0.997,"ns"
"F","1","NR","hour","1","19",0,0.942857142857143,-1.14878185685844,3.03449614257273,0.99,"ns"
"F","1","NR","hour","1","20",0,0.857142857142857,-1.23449614257273,2.94878185685844,0.997,"ns"
"F","1","NR","hour","1","21",0,0.6,-1.49163899971559,2.69163899971558,1,"ns"
"F","1","NR","hour","1","22",0,1.2,-0.891638999715585,3.29163899971558,0.884,"ns"
"F","1","NR","hour","1","23",0,1.2,-0.891638999715585,3.29163899971558,0.884,"ns"
"F","1","NR","hour","2","3",0,-0.285714285714286,-2.37735328542987,1.8059247140013,1,"ns"
"F","1","NR","hour","2","4",0,-0.314285714285714,-2.4059247140013,1.77735328542987,1,"ns"
"F","1","NR","hour","2","5",0,-0.657142857142858,-2.74878185685844,1.43449614257273,1,"ns"
"F","1","NR","hour","2","6",0,-0.628571428571429,-2.72021042828701,1.46306757114416,1,"ns"
"F","1","NR","hour","2","7",0,-1.02857142857143,-3.12021042828701,1.06306757114416,0.973,"ns"
"F","1","NR","hour","2","8",0,-0.714285714285714,-2.8059247140013,1.37735328542987,1,"ns"
"F","1","NR","hour","2","9",0,-0.657142857142857,-2.74878185685844,1.43449614257273,1,"ns"
"F","1","NR","hour","2","10",0,-0.571428571428572,-2.66306757114416,1.52021042828701,1,"ns"
"F","1","NR","hour","2","11",0,-0.371428571428571,-2.46306757114416,1.72021042828701,1,"ns"
"F","1","NR","hour","2","12",0,0.0571428571428572,-2.03449614257273,2.14878185685844,1,"ns"
"F","1","NR","hour","2","13",0,1.05714285714286,-1.03449614257273,3.14878185685844,0.964,"ns"
"F","1","NR","hour","2","14",0,1.14285714285714,-0.948781856858443,3.23449614257273,0.924,"ns"
"F","1","NR","hour","2","15",0,1.28571428571428,-0.8059247140013,3.37735328542987,0.804,"ns"
"F","1","NR","hour","2","16",0,0.914285714285714,-1.17735328542987,3.0059247140013,0.993,"ns"
"F","1","NR","hour","2","17",0,0.771428571428572,-1.32021042828701,2.86306757114416,0.999,"ns"
"F","1","NR","hour","2","18",0,-0.0857142857142856,-2.17735328542987,2.0059247140013,1,"ns"
"F","1","NR","hour","2","19",0,4.44089209850063e-16,-2.09163899971558,2.09163899971559,1,"ns"
"F","1","NR","hour","2","20",0,-0.0857142857142852,-2.17735328542987,2.0059247140013,1,"ns"
"F","1","NR","hour","2","21",0,-0.342857142857143,-2.43449614257273,1.74878185685844,1,"ns"
"F","1","NR","hour","2","22",0,0.257142857142857,-1.83449614257273,2.34878185685844,1,"ns"
"F","1","NR","hour","2","23",0,0.257142857142857,-1.83449614257273,2.34878185685844,1,"ns"
"F","1","NR","hour","3","4",0,-0.028571428571428,-2.12021042828701,2.06306757114416,1,"ns"
"F","1","NR","hour","3","5",0,-0.371428571428572,-2.46306757114416,1.72021042828701,1,"ns"
"F","1","NR","hour","3","6",0,-0.342857142857143,-2.43449614257273,1.74878185685844,1,"ns"
"F","1","NR","hour","3","7",0,-0.742857142857142,-2.83449614257273,1.34878185685844,1,"ns"
"F","1","NR","hour","3","8",0,-0.428571428571428,-2.52021042828701,1.66306757114416,1,"ns"
"F","1","NR","hour","3","9",0,-0.371428571428571,-2.46306757114416,1.72021042828701,1,"ns"
"F","1","NR","hour","3","10",0,-0.285714285714286,-2.37735328542987,1.8059247140013,1,"ns"
"F","1","NR","hour","3","11",0,-0.0857142857142853,-2.17735328542987,2.0059247140013,1,"ns"
"F","1","NR","hour","3","12",0,0.342857142857143,-1.74878185685844,2.43449614257273,1,"ns"
"F","1","NR","hour","3","13",0,1.34285714285714,-0.748781856858441,3.43449614257273,0.74,"ns"
"F","1","NR","hour","3","14",0,1.42857142857143,-0.663067571144157,3.52021042828701,0.63,"ns"
"F","1","NR","hour","3","15",0,1.57142857142857,-0.520210428287014,3.66306757114415,0.44,"ns"
"F","1","NR","hour","3","16",0,1.2,-0.891638999715585,3.29163899971558,0.884,"ns"
"F","1","NR","hour","3","17",0,1.05714285714286,-1.03449614257273,3.14878185685844,0.964,"ns"
"F","1","NR","hour","3","18",0,0.2,-1.89163899971558,2.29163899971558,1,"ns"
"F","1","NR","hour","3","19",0,0.285714285714286,-1.8059247140013,2.37735328542987,1,"ns"
"F","1","NR","hour","3","20",0,0.200000000000001,-1.89163899971558,2.29163899971559,1,"ns"
"F","1","NR","hour","3","21",0,-0.0571428571428567,-2.14878185685844,2.03449614257273,1,"ns"
"F","1","NR","hour","3","22",0,0.542857142857143,-1.54878185685844,2.63449614257273,1,"ns"
"F","1","NR","hour","3","23",0,0.542857142857143,-1.54878185685844,2.63449614257273,1,"ns"
"F","1","NR","hour","4","5",0,-0.342857142857144,-2.43449614257273,1.74878185685844,1,"ns"
"F","1","NR","hour","4","6",0,-0.314285714285715,-2.4059247140013,1.77735328542987,1,"ns"
"F","1","NR","hour","4","7",0,-0.714285714285714,-2.8059247140013,1.37735328542987,1,"ns"
"F","1","NR","hour","4","8",0,-0.4,-2.49163899971559,1.69163899971558,1,"ns"
"F","1","NR","hour","4","9",0,-0.342857142857143,-2.43449614257273,1.74878185685844,1,"ns"
"F","1","NR","hour","4","10",0,-0.257142857142858,-2.34878185685844,1.83449614257273,1,"ns"
"F","1","NR","hour","4","11",0,-0.0571428571428573,-2.14878185685844,2.03449614257273,1,"ns"
"F","1","NR","hour","4","12",0,0.371428571428571,-1.72021042828701,2.46306757114416,1,"ns"
"F","1","NR","hour","4","13",0,1.37142857142857,-0.720210428287013,3.46306757114416,0.705,"ns"
"F","1","NR","hour","4","14",0,1.45714285714286,-0.634496142572729,3.54878185685844,0.592,"ns"
"F","1","NR","hour","4","15",0,1.6,-0.491638999715586,3.69163899971558,0.404,"ns"
"F","1","NR","hour","4","16",0,1.22857142857143,-0.863067571144157,3.32021042828701,0.86,"ns"
"F","1","NR","hour","4","17",0,1.08571428571429,-1.0059247140013,3.17735328542987,0.953,"ns"
"F","1","NR","hour","4","18",0,0.228571428571428,-1.86306757114416,2.32021042828701,1,"ns"
"F","1","NR","hour","4","19",0,0.314285714285714,-1.77735328542987,2.4059247140013,1,"ns"
"F","1","NR","hour","4","20",0,0.228571428571429,-1.86306757114416,2.32021042828701,1,"ns"
"F","1","NR","hour","4","21",0,-0.0285714285714287,-2.12021042828701,2.06306757114416,1,"ns"
"F","1","NR","hour","4","22",0,0.571428571428571,-1.52021042828701,2.66306757114416,1,"ns"
"F","1","NR","hour","4","23",0,0.571428571428571,-1.52021042828701,2.66306757114416,1,"ns"
"F","1","NR","hour","5","6",0,0.0285714285714289,-2.06306757114416,2.12021042828701,1,"ns"
"F","1","NR","hour","5","7",0,-0.37142857142857,-2.46306757114415,1.72021042828701,1,"ns"
"F","1","NR","hour","5","8",0,-0.0571428571428559,-2.14878185685844,2.03449614257273,1,"ns"
"F","1","NR","hour","5","9",0,8.88178419700125e-16,-2.09163899971558,2.09163899971559,1,"ns"
"F","1","NR","hour","5","10",0,0.0857142857142865,-2.0059247140013,2.17735328542987,1,"ns"
"F","1","NR","hour","5","11",0,0.285714285714287,-1.8059247140013,2.37735328542987,1,"ns"
"F","1","NR","hour","5","12",0,0.714285714285715,-1.37735328542987,2.8059247140013,1,"ns"
"F","1","NR","hour","5","13",0,1.71428571428572,-0.377353285429869,3.8059247140013,0.275,"ns"
"F","1","NR","hour","5","14",0,1.8,-0.291638999715585,3.89163899971558,0.197,"ns"
"F","1","NR","hour","5","15",0,1.94285714285714,-0.148781856858442,4.03449614257273,0.105,"ns"
"F","1","NR","hour","5","16",0,1.57142857142857,-0.520210428287013,3.66306757114416,0.44,"ns"
"F","1","NR","hour","5","17",0,1.42857142857143,-0.663067571144155,3.52021042828701,0.63,"ns"
"F","1","NR","hour","5","18",0,0.571428571428572,-1.52021042828701,2.66306757114416,1,"ns"
"F","1","NR","hour","5","19",0,0.657142857142858,-1.43449614257273,2.74878185685844,1,"ns"
"F","1","NR","hour","5","20",0,0.571428571428573,-1.52021042828701,2.66306757114416,1,"ns"
"F","1","NR","hour","5","21",0,0.314285714285716,-1.77735328542987,2.4059247140013,1,"ns"
