"sex","order","hour","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","0","diet","NR","PR",0,0.142857142857143,-0.199495686011685,0.485209971725971,0.364,"ns"
"F","1","1","diet","NR","PR",0,-0.0571428571428572,-0.254800355048105,0.140514640762391,0.524,"ns"
"F","1","2","diet","NR","PR",0,-0.0285714285714286,-0.261513023773373,0.204370166630516,0.784,"ns"
"F","1","3","diet","NR","PR",0,-0.0857142857142857,-0.225479242835452,0.0540506714068808,0.195,"ns"
"F","1","4","diet","NR","PR",0,-0.142857142857143,-0.380411890749572,0.0946976050352862,0.203,"ns"
"F","1","5","diet","NR","PR",0,0.0571428571428571,-0.285209971725971,0.399495686011685,0.71,"ns"
"F","1","6","diet","NR","PR",0,-0.2,-0.380435783771224,-0.019564216228776,0.0339,"*"
"F","1","7","diet","NR","PR",0,-0.171428571428571,-0.404370166630516,0.0615130237733728,0.128,"ns"
"F","1","8","diet","NR","PR",0,-0.171428571428571,-0.487405924519607,0.144548781662464,0.246,"ns"
"F","1","9","diet","NR","PR",0,-0.114285714285714,-0.268801688156054,0.0402302595846258,0.126,"ns"
"F","1","10","diet","NR","PR",0,-0.0857142857142857,-0.31865588091623,0.147227309487659,0.421,"ns"
"F","1","11","diet","NR","PR",0,-0.371428571428571,-0.680460519169252,-0.0623966236878911,0.0242,"*"
"F","1","12","diet","NR","PR",0,-0.2,-0.649281478367228,0.249281478367228,0.335,"ns"
"F","1","13","diet","NR","PR",0,-0.257142857142857,-0.894228538255448,0.379942823969734,0.379,"ns"
"F","1","14","diet","NR","PR",0,-0.485714285714286,-1.4849224105132,0.51349383908463,0.295,"ns"
"F","1","15","diet","NR","PR",0,0.114285714285714,-0.858506946747432,1.08707837531886,0.793,"ns"
"F","1","16","diet","NR","PR",0,-0.257142857142857,-1.13740322496038,0.623117510674662,0.52,"ns"
"F","1","17","diet","NR","PR",0,-0.114285714285714,-0.902165680212372,0.673594251640943,0.747,"ns"
"F","1","18","diet","NR","PR",0,-0.0571428571428569,-0.93863522047974,0.824349506194026,0.885,"ns"
"F","1","19","diet","NR","PR",0,-0.171428571428571,-0.813604232359224,0.470747089502082,0.555,"ns"
"F","1","20","diet","NR","PR",0,0.0571428571428572,-0.509628505674056,0.62391421995977,0.822,"ns"
"F","1","21","diet","NR","PR",0,-0.0571428571428572,-0.429849409465968,0.315563695180254,0.733,"ns"
"F","1","22","diet","NR","PR",0,-0.285714285714286,-0.760823781499144,0.189395210070572,0.203,"ns"
"F","1","23","diet","NR","PR",0,0.0285714285714287,-0.486013374413565,0.543156231556423,0.901,"ns"
"M","1","0","diet","NR","PR",0,-0.0476190476190476,-0.218703139875677,0.123465044637581,0.549,"ns"
"M","1","1","diet","NR","PR",0,0.142857142857143,-0.11703825010795,0.402752535822236,0.249,"ns"
"M","1","2","diet","NR","PR",0,-0.0238095238095237,-0.175724253912294,0.128105206293246,0.734,"ns"
"M","1","3","diet","NR","PR",0,-0.380952380952381,-0.519292267935863,-0.242612493968898,0.00011,"***"
"M","1","4","diet","NR","PR",0,-0.19047619047619,-0.405316062111776,0.0243636811593948,0.0764,"ns"
