"diet","sex","order","hour","emmean","SE","df","lower.CL","upper.CL"
"NR","F","1","0",0.17142857142918,0.127576092609611,247.070802102389,-0.0798468284577326,0.422703971316092
"PR","F","1","0",0.314285714285834,0.127576092609609,247.07080210235,0.0630103143989253,0.565561114172743
"NR","M","1","0",0.23809523809505,0.11646050620108,247.070802102455,0.00871323032140783,0.467477245868692
"PR","M","1","0",0.190476190476154,0.116460506201082,247.07080210238,-0.038905817297493,0.4198581982498
"NR","F","2","0",0.357142857142652,0.11646050620108,247.070802102437,0.127760849369009,0.586524864916294
"PR","F","2","0",0.119047619047592,0.116460506201082,247.070802102358,-0.110334388726054,0.348429626821239
"NR","M","2","0",0.380952380952394,0.116460506201079,247.070802102328,0.151570373178752,0.610334388726035
"PR","M","2","0",0.214285714285706,0.116460506201081,247.070802102275,-0.0150962934879392,0.443667722059352
"NR","F","1","1",0.142857142857282,0.127576092609605,247.070802102254,-0.108418257029619,0.394132542744183
"PR","F","1","1",0.0857142857144236,0.127576092609604,247.070802102258,-0.165561114172477,0.336989685601325
"NR","M","1","1",0.142857142857097,0.116460506201081,247.070802102302,-0.0865248649165476,0.372239150630743
"PR","M","1","1",0.28571428571424,0.116460506201081,247.070802102302,0.0563322779405949,0.515096293487885
"NR","F","2","1",0.119047619047572,0.116460506201081,247.070802102302,-0.110334388726073,0.348429626821217
"PR","F","2","1",0.0238095238094772,0.116460506201081,247.070802102297,-0.205572483964168,0.253191531583123
"NR","M","2","1",0.523809523809522,0.116460506201081,247.070802102297,0.294427516035877,0.753191531583167
"PR","M","2","1",0.0952380952380938,0.116460506201081,247.070802102288,-0.134143912535552,0.324620103011739
"NR","F","1","2",0.114285714285852,0.127576092609604,247.070802102262,-0.136989685601048,0.365561114172753
"PR","F","1","2",0.0857142857144235,0.127576092609604,247.070802102258,-0.165561114172477,0.336989685601324
"NR","M","1","2",0.142857142857096,0.116460506201081,247.070802102297,-0.0865248649165488,0.372239150630742
"PR","M","1","2",0.119047619047573,0.116460506201081,247.070802102302,-0.110334388726072,0.348429626821218
"NR","F","2","2",0.190476190476143,0.116460506201081,247.070802102293,-0.0389058172975021,0.419858198249789
"PR","F","2","2",0.0238095238094767,0.116460506201082,247.070802102293,-0.205572483964169,0.253191531583123
"NR","M","2","2",0.238095238095236,0.116460506201081,247.070802102297,0.00871323032159169,0.467477245868881
"PR","M","2","2",0.238095238095236,0.116460506201082,247.070802102288,0.00871323032159008,0.467477245868882
"NR","F","1","3",0.114285714285852,0.127576092609604,247.070802102258,-0.136989685601048,0.365561114172753
"PR","F","1","3",0.0285714285715664,0.127576092609605,247.070802102258,-0.222703971315335,0.279846828458467
"NR","M","1","3",0.404761904761859,0.116460506201081,247.070802102302,0.175379896988214,0.634143912535504
"PR","M","1","3",0.0238095238094777,0.116460506201081,247.070802102302,-0.205572483964168,0.253191531583123
"NR","F","2","3",0.190476190476143,0.116460506201081,247.070802102297,-0.0389058172975021,0.419858198249788
"PR","F","2","3",0.0238095238094769,0.116460506201081,247.070802102297,-0.205572483964169,0.253191531583123
"NR","M","2","3",0.428571428571427,0.116460506201081,247.070802102293,0.199189420797782,0.657953436345072
"PR","M","2","3",0.214285714285712,0.116460506201081,247.070802102306,-0.015096293487932,0.443667722059357
"NR","F","1","4",0.200000000000137,0.127576092609604,247.070802102254,-0.0512753998867631,0.451275399887038
"PR","F","1","4",0.0571428571429947,0.127576092609605,247.070802102254,-0.194132542743906,0.308418257029896
"NR","M","1","4",0.309523809523764,0.116460506201081,247.070802102297,0.0801418017501189,0.53890581729741
"PR","M","1","4",0.119047619047573,0.116460506201081,247.070802102302,-0.110334388726072,0.348429626821219
"NR","F","2","4",0.142857142857096,0.116460506201081,247.070802102302,-0.0865248649165493,0.372239150630742
"PR","F","2","4",0.142857142857096,0.116460506201082,247.070802102297,-0.0865248649165502,0.372239150630742
"NR","M","2","4",0.619047619047617,0.116460506201081,247.070802102297,0.389665611273972,0.848429626821262
"PR","M","2","4",0.190476190476189,0.116460506201081,247.07080210228,-0.0389058172974555,0.419858198249833
"NR","F","1","5",0.114285714285851,0.127576092609604,247.070802102262,-0.13698968560105,0.365561114172752
"PR","F","1","5",0.17142857142871,0.127576092609604,247.070802102258,-0.0798468284581911,0.422703971315611
"NR","M","1","5",0.333333333333288,0.116460506201081,247.070802102306,0.103951325559643,0.562715341106933
"PR","M","1","5",0.380952380952335,0.116460506201081,247.070802102302,0.15157037317869,0.61033438872598
"NR","F","2","5",0.0714285714285251,0.116460506201081,247.070802102302,-0.15795343634512,0.30081057920217
"PR","F","2","5",0.0714285714285242,0.116460506201081,247.070802102293,-0.157953436345121,0.30081057920217
"NR","M","2","5",0.57142857142857,0.116460506201081,247.070802102288,0.342046563654924,0.800810579202215
"PR","M","2","5",0.26190476190476,0.116460506201081,247.070802102288,0.0325227541311151,0.491286769678405
"NR","F","1","6",0.257142857142996,0.127576092609604,247.070802102254,0.00586745725609533,0.508418257029897
"PR","F","1","6",0.0571428571429951,0.127576092609604,247.070802102258,-0.194132542743906,0.308418257029896
"NR","M","1","6",0.238095238095193,0.116460506201081,247.070802102302,0.00871323032154731,0.467477245868838
"PR","M","1","6",0.142857142857097,0.116460506201081,247.070802102297,-0.0865248649165487,0.372239150630743
"NR","F","2","6",0.119047619047572,0.116460506201081,247.070802102302,-0.110334388726073,0.348429626821217
"PR","F","2","6",0.0714285714285244,0.116460506201081,247.070802102302,-0.15795343634512,0.300810579202169
"NR","M","2","6",0.309523809523808,0.116460506201081,247.070802102293,0.0801418017501627,0.538905817297453
"PR","M","2","6",0.238095238095236,0.116460506201081,247.070802102288,0.0087132303215913,0.467477245868881
"NR","F","1","7",0.200000000000139,0.127576092609604,247.070802102254,-0.0512753998867619,0.45127539988704
"PR","F","1","7",0.0285714285715665,0.127576092609604,247.070802102258,-0.222703971315334,0.279846828458467
"NR","M","1","7",0.0714285714285259,0.116460506201081,247.070802102297,-0.157953436345119,0.300810579202171
"PR","M","1","7",0.190476190476145,0.116460506201081,247.070802102297,-0.0389058172975006,0.41985819824979
"NR","F","2","7",0.119047619047572,0.116460506201081,247.070802102297,-0.110334388726073,0.348429626821217
"PR","F","2","7",0.0714285714285244,0.116460506201081,247.070802102297,-0.157953436345121,0.30081057920217
"NR","M","2","7",0.380952380952379,0.116460506201081,247.070802102288,0.151570373178734,0.610334388726024
"PR","M","2","7",0.142857142857141,0.116460506201081,247.070802102288,-0.0865248649165042,0.372239150630786
"NR","F","1","8",0.228571428571567,0.127576092609604,247.070802102258,-0.0227039713153342,0.479846828458467
