"contrast","hour","estimate","SE","df","t.ratio","p.value"
"NR F order1 - PR F order1","0",-0.142857142856654,0.157359622418597,893.000000006988,-0.907838622519286,1
"NR F order1 - NR M order1","0",-0.0666666666658701,0.172738845978974,247.070802102415,-0.385939053187751,1
"NR F order1 - PR M order1","0",-0.0190476190469739,0.172738845978976,247.070802102424,-0.110268300908368,1
"NR F order1 - NR F order2","0",-0.185714285713472,0.172738845978974,247.070802102398,-1.0751159338883,1
"NR F order1 - PR F order2","0",0.0523809523815873,0.172738845978976,247.07080210242,0.303237827511958,1
"NR F order1 - NR M order2","0",-0.209523809523214,0.172738845978974,247.070802102367,-1.2129513100297,1
"NR F order1 - PR M order2","0",-0.0428571428565268,0.172738845978976,247.070802102354,-0.248103677048664,1
"PR F order1 - NR M order1","0",0.0761904761907842,0.172738845978972,247.070802102385,0.441073203650203,1
"PR F order1 - PR M order1","0",0.12380952380968,0.172738845978975,247.070802102372,0.716743955929578,1
"PR F order1 - NR F order2","0",-0.0428571428568177,0.172738845978972,247.070802102385,-0.248103677050353,1
"PR F order1 - PR F order2","0",0.195238095238242,0.172738845978974,247.070802102367,1.13025008434991,1
"PR F order1 - NR M order2","0",-0.0666666666665596,0.172738845978973,247.07080210231,-0.385939053191746,1
"PR F order1 - PR M order2","0",0.100000000000127,0.172738845978973,247.070802102315,0.578908579789286,1
"NR M order1 - PR M order1","0",0.0476190476188961,0.143649024731934,893.000000000787,0.331495794752237,1
"NR M order1 - NR F order2","0",-0.119047619047602,0.164700027350403,247.070802102477,-0.722814810433062,1
"NR M order1 - PR F order2","0",0.119047619047457,0.164700027350405,247.070802102398,0.722814810432178,1
"NR M order1 - NR M order2","0",-0.142857142857344,0.164700027350403,247.07080210238,-0.867377772521022,1
"NR M order1 - PR M order2","0",0.0238095238093433,0.164700027350404,247.070802102367,0.144562962085537,1
"PR M order1 - NR F order2","0",-0.166666666666498,0.164700027350405,247.070802102415,-1.0119407346054,1
"PR M order1 - PR F order2","0",0.0714285714285612,0.164700027350406,247.070802102354,0.43368888625983,1
"PR M order1 - NR M order2","0",-0.19047619047624,0.164700027350404,247.070802102337,-1.15650369669336,1
