"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"diet",10.835770793951,10.835770793951,1,893.000010200587,175.038342269702,1.28182495860021e-36
"sex",0.15053630009642,0.15053630009642,1,18.9999998303428,2.43172589392544,0.135403537096579
"order",0.00193768458372227,0.00193768458372227,1,18.9999998284213,0.0313008740980053,0.861443134659914
"hour",31.1752827718386,1.35544707703646,23,893.000000470598,21.8955544474253,2.84236149698818e-71
"diet:sex",0.372556367704658,0.372556367704658,1,893.000001643801,6.0181827619913,0.0143494190886854
"diet:order",3.61052866706549,3.61052866706549,1,893.000000642146,58.3235807233186,5.71617752912485e-14
"sex:order",0.189295970762097,0.189295970762097,1,18.9999998347102,3.05783995902056,0.096486999802249
"diet:hour",6.39823385703475,0.278184080740641,23,893.000000264094,4.49371634603467,2.14788649571539e-11
"sex:hour",1.86179070834703,0.0809474221020448,23,892.99999998622,1.30760449304238,0.151549564998656
"order:hour",1.73739809415817,0.0755390475720943,23,893.000000097627,1.22023895808434,0.217418538098898
"diet:sex:order",1.51240129795043,1.51240129795043,1,893.000000196444,24.4309538355658,9.19713046370327e-07
"diet:sex:hour",1.61235760177088,0.070102504424821,23,893.000000073837,1.13241839429873,0.302120317902154
"diet:order:hour",3.7546748461289,0.163246732440387,23,893.000000064824,2.63704705190537,4.716138631853e-05
"sex:order:hour",2.53129184213342,0.110056167049279,23,893.000000063843,1.77781990807864,0.0136817411998698
"diet:sex:order:hour",1.64615524781274,0.0715719672962061,23,892.999999907616,1.15615573148731,0.27738661233353
