"sex","order","diet","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","NR","hour","0","1",0,-0.0285714285714264,-0.979461585100224,0.922318727957371,1,"ns"
"F","1","NR","hour","0","2",0,-0.0571428571428561,-1.00803301367165,0.893747299385942,1,"ns"
"F","1","NR","hour","0","3",0,-0.0571428571428566,-1.00803301367165,0.893747299385941,1,"ns"
"F","1","NR","hour","0","4",0,0.028571428571429,-0.922318727957369,0.979461585100227,1,"ns"
"F","1","NR","hour","0","5",0,-0.0571428571428572,-1.00803301367166,0.893747299385941,1,"ns"
"F","1","NR","hour","0","6",0,0.0857142857142866,-0.865175870814511,1.03660444224308,1,"ns"
"F","1","NR","hour","0","7",0,0.0285714285714297,-0.922318727957368,0.979461585100228,1,"ns"
"F","1","NR","hour","0","8",0,0.0571428571428583,-0.89374729938594,1.00803301367166,1,"ns"
"F","1","NR","hour","0","9",0,0.0285714285714302,-0.922318727957368,0.979461585100228,1,"ns"
"F","1","NR","hour","0","10",0,0.142857142857144,-0.808033013671654,1.09374729938594,1,"ns"
"F","1","NR","hour","0","11",0,0.371428571428572,-0.579461585100226,1.32231872795737,0.999,"ns"
"F","1","NR","hour","0","12",0,0.542857142857144,-0.408033013671654,1.49374729938594,0.889,"ns"
"F","1","NR","hour","0","13",0,0.371428571428573,-0.579461585100225,1.32231872795737,0.999,"ns"
"F","1","NR","hour","0","14",0,0.771428571428572,-0.179461585100226,1.72231872795737,0.293,"ns"
"F","1","NR","hour","0","15",0,0.485714285714287,-0.465175870814511,1.43660444224308,0.96,"ns"
"F","1","NR","hour","0","16",0,0.685714285714287,-0.265175870814511,1.63660444224308,0.523,"ns"
"F","1","NR","hour","0","17",0,0.600000000000001,-0.350890156528797,1.5508901565288,0.767,"ns"
"F","1","NR","hour","0","18",0,0.542857142857144,-0.408033013671653,1.49374729938594,0.889,"ns"
"F","1","NR","hour","0","19",0,0.371428571428573,-0.579461585100225,1.32231872795737,0.999,"ns"
"F","1","NR","hour","0","20",0,0.257142857142858,-0.693747299385939,1.20803301367166,1,"ns"
"F","1","NR","hour","0","21",0,0.142857142857144,-0.808033013671654,1.09374729938594,1,"ns"
"F","1","NR","hour","0","22",0,0.371428571428572,-0.579461585100225,1.32231872795737,0.999,"ns"
"F","1","NR","hour","0","23",0,0.22857142857143,-0.722318727957368,1.17946158510023,1,"ns"
"F","1","NR","hour","1","2",0,-0.0285714285714297,-0.979461585100228,0.922318727957368,1,"ns"
"F","1","NR","hour","1","3",0,-0.0285714285714302,-0.979461585100228,0.922318727957368,1,"ns"
"F","1","NR","hour","1","4",0,0.0571428571428555,-0.893747299385942,1.00803301367165,1,"ns"
"F","1","NR","hour","1","5",0,-0.0285714285714307,-0.979461585100229,0.922318727957367,1,"ns"
"F","1","NR","hour","1","6",0,0.114285714285713,-0.836604442243085,1.06517587081451,1,"ns"
"F","1","NR","hour","1","7",0,0.0571428571428561,-0.893747299385942,1.00803301367165,1,"ns"
"F","1","NR","hour","1","8",0,0.0857142857142847,-0.865175870814513,1.03660444224308,1,"ns"
"F","1","NR","hour","1","9",0,0.0571428571428567,-0.893747299385941,1.00803301367165,1,"ns"
"F","1","NR","hour","1","10",0,0.17142857142857,-0.779461585100228,1.12231872795737,1,"ns"
"F","1","NR","hour","1","11",0,0.399999999999999,-0.550890156528799,1.3508901565288,0.996,"ns"
"F","1","NR","hour","1","12",0,0.57142857142857,-0.379461585100228,1.52231872795737,0.834,"ns"
"F","1","NR","hour","1","13",0,0.399999999999999,-0.550890156528799,1.3508901565288,0.996,"ns"
"F","1","NR","hour","1","14",0,0.799999999999999,-0.150890156528799,1.7508901565288,0.232,"ns"
"F","1","NR","hour","1","15",0,0.514285714285713,-0.436604442243084,1.46517587081451,0.931,"ns"
"F","1","NR","hour","1","16",0,0.714285714285713,-0.236604442243085,1.66517587081451,0.441,"ns"
"F","1","NR","hour","1","17",0,0.628571428571427,-0.32231872795737,1.57946158510023,0.69,"ns"
"F","1","NR","hour","1","18",0,0.571428571428571,-0.379461585100227,1.52231872795737,0.834,"ns"
"F","1","NR","hour","1","19",0,0.399999999999999,-0.550890156528799,1.3508901565288,0.996,"ns"
"F","1","NR","hour","1","20",0,0.285714285714285,-0.665175870814513,1.23660444224308,1,"ns"
"F","1","NR","hour","1","21",0,0.171428571428571,-0.779461585100227,1.12231872795737,1,"ns"
"F","1","NR","hour","1","22",0,0.399999999999999,-0.550890156528799,1.3508901565288,0.996,"ns"
"F","1","NR","hour","1","23",0,0.257142857142857,-0.693747299385941,1.20803301367165,1,"ns"
"F","1","NR","hour","2","3",0,-4.71844785465692e-16,-0.950890156528798,0.950890156528797,1,"ns"
"F","1","NR","hour","2","4",0,0.0857142857142852,-0.865175870814513,1.03660444224308,1,"ns"
"F","1","NR","hour","2","5",0,-1.02695629777827e-15,-0.950890156528799,0.950890156528797,1,"ns"
"F","1","NR","hour","2","6",0,0.142857142857143,-0.808033013671655,1.09374729938594,1,"ns"
"F","1","NR","hour","2","7",0,0.0857142857142858,-0.865175870814512,1.03660444224308,1,"ns"
"F","1","NR","hour","2","8",0,0.114285714285714,-0.836604442243083,1.06517587081451,1,"ns"
"F","1","NR","hour","2","9",0,0.0857142857142864,-0.865175870814511,1.03660444224308,1,"ns"
"F","1","NR","hour","2","10",0,0.2,-0.750890156528798,1.1508901565288,1,"ns"
"F","1","NR","hour","2","11",0,0.428571428571428,-0.522318727957369,1.37946158510023,0.99,"ns"
"F","1","NR","hour","2","12",0,0.6,-0.350890156528798,1.5508901565288,0.767,"ns"
"F","1","NR","hour","2","13",0,0.428571428571429,-0.522318727957369,1.37946158510023,0.99,"ns"
"F","1","NR","hour","2","14",0,0.828571428571428,-0.12231872795737,1.77946158510023,0.18,"ns"
"F","1","NR","hour","2","15",0,0.542857142857143,-0.408033013671655,1.49374729938594,0.889,"ns"
"F","1","NR","hour","2","16",0,0.742857142857143,-0.208033013671655,1.69374729938594,0.363,"ns"
"F","1","NR","hour","2","17",0,0.657142857142857,-0.293747299385941,1.60803301367165,0.608,"ns"
"F","1","NR","hour","2","18",0,0.600000000000001,-0.350890156528797,1.5508901565288,0.767,"ns"
"F","1","NR","hour","2","19",0,0.428571428571429,-0.522318727957369,1.37946158510023,0.99,"ns"
"F","1","NR","hour","2","20",0,0.314285714285714,-0.636604442243083,1.26517587081451,1,"ns"
"F","1","NR","hour","2","21",0,0.2,-0.750890156528797,1.1508901565288,1,"ns"
"F","1","NR","hour","2","22",0,0.428571428571429,-0.522318727957369,1.37946158510023,0.99,"ns"
"F","1","NR","hour","2","23",0,0.285714285714286,-0.665175870814512,1.23660444224308,1,"ns"
"F","1","NR","hour","3","4",0,0.0857142857142856,-0.865175870814512,1.03660444224308,1,"ns"
"F","1","NR","hour","3","5",0,-5.55111512312578e-16,-0.950890156528798,0.950890156528797,1,"ns"
"F","1","NR","hour","3","6",0,0.142857142857143,-0.808033013671655,1.09374729938594,1,"ns"
"F","1","NR","hour","3","7",0,0.0857142857142863,-0.865175870814512,1.03660444224308,1,"ns"
"F","1","NR","hour","3","8",0,0.114285714285715,-0.836604442243083,1.06517587081451,1,"ns"
"F","1","NR","hour","3","9",0,0.0857142857142869,-0.865175870814511,1.03660444224308,1,"ns"
"F","1","NR","hour","3","10",0,0.2,-0.750890156528798,1.1508901565288,1,"ns"
"F","1","NR","hour","3","11",0,0.428571428571429,-0.522318727957369,1.37946158510023,0.99,"ns"
"F","1","NR","hour","3","12",0,0.600000000000001,-0.350890156528797,1.5508901565288,0.767,"ns"
"F","1","NR","hour","3","13",0,0.428571428571429,-0.522318727957368,1.37946158510023,0.99,"ns"
"F","1","NR","hour","3","14",0,0.828571428571429,-0.122318727957369,1.77946158510023,0.18,"ns"
"F","1","NR","hour","3","15",0,0.542857142857144,-0.408033013671654,1.49374729938594,0.889,"ns"
"F","1","NR","hour","3","16",0,0.742857142857143,-0.208033013671654,1.69374729938594,0.363,"ns"
"F","1","NR","hour","3","17",0,0.657142857142858,-0.29374729938594,1.60803301367166,0.608,"ns"
