"sex","order","hour","Effect","DFn","DFd","F","p","p<.05","ges","p.adj"
"F","1","0","diet",1,8,0.238,0.639,"",0.029,1
"F","1","1","diet",1,8,1.969,0.198,"",0.198,1
"F","1","2","diet",1,8,0.012,0.916,"",0.001,1
"F","1","3","diet",1,8,0.824,0.39,"",0.093,1
"F","1","4","diet",1,8,0.214,0.656,"",0.026,1
"F","1","5","diet",1,8,1.829,0.213,"",0.186,1
"F","1","6","diet",1,8,0.434,0.529,"",0.051,1
"F","1","7","diet",1,8,0.4,0.545,"",0.048,1
"F","1","8","diet",1,8,0.11,0.749,"",0.014,1
"F","1","9","diet",1,8,0.679,0.434,"",0.078,1
"F","1","10","diet",1,8,1.923,0.203,"",0.194,1
"F","1","11","diet",1,8,0.947,0.359,"",0.106,1
"F","1","12","diet",1,8,0.459,0.517,"",0.054,1
"F","1","13","diet",1,8,0.002,0.966,"",0.000236,1
"F","1","14","diet",1,8,0.075,0.791,"",0.009,1
"F","1","15","diet",1,8,0.000819,0.978,"",0.000102,1
"F","1","16","diet",1,8,0.043,0.841,"",0.005,1
"F","1","17","diet",1,8,0.067,0.802,"",0.008,1
"F","1","18","diet",1,8,0.252,0.629,"",0.031,1
"F","1","19","diet",1,8,0.672,0.436,"",0.077,1
"F","1","20","diet",1,8,7.688,0.024,"*",0.49,1
"F","1","21","diet",1,8,0.465,0.515,"",0.055,1
"F","1","22","diet",1,8,0.363,0.564,"",0.043,1
"F","1","23","diet",1,8,0.221,0.65,"",0.027,1
"M","1","0","diet",1,10,0.346,0.569,"",0.033,1
"M","1","1","diet",1,10,3.006,0.114,"",0.231,1
"M","1","2","diet",1,10,2.173,0.171,"",0.179,1
"M","1","3","diet",1,10,0.334,0.576,"",0.032,1
"M","1","4","diet",1,10,11.167,0.007,"*",0.528,0.581
"M","1","5","diet",1,10,1.68,0.224,"",0.144,1
"M","1","6","diet",1,10,1.96,0.192,"",0.164,1
"M","1","7","diet",1,10,0.135,0.721,"",0.013,1
"M","1","8","diet",1,10,0.077,0.787,"",0.008,1
"M","1","9","diet",1,10,2.045,0.183,"",0.17,1
"M","1","10","diet",1,10,0.717,0.417,"",0.067,1
"M","1","11","diet",1,10,1.404,0.263,"",0.123,1
"M","1","12","diet",1,10,1.007,0.339,"",0.091,1
"M","1","13","diet",1,10,1.466,0.254,"",0.128,1
"M","1","14","diet",1,10,0.003,0.96,"",0.000259,1
"M","1","15","diet",1,10,0.024,0.879,"",0.002,1
"M","1","16","diet",1,10,0.268,0.616,"",0.026,1
"M","1","17","diet",1,10,0.64,0.442,"",0.06,1
"M","1","18","diet",1,10,0.252,0.626,"",0.025,1
"M","1","19","diet",1,10,1.347,0.273,"",0.119,1
"M","1","20","diet",1,10,2.426,0.15,"",0.195,1
"M","1","21","diet",1,10,0.025,0.877,"",0.003,1
"M","1","22","diet",1,10,0.464,0.511,"",0.044,1
"M","1","23","diet",1,10,2.666,0.134,"",0.21,1
"F","2","0","diet",1,10,8.112,0.017,"*",0.448,1
