"sex","order","hour","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","0","diet","NR","PR",0,0.285714285714286,-1.06454348065761,1.63597205208618,0.639,"ns"
"F","1","1","diet","NR","PR",0,0.228571428571429,-0.147035607592151,0.604178464735008,0.198,"ns"
"F","1","2","diet","NR","PR",0,-0.0571428571428572,-1.26754289140059,1.15325717711487,0.916,"ns"
"F","1","3","diet","NR","PR",0,0.6,-0.923943724019917,2.12394372401992,0.39,"ns"
"F","1","4","diet","NR","PR",0,-0.285714285714286,-1.70951917189865,1.13809060047008,0.656,"ns"
"F","1","5","diet","NR","PR",0,0.428571428571429,-0.302137803523136,1.15928066066599,0.213,"ns"
"F","1","6","diet","NR","PR",0,0.171428571428571,-0.428819930599966,0.771677073457109,0.529,"ns"
"F","1","7","diet","NR","PR",0,-0.0571428571428572,-0.265492153806372,0.151206439520657,0.545,"ns"
"F","1","8","diet","NR","PR",0,0.0571428571428571,-0.340907915226273,0.455193629511987,0.749,"ns"
"F","1","9","diet","NR","PR",0,0.171428571428571,-0.308227530301575,0.651084673158717,0.434,"ns"
"F","1","10","diet","NR","PR",0,0.142857142857143,-0.0946976050352862,0.380411890749572,0.203,"ns"
"F","1","11","diet","NR","PR",0,0.257142857142857,-0.352078466796603,0.866364181082318,0.359,"ns"
"F","1","12","diet","NR","PR",0,0.142857142857143,-0.34353918765943,0.629253473373716,0.517,"ns"
"F","1","13","diet","NR","PR",0,-0.0571428571428569,-3.09182742913571,2.97754171484999,0.966,"ns"
"F","1","14","diet","NR","PR",0,0.457142857142857,-3.3846283493271,4.29891406361281,0.791,"ns"
"F","1","15","diet","NR","PR",0,-0.0285714285714289,-2.33080758765766,2.2736647305148,0.978,"ns"
"F","1","16","diet","NR","PR",0,-0.171428571428572,-2.07927569761091,1.73641855475376,0.841,"ns"
"F","1","17","diet","NR","PR",0,-0.2,-1.98013717102734,1.58013717102734,0.802,"ns"
"F","1","18","diet","NR","PR",0,0.228571428571428,-0.821475954774962,1.27861881191782,0.629,"ns"
"F","1","19","diet","NR","PR",0,0.457142857142857,-0.828897290328792,1.74318300461451,0.436,"ns"
"F","1","20","diet","NR","PR",0,0.885714285714286,0.149088283083192,1.62234028834538,0.0242,"*"
"F","1","21","diet","NR","PR",0,-0.171428571428571,-0.751448465920479,0.408591323063336,0.515,"ns"
"F","1","22","diet","NR","PR",0,0.2,-0.565524197640052,0.965524197640052,0.564,"ns"
"F","1","23","diet","NR","PR",0,0.228571428571429,-0.891487726224976,1.34863058336783,0.65,"ns"
