"diet","hour","emmean","SE","df","lower.CL","upper.CL"
"NR","0",0.720238095238123,0.14424903141765,187.382483507359,0.43567733749726,1.00479885297899
"PR","0",1.17261904761906,0.14424903141765,187.382483507381,0.888058289878201,1.45717980535993
"NR","1",0.350000000000005,0.144249031417649,187.382483507414,0.0654392422591432,0.634560757740867
"PR","1",0.639285714285719,0.144249031417649,187.382483507411,0.354724956544858,0.923846472026581
"NR","2",0.641666666666673,0.14424903141765,187.382483507414,0.357105908925811,0.926227424407535
"PR","2",1.06785714285715,0.14424903141765,187.382483507411,0.783296385116286,1.35241790059801
"NR","3",0.745238095238101,0.14424903141765,187.382483507419,0.460677337497238,1.02979885297896
"PR","3",1.00238095238096,0.144249031417649,187.382483507409,0.717820194640096,1.28694171012182
"NR","4",0.433333333333338,0.144249031417649,187.382483507411,0.148772575592477,0.7178940910742
"PR","4",0.748809523809529,0.144249031417649,187.382483507424,0.464248766068668,1.03337028155039
"NR","5",0.246428571428577,0.14424903141765,187.382483507419,-0.0381321863122851,0.53098932916944
"PR","5",0.460714285714291,0.14424903141765,187.382483507426,0.176153527973428,0.745275043455154
"NR","6",0.20476190476191,0.14424903141765,187.382483507411,-0.0797988529789531,0.489322662502773
"PR","6",0.313095238095243,0.144249031417649,187.382483507404,0.0285344803543813,0.597655995836105
"NR","7",0.117857142857149,0.14424903141765,187.382483507416,-0.166703614883714,0.402417900598011
"PR","7",0.180952380952386,0.144249031417649,187.382483507419,-0.103608376788475,0.465513138693248
"NR","8",0.194047619047625,0.144249031417649,187.382483507414,-0.0905131386932372,0.478608376788486
"PR","8",0.214285714285719,0.144249031417649,187.382483507414,-0.0702750434551414,0.49884647202658
"NR","9",0.13928571428572,0.14424903141765,187.382483507414,-0.145275043455143,0.423846472026582
"PR","9",0.313095238095243,0.14424903141765,187.382483507414,0.0285344803543796,0.597655995836107
"NR","10",0.122619047619053,0.144249031417649,187.382483507419,-0.161941710121809,0.407179805359914
"PR","10",0.325000000000005,0.144249031417649,187.382483507414,0.0404392422591451,0.609560757740866
"NR","11",0.16428571428572,0.14424903141765,187.382483507419,-0.120275043455142,0.448846472026583
"PR","11",0.442857142857148,0.14424903141765,187.382483507411,0.158296385116286,0.727417900598011
"NR","12",0.278571428571434,0.144249031417649,187.382483507421,-0.00598932916942779,0.563132186312295
"PR","12",0.766666666666671,0.144249031417649,187.382483507419,0.48210590892581,1.05122742440753
"NR","13",1.74642857142858,0.14424903141765,187.382483507409,1.46186781368772,2.03098932916944
"PR","13",2.91071428571429,0.14424903141765,187.382483507424,2.62615352797343,3.19527504345515
"NR","14",1.52738095238096,0.14424903141765,187.382483507414,1.2428201946401,1.81194171012182
"PR","14",2.73095238095239,0.14424903141765,187.382483507416,2.44639162321152,3.01551313869325
"NR","15",1.42857142857143,0.144249031417649,187.382483507414,1.14401067083057,1.71313218631229
"PR","15",2.2904761904762,0.144249031417649,187.382483507421,2.00591543273534,2.57503694821706
"NR","16",1.10714285714286,0.14424903141765,187.382483507409,0.822582099401999,1.39170361488372
"PR","16",1.77857142857143,0.14424903141765,187.382483507419,1.49401067083057,2.0631321863123
"NR","17",0.878571428571434,0.144249031417649,187.382483507421,0.594010670830573,1.1631321863123
"PR","17",1.65595238095239,0.144249031417649,187.382483507414,1.37139162321153,1.94051313869325
"NR","18",0.764285714285721,0.14424903141765,187.382483507414,0.479724956544859,1.04884647202658
"PR","18",1.62500000000001,0.144249031417649,187.382483507419,1.34043924225914,1.90956075774087
"NR","19",0.43928571428572,0.14424903141765,187.382483507414,0.154724956544858,0.723846472026582
"PR","19",1.13690476190477,0.144249031417649,187.382483507421,0.852344004163906,1.42146551964563
"NR","20",0.29285714285715,0.14424903141765,187.382483507409,0.00829638511628722,0.577417900598012
"PR","20",0.734523809523815,0.144249031417649,187.382483507411,0.449963051782954,1.01908456726468
"NR","21",0.341666666666672,0.144249031417649,187.382483507411,0.05710590892581,0.626227424407533
"PR","21",0.590476190476196,0.144249031417649,187.382483507419,0.305915432735334,0.875036948217057
"NR","22",0.38928571428572,0.14424903141765,187.382483507409,0.104724956544858,0.673846472026582
"PR","22",0.867857142857148,0.14424903141765,187.382483507414,0.583296385116286,1.15241790059801
"NR","23",0.71428571428572,0.144249031417649,187.382483507414,0.429724956544858,0.998846472026582
"PR","23",1.28928571428572,0.144249031417649,187.382483507419,1.00472495654486,1.57384647202658
