"","Sum Sq","Mean Sq","NumDF","DenDF","F value","Pr(>F)"
"diet",60.4848883598977,60.4848883598977,1,893.000008538865,178.325178022786,3.22597348576353e-37
"sex",0.0901525431193246,0.0901525431193246,1,18.999991034207,0.265793138367092,0.61211479325352
"order",0.475631548361,0.475631548361,1,18.9999910431352,1.40228547716,0.250944416357661
"hour",397.310975461615,17.2743902374615,23,893.000003308566,50.9293940661844,5.39103257883175e-145
"diet:sex",0.0188203208093644,0.0188203208093644,1,893.000004122392,0.05548719936137,0.813830289231965
"diet:order",25.9672529317977,25.9672529317977,1,893.000003995277,76.5582135867128,1.05228033374086e-17
"sex:order",0.129899722126956,0.129899722126956,1,18.9999910488015,0.382978157049193,0.543362881601378
"diet:hour",27.8690307472194,1.21169698900954,23,893.000003508142,3.5723977861892,3.80045029016568e-08
"sex:hour",8.17216755749917,0.355311632934747,23,893.000003357924,1.04755108118319,0.400897677828387
"order:hour",15.8493622448979,0.68910270629991,23,893.000003219477,2.03165395703018,0.00292458213461922
"diet:sex:order",0.0138006878841583,0.0138006878841583,1,893.000003176665,0.0406880163047653,0.840187267083388
"diet:sex:hour",6.97552572616366,0.303283727224507,23,893.000003212058,0.894159286976249,0.607298904074629
"diet:order:hour",30.3290242684375,1.3186532290625,23,893.00000322941,3.88773259237423,3.04710359628267e-09
"sex:order:hour",9.35924238743092,0.406923582062214,23,893.000003213775,1.19971652722807,0.235533212109316
"diet:sex:order:hour",5.67118494223103,0.246573258357871,23,893.000002925171,0.726962079035241,0.82088148296966
