"sex","order","diet","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","NR","hour","0","1",0,-0.885714285714282,-3.36398508678215,1.59255651535358,1,"ns"
"F","1","NR","hour","0","2",0,-0.171428571428569,-2.64969937249643,2.3068422296393,1,"ns"
"F","1","NR","hour","0","3",0,-0.114285714285712,-2.59255651535358,2.36398508678215,1,"ns"
"F","1","NR","hour","0","4",0,-0.171428571428569,-2.64969937249643,2.3068422296393,1,"ns"
"F","1","NR","hour","0","5",0,-0.657142857142855,-3.13541365821072,1.82112794392501,1,"ns"
"F","1","NR","hour","0","6",0,-0.657142857142856,-3.13541365821072,1.82112794392501,1,"ns"
"F","1","NR","hour","0","7",0,-0.885714285714283,-3.36398508678215,1.59255651535358,1,"ns"
"F","1","NR","hour","0","8",0,-0.771428571428568,-3.24969937249643,1.7068422296393,1,"ns"
"F","1","NR","hour","0","9",0,-0.799999999999998,-3.27827080106786,1.67827080106787,1,"ns"
"F","1","NR","hour","0","10",0,-0.914285714285712,-3.39255651535358,1.56398508678215,0.999,"ns"
"F","1","NR","hour","0","11",0,-0.771428571428569,-3.24969937249643,1.7068422296393,1,"ns"
"F","1","NR","hour","0","12",0,-0.742857142857141,-3.22112794392501,1.73541365821072,1,"ns"
"F","1","NR","hour","0","13",0,1.05714285714286,-1.42112794392501,3.53541365821072,0.995,"ns"
"F","1","NR","hour","0","14",0,1.08571428571429,-1.39255651535358,3.56398508678215,0.993,"ns"
"F","1","NR","hour","0","15",0,0.714285714285716,-1.76398508678215,3.19255651535358,1,"ns"
"F","1","NR","hour","0","16",0,0.428571428571431,-2.04969937249643,2.9068422296393,1,"ns"
"F","1","NR","hour","0","17",0,0.371428571428573,-2.10684222963929,2.84969937249644,1,"ns"
"F","1","NR","hour","0","18",0,-0.228571428571427,-2.70684222963929,2.24969937249644,1,"ns"
"F","1","NR","hour","0","19",0,-0.314285714285713,-2.79255651535358,2.16398508678215,1,"ns"
"F","1","NR","hour","0","20",0,-0.828571428571426,-3.30684222963929,1.64969937249644,1,"ns"
"F","1","NR","hour","0","21",0,-0.514285714285712,-2.99255651535358,1.96398508678215,1,"ns"
"F","1","NR","hour","0","22",0,-0.514285714285712,-2.99255651535358,1.96398508678215,1,"ns"
"F","1","NR","hour","0","23",0,-0.142857142857141,-2.62112794392501,2.33541365821072,1,"ns"
"F","1","NR","hour","1","2",0,0.714285714285713,-1.76398508678215,3.19255651535358,1,"ns"
"F","1","NR","hour","1","3",0,0.77142857142857,-1.7068422296393,3.24969937249643,1,"ns"
"F","1","NR","hour","1","4",0,0.714285714285712,-1.76398508678215,3.19255651535358,1,"ns"
"F","1","NR","hour","1","5",0,0.228571428571426,-2.24969937249644,2.70684222963929,1,"ns"
"F","1","NR","hour","1","6",0,0.228571428571426,-2.24969937249644,2.70684222963929,1,"ns"
"F","1","NR","hour","1","7",0,-1.08246744900953e-15,-2.47827080106787,2.47827080106786,1,"ns"
"F","1","NR","hour","1","8",0,0.114285714285713,-2.36398508678215,2.59255651535358,1,"ns"
