"Order","Sex","phase","day","n","mean","sd"
"1","F","NR","0",5,21.48,1.17345643293648
"1","F","NR","1",5,20.96,1.07842477716343
"1","F","NR","2",5,21,1.17686022959398
"1","F","NR","3",5,21.02,1.16918775224512
"1","F","NR","4",5,20.94,0.958123165360278
"1","F","NR","5",5,21.32,1.00349389634417
"1","F","NR","6",5,21.14,0.887693640846886
"1","F","PR","0",5,21.68,1.1861703081767
"1","F","PR","1",5,21.42,1.2397580409096
"1","F","PR","2",5,21.4,1.17686022959398
"1","F","PR","3",5,21.58,1.35535973084639
"1","F","PR","4",5,21.92,1.02078401241399
"1","F","PR","5",5,21.62,1.48895936814945
"1","F","PR","6",5,21.8,1.52807067899361
"1","M","NR","0",6,26.1166666666667,1.31820585140056
"1","M","NR","1",6,25.25,0.989444288477123
"1","M","NR","2",6,25.6,1.0770329614269
"1","M","NR","3",6,25.3166666666667,1.05340717040785
"1","M","NR","4",6,25.3333333333333,0.985224170768596
"1","M","NR","5",6,25.4666666666667,0.993310961716756
"1","M","NR","6",6,25.45,0.850294066779252
"1","M","PR","0",6,25.4666666666667,0.9912954487269
"1","M","PR","1",6,25.1666666666667,0.91796877216312
"1","M","PR","2",6,24.8,0.761577310586391
"1","M","PR","3",6,25.2166666666667,0.713909424693824
"1","M","PR","4",6,25.3,0.766811580507232
"1","M","PR","5",6,25.45,0.763544366752843
"1","M","PR","6",6,25.3333333333333,1.42781884938765
"2","F","NR","0",6,20.15,1.81521348606713
"2","F","NR","1",6,20.4166666666667,1.79155426003977
"2","F","NR","2",6,20.6666666666667,1.82501141548941
"2","F","NR","3",6,20.9166666666667,1.77134600422014
"2","F","NR","4",6,20.85,1.95524934471284
"2","F","NR","5",6,20.6833333333333,1.96001700672894
"2","F","NR","6",6,20.8666666666667,1.88962077324173
"2","F","PR","0",6,20.5833333333333,1.80822196277633
"2","F","PR","1",6,19.3666666666667,1.85544244498898
"2","F","PR","2",6,19.3333333333333,1.65971885169346
"2","F","PR","3",6,19.55,1.83602832222164
"2","F","PR","4",6,19.7333333333333,1.94182045170677
"2","F","PR","5",6,19.9333333333333,1.98963983340369
"2","F","PR","6",6,20.2833333333333,2.00041662327293
"2","M","NR","0",6,24.2833333333333,0.938971068066885
"2","M","NR","1",6,25.1833333333333,1.04387100097027
"2","M","NR","2",6,25.2333333333333,0.995322393331259
"2","M","NR","3",6,24.7,0.609918027279075
"2","M","NR","4",6,25.3,0.959166304662543
"2","M","NR","5",6,25.5,1.31605471010897
"2","M","NR","6",6,25.1333333333333,0.880151502110101
"2","M","PR","0",6,25.7833333333333,0.725028735062733
"2","M","PR","1",6,24.9166666666667,0.44007575105505
"2","M","PR","2",6,24.55,0.706399320497974
"2","M","PR","3",6,24.15,0.609097693313642
"2","M","PR","4",6,23.8833333333333,0.688234456175122
"2","M","PR","5",6,23.95,0.969020123630052
"2","M","PR","6",6,24.15,0.878066056740608
