"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"NR0 Order1 SexF - PR0 Order1 SexF",-0.200000000000008,0.399319596752872,19,-0.500851953238305,1,"F"
"NR0 Order1 SexF - PR1 Order1 SexF",0.0600000000000024,0.303465365519981,19,0.197716137712104,1,"F"
"NR0 Order1 SexF - PR2 Order1 SexF",0.0799999999999922,0.311160814743082,19,0.257101782131681,1,"F"
"NR0 Order1 SexF - PR3 Order1 SexF",-0.0999999999999973,0.310065075229689,19,-0.322512943213355,1,"F"
"NR0 Order1 SexF - PR4 Order1 SexF",-0.440000000000007,0.376810250540349,19,-1.16769647155045,1,"F"
"NR0 Order1 SexF - PR5 Order1 SexF",-0.140000000000003,0.40765052111879,19,-0.343431426545894,1,"F"
"NR0 Order1 SexF - PR6 Order1 SexF",-0.320000000000009,0.36768121203593,19,-0.870319150190188,1,"F"
"NR0 Order1 SexF - NR1 Order1 SexF",0.519999999999998,0.148489470357388,19,3.50193181205677,0.0310032894498742,"F"
"NR0 Order1 SexF - NR2 Order1 SexF",0.479999999999996,0.200516875957759,19,2.39381347683231,0.325824536108973,"F"
"NR0 Order1 SexF - NR3 Order1 SexF",0.460000000000003,0.272872954179793,19,1.68576618882102,1,"F"
"NR0 Order1 SexF - NR4 Order1 SexF",0.540000000000007,0.455708432485725,19,1.1849681978771,1,"F"
"NR0 Order1 SexF - NR5 Order1 SexF",0.159999999999994,0.473160334088125,19,0.33815176056198,1,"F"
"NR0 Order1 SexF - NR6 Order1 SexF",0.339999999999998,0.446844688273897,19,0.760890772392022,1,"F"
