"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"PR0 Order2 SexM - PR1 Order2 SexM",0.866666666666687,0.170491206406631,19,5.08335112955702,0.00059417674711332,"M"
"PR0 Order2 SexM - PR2 Order2 SexM",1.23333333333334,0.210047335238835,19,5.87169235891982,0.000118024136642129,"M"
"PR0 Order2 SexM - PR3 Order2 SexM",1.63333333333335,0.216869001341109,19,7.53142829649643,4.87079649263546e-06,"M"
"PR0 Order2 SexM - PR4 Order2 SexM",1.90000000000001,0.205202795143007,19,9.25913313547161,2.32919952130632e-07,"M"
"PR0 Order2 SexM - PR5 Order2 SexM",1.83333333333335,0.298073737884393,19,6.15060335857029,7.18478251352274e-05,"M"
"PR0 Order2 SexM - PR6 Order2 SexM",1.63333333333334,0.36243168341937,19,4.50659643749579,0.00193233627441524,"M"
"PR0 Order2 SexM - NR0 Order2 SexM",1.50000000000002,0.364527251325691,19,4.11491869138701,0.00412528525985087,"M"
"PR0 Order2 SexM - NR1 Order2 SexM",0.60000000000001,0.343226009456234,19,1.74811926680783,0.452515851764248,"M"
"PR0 Order2 SexM - NR2 Order2 SexM",0.550000000000004,0.323693956968272,19,1.69913582926083,0.452515851764248,"M"
"PR0 Order2 SexM - NR3 Order2 SexM",1.08333333333336,0.297189564801493,19,3.64526033764667,0.0103297061318414,"M"
"PR0 Order2 SexM - NR4 Order2 SexM",0.483333333333359,0.397216190196706,19,1.21680169454827,0.477158280583483,"M"
"PR0 Order2 SexM - NR5 Order2 SexM",0.28333333333334,0.443276608955157,19,0.639179527205782,0.530337433767901,"M"
"PR0 Order2 SexM - NR6 Order2 SexM",0.650000000000009,0.364471098012654,19,1.78340615632969,0.452515851764248,"M"
