"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"NR0 Order1 SexF - PR0 Order1 SexF",5.2,2.65164629431895,19,1.96104586465427,0.841080331092625,"F"
"NR0 Order1 SexF - PR1 Order1 SexF",2,2.39333870888318,19,0.835652719181263,1,"F"
"NR0 Order1 SexF - PR2 Order1 SexF",2.8,2.39363190240491,19,1.16977050530903,1,"F"
"NR0 Order1 SexF - PR3 Order1 SexF",2.6,2.24905438218712,19,1.15604141037781,1,"F"
"NR0 Order1 SexF - PR4 Order1 SexF",1.4,2.4434660455569,19,0.572956600950402,1,"F"
"NR0 Order1 SexF - PR5 Order1 SexF",1.8,2.1787651419691,19,0.826156048362889,1,"F"
"NR0 Order1 SexF - PR6 Order1 SexF",3,1.70499781344718,19,1.75953304827681,1,"F"
"NR0 Order1 SexF - NR1 Order1 SexF",0.400000000000001,1.56507944980775,19,0.25557807947011,1,"F"
"NR0 Order1 SexF - NR2 Order1 SexF",1.20000000000001,1.89866065443558,19,0.632024473249925,1,"F"
"NR0 Order1 SexF - NR3 Order1 SexF",1.2,1.6123427435899,19,0.744258629110203,1,"F"
"NR0 Order1 SexF - NR4 Order1 SexF",-0.800000000000001,2.466548124226,19,-0.324339911369473,1,"F"
"NR0 Order1 SexF - NR5 Order1 SexF",-1.4,3.28638872886227,19,-0.425999513601261,1,"F"
"NR0 Order1 SexF - NR6 Order1 SexF",-2.2,2.86748254403595,19,-0.767223502223494,1,"F"
