"","time_phase","Sex","Order","mean_value","sd_value","n"
"1","NR0","F",1,9.8,6.26099033699941,5
"2","NR0","F",2,6.83333333333333,3.31159578853861,6
"3","NR0","M",1,7.66666666666667,3.07679486912382,6
"4","NR0","M",2,20.3333333333333,8.54790422657312,6
"5","NR1","F",1,9.4,6.8044103344816,5
"6","NR1","F",2,9,5.3665631459995,6
"7","NR1","M",1,9,2.5298221281347,6
"8","NR1","M",2,16.6666666666667,6.50128192487194,6
"9","NR2","F",1,8.6,5.27257053058563,5
"10","NR2","F",2,6.83333333333333,3.43025752191678,6
"11","NR2","M",1,7.83333333333333,1.16904519445001,6
"12","NR2","M",2,13.5,6.8044103344816,6
"13","NR3","F",1,8.6,6.50384501660364,5
"14","NR3","F",2,7,4.04969134626332,6
"15","NR3","M",1,9.33333333333333,1.75119007154183,6
"16","NR3","M",2,16.3333333333333,6.97614984548545,6
"17","NR4","F",1,10.6,5.12835256198323,5
"18","NR4","F",2,7.66666666666667,6.34560215162176,6
"19","NR4","M",1,9.16666666666667,3.54494945897211,6
"20","NR4","M",2,14.5,5.82237065120385,6
"21","NR5","F",1,11.2,5.58569601750758,5
"22","NR5","F",2,8.83333333333333,8.44787941833136,6
"23","NR5","M",1,9.33333333333333,3.20416395751944,6
"24","NR5","M",2,12.8333333333333,4.62240918425302,6
"25","NR6","F",1,12,6.36396103067893,5
"26","NR6","F",2,11.3333333333333,8.06639117986889,6
"27","NR6","M",1,9.66666666666667,3.14112506383727,6
"28","NR6","M",2,15.5,4.84767985741633,6
"29","PR0","F",1,4.6,3.36154726279432,5
"30","PR0","F",2,2.66666666666667,3.01109061083632,6
"31","PR0","M",1,4.5,1.6431676725155,6
"32","PR0","M",2,3.83333333333333,1.32916013582513,6
"33","PR1","F",1,7.8,5.21536192416212,5
"34","PR1","F",2,2.16666666666667,2.13697605664328,6
"35","PR1","M",1,4.66666666666667,2.06559111797729,6
"36","PR1","M",2,1.5,1.37840487520902,6
"37","PR2","F",1,7,6.04152298679729,5
"38","PR2","F",2,3.5,1.7606816861659,6
"39","PR2","M",1,6,1.89736659610103,6
"40","PR2","M",2,2.5,1.37840487520902,6
"41","PR3","F",1,7.2,6.53452370108182,5
"42","PR3","F",2,2.16666666666667,1.32916013582513,6
"43","PR3","M",1,8.66666666666667,2.16024689946929,6
"44","PR3","M",2,3.33333333333333,2.16024689946929,6
"45","PR4","F",1,8.4,5.68330889535313,5
"46","PR4","F",2,3.5,2.07364413533277,6
"47","PR4","M",1,10.3333333333333,3.55902608401044,6
"48","PR4","M",2,7,4.14728827066554,6
"49","PR5","F",1,8,5.95818764390649,5
"50","PR5","F",2,4.66666666666667,3.50238014308365,6
"51","PR5","M",1,10.6666666666667,1.86189867250253,6
"52","PR5","M",2,9,4.47213595499958,6
"53","PR6","F",1,6.8,5.26307894677631,5
"54","PR6","F",2,4.83333333333333,3.06050104830347,6
"55","PR6","M",1,9.33333333333333,2.42212028327799,6
"56","PR6","M",2,11.1666666666667,6.33771778061051,6
