"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 F Order1 - NR1 F Order1",0.399999999999996,1.56507944980775,19,0.255578079470107,1
"2","NR0 F Order1 - NR2 F Order1",1.2,1.89866065443558,19,0.632024473249921,1
"3","NR0 F Order1 - NR3 F Order1",1.2,1.6123427435899,19,0.7442586291102,1
"4","NR0 F Order1 - NR4 F Order1",-0.800000000000003,2.466548124226,19,-0.324339911369474,1
"5","NR0 F Order1 - NR5 F Order1",-1.4,3.28638872886227,19,-0.425999513601263,1
"6","NR0 F Order1 - NR6 F Order1",-2.2,2.86748254403595,19,-0.767223502223497,1
"7","NR0 F Order1 - PR0 F Order1",5.19999999999999,2.65164629431895,19,1.96104586465427,0.994085547313748
"8","NR0 F Order1 - PR1 F Order1",1.99999999999999,2.39333870888318,19,0.83565271918126,1
"9","NR0 F Order1 - PR2 F Order1",2.79999999999999,2.39363190240491,19,1.16977050530903,0.999999921756658
"10","NR0 F Order1 - PR3 F Order1",2.59999999999999,2.24905438218712,19,1.15604141037781,0.999999944590346
"11","NR0 F Order1 - PR4 F Order1",1.4,2.4434660455569,19,0.572956600950399,1
"12","NR0 F Order1 - PR5 F Order1",1.8,2.1787651419691,19,0.826156048362885,1
"13","NR0 F Order1 - PR6 F Order1",3,1.70499781344718,19,1.7595330482768,0.998958460401571
"14","NR0 F Order1 - NR0 M Order1",2.13333333333333,3.4710077408214,19,0.614614974275016,1
"15","NR0 F Order1 - NR1 M Order1",0.799999999999993,3.40496713193984,19,0.234950872945498,1
"16","NR0 F Order1 - NR2 M Order1",1.96666666666667,3.1864937925655,19,0.617188293683531,1
"17","NR0 F Order1 - NR3 M Order1",0.466666666666664,3.3232654975568,19,0.140424130124345,1
"18","NR0 F Order1 - NR4 M Order1",0.633333333333327,3.3613210992352,19,0.188417980501008,1
"19","NR0 F Order1 - NR5 M Order1",0.466666666666662,3.49053859012084,19,0.133694744985044,1
"20","NR0 F Order1 - NR6 M Order1",0.13333333333333,3.50854429086134,19,0.0380024654899246,1
"21","NR0 F Order1 - PR0 M Order1",5.29999999999999,2.7498431640551,19,1.92738264831957,0.99542223463051
"22","NR0 F Order1 - PR1 M Order1",5.13333333333333,2.82784814765553,19,1.81527899140878,0.998226685468737
"23","NR0 F Order1 - PR2 M Order1",3.79999999999999,2.86870592501402,19,1.32463908791258,0.999997666467145
"24","NR0 F Order1 - PR3 M Order1",1.13333333333333,2.92517805725851,19,0.387440802285893,1
"25","NR0 F Order1 - PR4 M Order1",-0.533333333333338,3.03371888816312,19,-0.175801830358865,1
"26","NR0 F Order1 - PR5 M Order1",-0.866666666666671,3.06340406157014,19,-0.282909681272167,1
"27","NR0 F Order1 - PR6 M Order1",0.46666666666666,3.1580584752872,19,0.14777011582226,1
"28","NR0 F Order1 - NR0 F Order2",2.96666666666666,3.4710077408214,19,0.854698948601195,1
"29","NR0 F Order1 - NR1 F Order2",0.799999999999995,3.40496713193984,19,0.234950872945498,1
"30","NR0 F Order1 - NR2 F Order2",2.96666666666666,3.1864937925655,19,0.931012849793801,1
"31","NR0 F Order1 - NR3 F Order2",2.8,3.3232654975568,19,0.842544780746077,1
"32","NR0 F Order1 - NR4 F Order2",2.13333333333333,3.3613210992352,19,0.634671092213928,1
"33","NR0 F Order1 - NR5 F Order2",0.966666666666663,3.49053859012084,19,0.276939114611879,1
"34","NR0 F Order1 - NR6 F Order2",-1.53333333333334,3.50854429086134,19,-0.437028353134145,1
"35","NR0 F Order1 - PR0 F Order2",7.13333333333333,2.7498431640551,19,2.59408733798986,0.867733452330147
"36","NR0 F Order1 - PR1 F Order2",7.63333333333333,2.82784814765553,19,2.6993434352767,0.82188511815314
"37","NR0 F Order1 - PR2 F Order2",6.29999999999999,2.86870592501402,19,2.1961121720656,0.973900786214565
"38","NR0 F Order1 - PR3 F Order2",7.63333333333333,2.92517805725851,19,2.60952775657265,0.861441135741489
"39","NR0 F Order1 - PR4 F Order2",6.3,3.03371888816312,19,2.07665912111408,0.986944193367334
"40","NR0 F Order1 - PR5 F Order2",5.13333333333333,3.06340406157014,19,1.67569580445821,0.999570927551445
"41","NR0 F Order1 - PR6 F Order2",4.96666666666666,3.1580584752872,19,1.57269623267979,0.999877315845773
"42","NR0 F Order1 - NR0 M Order2",-10.5333333333333,3.4710077408214,19,-3.0346614354829,0.641856783084007
"43","NR0 F Order1 - NR1 M Order2",-6.86666666666667,3.40496713193984,19,-2.01666165944887,0.991201559272262
"44","NR0 F Order1 - NR2 M Order2",-3.7,3.1864937925655,19,-1.161150857608,0.999999936938814
"45","NR0 F Order1 - NR3 M Order2",-6.53333333333333,3.3232654975568,19,-1.96593782174085,0.993867437882109
"46","NR0 F Order1 - NR4 M Order2",-4.70000000000001,3.3613210992352,19,-1.39825975003382,0.999991092245219
"47","NR0 F Order1 - NR5 M Order2",-3.03333333333334,3.49053859012084,19,-0.869015842402797,1
"48","NR0 F Order1 - NR6 M Order2",-5.7,3.50854429086134,19,-1.62460539969432,0.99976379859061
"49","NR0 F Order1 - PR0 M Order2",5.96666666666666,2.7498431640551,19,2.16982071729059,0.977369283164348
"50","NR0 F Order1 - PR1 M Order2",8.29999999999999,2.82784814765553,19,2.93509395364147,0.698907666009408
"51","NR0 F Order1 - PR2 M Order2",7.29999999999999,2.86870592501402,19,2.54470140572681,0.886796509051559
"52","NR0 F Order1 - PR3 M Order2",6.46666666666666,2.92517805725851,19,2.21069163657246,0.97181660588728
"53","NR0 F Order1 - PR4 M Order2",2.79999999999999,3.03371888816312,19,0.922959609384033,1
"54","NR0 F Order1 - PR5 M Order2",0.799999999999996,3.06340406157014,19,0.261147398097382,1
"55","NR0 F Order1 - PR6 M Order2",-1.36666666666668,3.1580584752872,19,-0.432755339193771,1
"56","NR1 F Order1 - NR2 F Order1",0.800000000000004,1.33495515398754,19,0.599271067354126,1
"57","NR1 F Order1 - NR3 F Order1",0.800000000000005,1.16739325745177,19,0.685287494075709,1
"58","NR1 F Order1 - NR4 F Order1",-1.2,1.63449654247674,19,-0.734171023807519,1
"59","NR1 F Order1 - NR5 F Order1",-1.8,2.41878612444124,19,-0.744174932132875,1
"60","NR1 F Order1 - NR6 F Order1",-2.6,2.33666428910958,19,-1.11269728052837,1
"61","NR1 F Order1 - PR0 F Order1",4.8,2.72313029370451,19,1.76267731701891,0.998925482014658
"62","NR1 F Order1 - PR1 F Order1",1.6,2.1378789291701,19,0.748405336789162,1
"63","NR1 F Order1 - PR2 F Order1",2.4,2.18013358676489,19,1.10084997294196,1
"64","NR1 F Order1 - PR3 F Order1",2.2,1.90373593922996,19,1.15562245512362,0.999999945177667
"65","NR1 F Order1 - PR4 F Order1",0.999999999999999,1.80107180565429,19,0.555224948200619,1
"66","NR1 F Order1 - PR5 F Order1",1.4,2.10062647297119,19,0.666467845670725,1
"67","NR1 F Order1 - PR6 F Order1",2.6,1.66343546429059,19,1.56303028029334,0.999892028282885
"68","NR1 F Order1 - NR0 M Order1",1.73333333333333,3.39160470222288,19,0.51106584803273,1
"69","NR1 F Order1 - NR1 M Order1",0.399999999999997,3.32398689661811,19,0.120337417818032,1
"70","NR1 F Order1 - NR2 M Order1",1.56666666666667,3.09981135060776,19,0.505407100454517,1
"71","NR1 F Order1 - NR3 M Order1",0.066666666666668,3.24024401651322,19,0.0205745821385412,1
