"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 F Order1 - NR1 F Order1",0.1437169866,0.101351348515312,19,1.41800764079905,1
"2","NR0 F Order1 - NR2 F Order1",0.2721048276,0.105471028688242,19,2.57990114426877,1
"3","NR0 F Order1 - NR3 F Order1",0.1713073518,0.200324666747548,19,0.855148567479629,1
"4","NR0 F Order1 - NR4 F Order1",0.2389000236,0.11231518642654,19,2.1270500561939,1
"5","NR0 F Order1 - NR5 F Order1",0.1385302548,0.167497204604665,19,0.827060100059375,1
"6","NR0 F Order1 - NR6 F Order1",0.120589477,0.161522930706063,19,0.746578064630631,1
"7","NR0 F Order1 - PR0 F Order1",0.2737440438,0.122452707506708,19,2.23550829845885,1
"8","NR0 F Order1 - PR1 F Order1",0.3160717796,0.181212007761616,19,1.74420990917882,1
"9","NR0 F Order1 - PR2 F Order1",0.2464100958,0.118437936550945,19,2.08049973661951,1
"10","NR0 F Order1 - PR3 F Order1",0.3031826296,0.190935392018638,19,1.58788072967847,1
"11","NR0 F Order1 - PR4 F Order1",0.306491915,0.153519115858211,19,1.99644137661055,1
"12","NR0 F Order1 - PR5 F Order1",0.281087865,0.128513425761806,19,2.18722567960319,1
"13","NR0 F Order1 - PR6 F Order1",0.2937719502,0.146331998101958,19,2.00757150869567,1
"14","NR0 F Order1 - NR0 M Order1",0.228044562133333,0.162977661159633,19,1.39923815638739,1
"15","NR0 F Order1 - NR1 M Order1",0.288616142633333,0.142646340662598,19,2.02329860894222,1
"16","NR0 F Order1 - NR2 M Order1",0.362527645966667,0.139445838832661,19,2.59977385486354,1
"17","NR0 F Order1 - NR3 M Order1",0.316485798966667,0.198878326572151,19,1.59135389170649,1
"18","NR0 F Order1 - NR4 M Order1",0.327106653466667,0.146861607592061,19,2.22731222155264,1
"19","NR0 F Order1 - NR5 M Order1",0.355650588466667,0.167043442594383,19,2.12909039075699,1
"20","NR0 F Order1 - NR6 M Order1",0.1469894788,0.168306501179942,19,0.873344034660005,1
"21","NR0 F Order1 - PR0 M Order1",0.3878248888,0.149913947225061,19,2.58698337265292,1
"22","NR0 F Order1 - PR1 M Order1",0.229005437633333,0.178674303911697,19,1.28169206550546,1
"23","NR0 F Order1 - PR2 M Order1",0.415619896466667,0.139336312448569,19,2.98285414019464,1
"24","NR0 F Order1 - PR3 M Order1",0.297330235633333,0.207070760468597,19,1.43588710912386,1
"25","NR0 F Order1 - PR4 M Order1",0.1583671008,0.142070740515023,19,1.11470595722878,1
"26","NR0 F Order1 - PR5 M Order1",0.297324018633333,0.141904114461217,19,2.09524593252434,1
"27","NR0 F Order1 - PR6 M Order1",0.291811918633333,0.160495898739006,19,1.81818925546421,1
"28","NR0 F Order1 - NR0 F Order2",0.2610649118,0.162977661159633,19,1.60184475554777,1
"29","NR0 F Order1 - NR1 F Order2",0.151839030633333,0.142646340662598,19,1.06444392423973,1
"30","NR0 F Order1 - NR2 F Order2",0.3733347528,0.139445838832661,19,2.67727424443272,1
"31","NR0 F Order1 - NR3 F Order2",0.0976529031333334,0.198878326572151,19,0.491018326714983,1
"32","NR0 F Order1 - NR4 F Order2",0.0966590534666666,0.146861607592061,19,0.658164206775927,1
"33","NR0 F Order1 - NR5 F Order2",0.195374817133333,0.167043442594383,19,1.16960482913266,1
"34","NR0 F Order1 - NR6 F Order2",0.2311239258,0.168306501179942,19,1.37323231235671,1
"35","NR0 F Order1 - PR0 F Order2",0.463345625633333,0.149913947225061,19,3.09074395151325,1
"36","NR0 F Order1 - PR1 F Order2",0.400588110466667,0.178674303911697,19,2.24200179710588,1
"37","NR0 F Order1 - PR2 F Order2",0.426342223966667,0.139336312448569,19,3.05980699843795,1
"38","NR0 F Order1 - PR3 F Order2",0.285827010633333,0.207070760468597,19,1.38033496369315,1
"39","NR0 F Order1 - PR4 F Order2",0.433041398633333,0.142070740515023,19,3.04806884981037,1
"40","NR0 F Order1 - PR5 F Order2",0.425391489133333,0.141904114461217,19,2.99773893624201,1
"41","NR0 F Order1 - PR6 F Order2",0.166102332633333,0.160495898739006,19,1.03493194491807,1
"42","NR0 F Order1 - NR0 M Order2",-0.263630684033334,0.162977661159633,19,-1.61758784705539,1
"43","NR0 F Order1 - NR1 M Order2",-0.060290295866667,0.142646340662598,19,-0.42265574838174,1
"44","NR0 F Order1 - NR2 M Order2",0.120203836966667,0.139445838832661,19,0.862010928206432,1
"45","NR0 F Order1 - NR3 M Order2",-0.0640316257,0.198878326572151,19,-0.321963819807032,1
"46","NR0 F Order1 - NR4 M Order2",0.0980677007999999,0.146861607592061,19,0.667755871721106,1
"47","NR0 F Order1 - NR5 M Order2",0.1644205833,0.167043442594383,19,0.984298340278155,1
"48","NR0 F Order1 - NR6 M Order2",0.0718619089666663,0.168306501179942,19,0.426970488144342,1
"49","NR0 F Order1 - PR0 M Order2",0.393974215133333,0.149913947225061,19,2.62800241355711,1
"50","NR0 F Order1 - PR1 M Order2",0.4715678118,0.178674303911697,19,2.63925926378901,1
"51","NR0 F Order1 - PR2 M Order2",0.472954294633333,0.139336312448569,19,3.39433623814258,1
"52","NR0 F Order1 - PR3 M Order2",0.450018536633333,0.207070760468597,19,2.1732596896585,1
"53","NR0 F Order1 - PR4 M Order2",0.4081255763,0.142070740515023,19,2.87269267986144,1
"54","NR0 F Order1 - PR5 M Order2",0.304194956966666,0.141904114461217,19,2.1436655175337,1
"55","NR0 F Order1 - PR6 M Order2",0.193274387466666,0.160495898739006,19,1.20423256285797,1
"56","NR1 F Order1 - NR2 F Order1",0.128387841,0.0842884422256796,19,1.52319627234593,1
"57","NR1 F Order1 - NR3 F Order1",0.0275903652000003,0.186784576831973,19,0.147712223717592,1
"58","NR1 F Order1 - NR4 F Order1",0.0951830370000002,0.0870442391952554,19,1.09350185468895,1
"59","NR1 F Order1 - NR5 F Order1",-0.00518673179999981,0.121486023688944,19,-0.042694061773559,1
"60","NR1 F Order1 - NR6 F Order1",-0.0231275096,0.127427260983559,19,-0.181495775876279,1
"61","NR1 F Order1 - PR0 F Order1",0.1300270572,0.118254272972176,19,1.09955483156701,1
"62","NR1 F Order1 - PR1 F Order1",0.172354793,0.148781616066817,19,1.15844146310789,1
"63","NR1 F Order1 - PR2 F Order1",0.1026931092,0.0906856225419436,19,1.13240783182034,1
"64","NR1 F Order1 - PR3 F Order1",0.159465643,0.151643550440886,19,1.0515820985223,1
"65","NR1 F Order1 - PR4 F Order1",0.1627749284,0.0993059109301159,19,1.63912628035353,1
"66","NR1 F Order1 - PR5 F Order1",0.1373708784,0.0903410202891603,19,1.52058143643174,1
"67","NR1 F Order1 - PR6 F Order1",0.1500549636,0.0916725520937704,19,1.63685814535316,1
"68","NR1 F Order1 - NR0 M Order1",0.0843275755333334,0.13822167195452,19,0.610089390042106,1
"69","NR1 F Order1 - NR1 M Order1",0.144899156033333,0.113540702240513,19,1.27618689310547,1
"70","NR1 F Order1 - NR2 M Order1",0.218810659366667,0.109492714500022,19,1.99840382408843,1
"71","NR1 F Order1 - NR3 M Order1",0.172768812366667,0.179153848244959,19,0.964360040597275,1
"72","NR1 F Order1 - NR4 M Order1",0.183389666866667,0.118793284092004,19,1.54377133579904,1
"73","NR1 F Order1 - NR5 M Order1",0.211933601866667,0.142993091702437,19,1.48212476101777,1
"74","NR1 F Order1 - NR6 M Order1",0.00327249219999997,0.144466573643431,19,0.0226522448582263,1
"75","NR1 F Order1 - PR0 M Order1",0.2441079022,0.122546742647192,19,1.99195749252004,1
"76","NR1 F Order1 - PR1 M Order1",0.0852884510333335,0.156422566911454,19,0.545243903851882,1
"77","NR1 F Order1 - PR2 M Order1",0.271902909866667,0.109353191666288,19,2.48646523913476,1
"78","NR1 F Order1 - PR3 M Order1",0.153613249033333,0.188206834099832,19,0.816193788966508,1
"79","NR1 F Order1 - PR4 M Order1",0.0146501142000001,0.112816700321033,19,0.129857673184126,1
"80","NR1 F Order1 - PR5 M Order1",0.153607032033333,0.112606794918695,19,1.36410091543979,1
"81","NR1 F Order1 - PR6 M Order1",0.148094932033333,0.135286533228109,19,1.0946760812004,1
"82","NR1 F Order1 - NR0 F Order2",0.1173479252,0.13822167195452,19,0.848983546072366,1
