"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"NR X0 Order1 F - PR X0 Order1 F",0.2737440438,0.122452707506708,19,2.23550829845886,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X1 Order1 F",0.1437169866,0.101351348515312,19,1.41800764079905,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X1 Order1 F",0.3160717796,0.181212007761616,19,1.74420990917882,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X2 Order1 F",0.2721048276,0.105471028688242,19,2.57990114426877,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X2 Order1 F",0.2464100958,0.118437936550945,19,2.08049973661951,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X3 Order1 F",0.1713073518,0.200324666747548,19,0.85514856747963,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X3 Order1 F",0.3031826296,0.190935392018638,19,1.58788072967847,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X4 Order1 F",0.2389000236,0.11231518642654,19,2.1270500561939,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X4 Order1 F",0.306491915,0.153519115858211,19,1.99644137661055,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X5 Order1 F",0.1385302548,0.167497204604665,19,0.827060100059376,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X5 Order1 F",0.281087865,0.128513425761806,19,2.18722567960319,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X6 Order1 F",0.120589477,0.161522930706062,19,0.746578064630632,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X6 Order1 F",0.2937719502,0.146331998101958,19,2.00757150869567,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X0 Order2 F",0.2610649118,0.162977661159633,19,1.60184475554777,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X0 Order2 F",0.463345625633333,0.149913947225061,19,3.09074395151325,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X1 Order2 F",0.151839030633333,0.142646340662598,19,1.06444392423973,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - PR X1 Order2 F",0.400588110466667,0.178674303911697,19,2.24200179710588,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
"NR X0 Order1 F - NR X2 Order2 F",0.3733347528,0.139445838832661,19,2.67727424443273,1,"NANA OrderNA SexNA - NANA OrderNA SexNA"
