"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"PR0 Order2 SexF - PR1 Order2 SexF",-0.0627575151666664,0.144064271520799,19,-0.43562164653438,1,"F"
"PR0 Order2 SexF - PR2 Order2 SexF",-0.0370034016666666,0.0832023479168271,19,-0.444739873250415,1,"F"
"PR0 Order2 SexF - PR3 Order2 SexF",-0.177518615,0.162966908344549,19,-1.08929240177206,1,"F"
"PR0 Order2 SexF - PR4 Order2 SexF",-0.0303042269999999,0.0989150484160797,19,-0.306366194883989,1,"F"
"PR0 Order2 SexF - PR5 Order2 SexF",-0.0379541364999999,0.121767094470689,19,-0.311694523590164,1,"F"
"PR0 Order2 SexF - PR6 Order2 SexF",-0.297243293,0.11884965496045,19,-2.50100257420953,0.238639595811644,"F"
"PR0 Order2 SexF - NR0 Order2 SexF",-0.202280713833333,0.111783516881677,19,-1.80957550340314,0.839020766748365,"F"
"PR0 Order2 SexF - NR1 Order2 SexF",-0.311506595,0.107950888047057,19,-2.88563253749437,0.113674872716466,"F"
"PR0 Order2 SexF - NR2 Order2 SexF",-0.0900108728333331,0.108293410337015,19,-0.831175900299144,1,"F"
"PR0 Order2 SexF - NR3 Order2 SexF",-0.3656927225,0.200475763072364,19,-1.82412435745661,0.839020766748365,"F"
"PR0 Order2 SexF - NR4 Order2 SexF",-0.366686572166667,0.0799885486957988,19,-4.58423834593121,0.00263333313354366,"F"
"PR0 Order2 SexF - NR5 Order2 SexF",-0.2679708085,0.16290179179845,19,-1.64498380000354,0.931331794050091,"F"
"PR0 Order2 SexF - NR6 Order2 SexF",-0.232221699833333,0.154872323662405,19,-1.4994396309281,1,"F"
