"Effect","df","MSE","F","pes","p.value"
"Order","1, 19","0.29","0.07",".004",".797"
"Sex","1, 19","0.29","0.02",".001",".883"
"Order:Sex","1, 19","0.29","1.78",".085",".199"
"phase","1, 19","0.10","24.50 ***",".563","<.001"
"Order:phase","1, 19","0.10","8.51 **",".309",".009"
"Sex:phase","1, 19","0.10","0.32",".017",".578"
"Order:Sex:phase","1, 19","0.10","5.69 *",".231",".028"
"day","3.93, 74.71","0.08","1.97",".094",".108"
"Order:day","3.93, 74.71","0.08","0.29",".015",".882"
"Sex:day","3.93, 74.71","0.08","0.26",".014",".900"
"Order:Sex:day","3.93, 74.71","0.08","1.45",".071",".228"
"phase:day","2.95, 56.10","0.10","1.60",".078",".200"
"Order:phase:day","2.95, 56.10","0.10","1.64",".080",".191"
"Sex:phase:day","2.95, 56.10","0.10","1.03",".052",".384"
"Order:Sex:phase:day","2.95, 56.10","0.10","0.48",".025",".691"
