"Order","Sex","phase","day","n","mean","sd"
"1","F","NR","0",5,0.7883392898,0.215370348455631
"1","F","NR","1",5,0.6446223032,0.175875750997682
"1","F","NR","2",5,0.5162344622,0.154653067068028
"1","F","NR","3",5,0.617031938,0.402677786203673
"1","F","NR","4",5,0.5494392662,0.160043021593343
"1","F","NR","5",5,0.649809035,0.379748542199659
"1","F","NR","6",5,0.6677498128,0.232188504502214
"1","F","PR","0",5,0.514595246,0.135718870111704
"1","F","PR","1",5,0.4722675102,0.211600030721923
"1","F","PR","2",5,0.541929194,0.185629203606148
"1","F","PR","3",5,0.4851566602,0.326584196230947
"1","F","PR","4",5,0.4818473748,0.118105846220243
"1","F","PR","5",5,0.5072514248,0.197785451868925
"1","F","PR","6",5,0.4945673396,0.151130050853039
"1","M","NR","0",6,0.560294727666667,0.176239119356206
"1","M","NR","1",6,0.499723147166667,0.112227083597276
"1","M","NR","2",6,0.425811643833333,0.0853022258489325
"1","M","NR","3",6,0.471853490833333,0.0782463732525929
"1","M","NR","4",6,0.461232636333333,0.221575116584733
"1","M","NR","5",6,0.432688701333333,0.141075700085884
"1","M","NR","6",6,0.641349811,0.355046630019621
"1","M","PR","0",6,0.400514401,0.176202384302367
"1","M","PR","1",6,0.559333852166667,0.298320461766285
"1","M","PR","2",6,0.372719393333333,0.141278545524693
"1","M","PR","3",6,0.491009054166667,0.194889880567056
"1","M","PR","4",6,0.629972189,0.266849178642147
"1","M","PR","5",6,0.491015271166667,0.0965041356127112
"1","M","PR","6",6,0.496527371166667,0.1033021594163
"2","F","NR","0",6,0.527274378,0.250873254500501
"2","F","NR","1",6,0.636500259166667,0.227858892317546
"2","F","NR","2",6,0.415004537,0.156871862851707
"2","F","NR","3",6,0.690686386666667,0.611928728394121
"2","F","NR","4",6,0.691680236333333,0.220186464019848
"2","F","NR","5",6,0.592964472666667,0.385496012101035
"2","F","NR","6",6,0.557215364,0.316582143007739
"2","F","PR","0",6,0.324993664166667,0.338696166267638
"2","F","PR","1",6,0.387751179333333,0.273063080376437
"2","F","PR","2",6,0.361997065833333,0.169631063623539
"2","F","PR","3",6,0.502512279166667,0.612516479833093
"2","F","PR","4",6,0.355297891166667,0.187030584453853
"2","F","PR","5",6,0.362947800666667,0.19306467262645
"2","F","PR","6",6,0.622236957166667,0.450690928531799
"2","M","NR","0",6,1.05196997383333,0.379698380717287
"2","M","NR","1",6,0.848629585666667,0.210576135051874
"2","M","NR","2",6,0.668135452833333,0.248995470916439
"2","M","NR","3",6,0.8523709155,0.247323789209485
"2","M","NR","4",6,0.690271589,0.20822620905157
"2","M","NR","5",6,0.6239187065,0.148297639954322
"2","M","NR","6",6,0.716477380833333,0.214743190265868
"2","M","PR","0",6,0.394365074666667,0.146909226728612
"2","M","PR","1",6,0.316771478,0.445162184306001
"2","M","PR","2",6,0.315384995166667,0.189791968138718
"2","M","PR","3",6,0.338320753166667,0.385758679310621
"2","M","PR","4",6,0.3802137135,0.111884191784872
"2","M","PR","5",6,0.484144332833333,0.225621504481082
"2","M","PR","6",6,0.595064902333333,0.157818302935537
