Mouse,Sex,Order,G0,G1,G2,PR0,PR1,PR2,PR3,PR4,PR5,PR6,NR0,NR1,NR2,NR3,NR4,NR5,NR6
FEDXB07,F,1.0,0.75,0.5416666666666666,0.7083333333333334,0.0416666666666666,0.375,0.1666666666666666,0.3333333333333333,0.4166666666666667,0.1666666666666666,0.25,0.5416666666666666,0.4583333333333333,0.4166666666666667,0.375,0.4583333333333333,0.375,0.5
FEDXB08,F,1.0,0.3333333333333333,0.8333333333333334,0.7083333333333334,0.2083333333333333,0.4166666666666667,0.4166666666666667,0.5416666666666666,0.625,0.3333333333333333,0.2916666666666667,0.5833333333333334,0.5833333333333334,0.5,0.4583333333333333,0.5416666666666666,0.6666666666666666,0.7083333333333334
FEDXB10,F,1.0,0.4166666666666667,0.375,0.2916666666666667,0.125,0.0416666666666666,0.125,0.0416666666666666,0.125,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.125,0.1666666666666666,0.0833333333333333,0.2083333333333333,0.25,0.375
FEDXB11,F,1.0,0.4583333333333333,0.2083333333333333,0.4583333333333333,0.0833333333333333,0.1666666666666666,0.0416666666666666,0.0,0.0833333333333333,0.1666666666666666,0.0416666666666666,0.0833333333333333,0.0416666666666666,0.0416666666666666,0.125,0.25,0.25,0.0833333333333333
FEDXB12,F,1.0,0.7083333333333334,0.8333333333333334,0.8333333333333334,0.4166666666666667,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5,0.7083333333333334,0.625,0.625,0.625,0.5833333333333334,0.7083333333333334,0.7083333333333334,0.75,0.6666666666666666
FEDXA07,M,1.0,0.625,0.7916666666666666,0.7083333333333334,0.1666666666666666,0.2083333333333333,0.2083333333333333,0.25,0.375,0.4166666666666667,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.375,0.4583333333333333,0.2916666666666667,0.3333333333333333,0.4166666666666667
FEDXA08,M,1.0,0.9166666666666666,0.7083333333333334,0.4583333333333333,0.2916666666666667,0.25,0.3333333333333333,0.5,0.4583333333333333,0.4583333333333333,0.5416666666666666,0.25,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.5,0.4166666666666667,0.5
FEDXA09,M,1.0,0.2916666666666667,0.125,0.5,0.0833333333333333,0.0833333333333333,0.125,0.3333333333333333,0.4166666666666667,0.5833333333333334,0.2916666666666667,0.2083333333333333,0.25,0.2916666666666667,0.4166666666666667,0.25,0.625,0.375
FEDXA10,M,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2083333333333333,0.1666666666666666,0.3333333333333333,0.375,0.4583333333333333,0.375,0.3333333333333333,0.2083333333333333,0.375,0.25,0.3333333333333333,0.625,0.2916666666666667,0.4583333333333333
FEDXA11,M,1.0,0.625,0.4583333333333333,0.7916666666666666,0.2083333333333333,0.125,0.2083333333333333,0.25,0.2083333333333333,0.375,0.2916666666666667,0.4583333333333333,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.2916666666666667,0.4166666666666667
FEDXA12,M,1.0,0.4583333333333333,0.375,0.5,0.125,0.2916666666666667,0.25,0.375,0.6666666666666666,0.4583333333333333,0.4583333333333333,0.2916666666666667,0.5,0.25,0.3333333333333333,0.2916666666666667,0.1666666666666666,0.125
FEDXB01,F,2.0,0.4583333333333333,0.8333333333333334,0.7916666666666666,0.125,0.0416666666666666,0.0,0.125,0.0416666666666666,0.0416666666666666,0.0,0.25,0.25,0.1666666666666666,0.125,0.0833333333333333,0.0833333333333333,0.1666666666666666
FEDXB02,F,2.0,0.0833333333333333,0.1666666666666666,0.4166666666666667,0.3333333333333333,0.1666666666666666,0.125,0.0833333333333333,0.0416666666666666,0.0416666666666666,0.3333333333333333,0.2916666666666667,0.3333333333333333,0.2083333333333333,0.2916666666666667,0.2083333333333333,0.2916666666666667,0.3333333333333333
FEDXB03,F,2.0,0.0416666666666666,0.375,0.4583333333333333,0.0833333333333333,0.0,0.125,0.0,0.125,0.1666666666666666,0.125,0.1666666666666666,0.0416666666666666,0.1666666666666666,0.125,0.0416666666666666,0.0,0.2083333333333333
FEDXB04,F,2.0,0.0833333333333333,0.4583333333333333,0.3333333333333333,0.0,0.0416666666666666,0.125,0.1666666666666666,0.25,0.1666666666666666,0.1666666666666666,0.375,0.625,0.375,0.4583333333333333,0.5833333333333334,0.625,0.4583333333333333
FEDXB05,F,2.0,0.7916666666666666,0.3333333333333333,0.2083333333333333,0.0833333333333333,0.0416666666666666,0.2083333333333333,0.0833333333333333,0.125,0.375,0.25,0.4583333333333333,0.25,0.2083333333333333,0.25,0.25,0.125,0.375
FEDXB06,F,2.0,0.75,0.375,0.625,0.0,0.125,0.1666666666666666,0.0833333333333333,0.1666666666666666,0.2083333333333333,0.125,0.125,0.4166666666666667,0.3333333333333333,0.25,0.625,0.9583333333333334,1.0416666666666667
FEDXA01,M,2.0,0.6666666666666666,0.5416666666666666,0.4583333333333333,0.1666666666666666,0.0416666666666666,0.125,0.25,0.5416666666666666,0.6666666666666666,0.7083333333333334,0.875,0.75,0.7083333333333334,0.6666666666666666,0.75,0.8333333333333334,0.8333333333333334
FEDXA02,M,2.0,0.5416666666666666,0.2916666666666667,0.4166666666666667,0.1666666666666666,0.0416666666666666,0.0833333333333333,0.0833333333333333,0.1666666666666666,0.2083333333333333,0.2916666666666667,0.7083333333333334,0.4583333333333333,0.25,0.375,0.2916666666666667,0.25,0.5416666666666666
FEDXA03,M,2.0,0.25,0.4166666666666667,0.375,0.0833333333333333,0.125,0.0833333333333333,0.2083333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.2916666666666667,1.0833333333333333,0.7916666666666666,1.0,0.875,0.4583333333333333,0.6666666666666666
FEDXA04,M,2.0,0.3333333333333333,0.375,0.375,0.2083333333333333,0.0,0.125,0.0833333333333333,0.2916666666666667,0.5,0.5416666666666666,1.1666666666666667,0.9166666666666666,0.6666666666666666,1.0,0.75,0.625,0.75
FEDXA05,M,2.0,0.625,0.75,0.6666666666666666,0.125,0.0,0.125,0.125,0.375,0.2083333333333333,0.3333333333333333,0.5,0.5416666666666666,0.7083333333333334,0.5833333333333334,0.5416666666666666,0.5833333333333334,0.5833333333333334
FEDXA06,M,2.0,0.375,0.9166666666666666,0.0,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0416666666666666,0.1666666666666666,0.0416666666666666,0.3333333333333333,0.2083333333333333,0.125,0.3333333333333333,0.2916666666666667,0.2916666666666667,0.1666666666666666
