"Order","Sex","phase","day","n","mean","sd"
"1","F","NR","0",5,7.52,0.58854715622628
"1","F","NR","1",5,7.58095238095238,1.43753142527023
"1","F","NR","2",5,7.06536796536797,0.901007207896181
"1","F","NR","3",5,7.54545454545455,0.916830132626891
"1","F","NR","4",5,7.47284950343774,0.826809030449926
"1","F","NR","5",5,7.23944444444444,0.467560321585341
"1","F","NR","6",5,7.83333333333333,0.288675134594813
"1","F","PR","0",5,6.70666666666667,0.662235272056356
"1","F","PR","1",5,7.17571428571429,0.892879999707436
"1","F","PR","2",5,7.21,0.587792480387424
"1","F","PR","3",5,5.70879120879121,3.32916708197818
"1","F","PR","4",5,7.15,0.997496867163
"1","F","PR","5",5,7.09666666664444,0.690964614657707
"1","F","PR","6",5,6.68166666666667,0.543343558185999
"1","M","NR","0",6,7.7544733044733,0.854420812967667
"1","M","NR","1",6,7.0972175972176,0.849883692036832
"1","M","NR","2",6,7.14914021164021,0.394310316746002
"1","M","NR","3",6,7.48452380952381,0.723204242532657
"1","M","NR","4",6,6.87619047619048,0.569251806363071
"1","M","NR","5",6,8.27604617604618,0.838036278679346
"1","M","NR","6",6,7.44814814814815,0.969909418366164
"1","M","PR","0",6,7.35714285714286,0.864386062651477
"1","M","PR","1",6,8.13611111111111,0.905463908944252
"1","M","PR","2",6,8.2,1.99655954081014
"1","M","PR","3",6,7.42493386243386,0.554156993400799
"1","M","PR","4",6,7.22394781144781,0.516768615016273
"1","M","PR","5",6,7.40962000962001,0.514125895803012
"1","M","PR","6",6,7.6612012987013,0.701116611461505
"2","F","NR","0",6,7.65873015873016,2.15849671940439
"2","F","NR","1",6,7.15256734006734,0.720384403512645
"2","F","NR","2",6,6.89615384615385,0.520809565532639
"2","F","NR","3",6,6.75992063492063,0.783272420075799
"2","F","NR","4",6,7.22595704948646,0.997845314451434
"2","F","NR","5",6,7.04837819185645,0.891872615094849
"2","F","NR","6",6,7.11851851851852,0.433570685234427
"2","F","PR","0",6,5.41666666666667,4.37797517885457
"2","F","PR","1",6,5.5,2.94957624075052
"2","F","PR","2",6,6.58333333333333,0.712974987873581
"2","F","PR","3",6,6.40277777777778,3.71125041322054
"2","F","PR","4",6,6.97222222222222,1.18517071750429
"2","F","PR","5",6,7.45833333333333,0.88680136821425
"2","F","PR","6",6,5.57043650793651,2.80748618772301
"2","M","NR","0",6,8.01554674900263,0.396905485277894
"2","M","NR","1",6,7.67414529918376,0.80644518883729
"2","M","NR","2",6,7.34169000933707,0.538926268625342
"2","M","NR","3",6,7.31111111111111,0.474097583329127
"2","M","NR","4",6,7.15480815480815,0.672432348871747
"2","M","NR","5",6,7.88783068783069,0.416202058931806
"2","M","NR","6",6,7.38277759821877,0.559696302614323
"2","M","PR","0",6,7.22222222222222,0.867093911783407
"2","M","PR","1",6,4.77777777777778,3.83357487161739
"2","M","PR","2",6,5.41666666666667,2.6744677559802
"2","M","PR","3",6,5.86111111111111,2.9522433403669
"2","M","PR","4",6,7.2127849002849,0.823258298667723
"2","M","PR","5",6,6.89583333333333,0.594459371567515
"2","M","PR","6",6,7.09332788671024,0.61187249777161
