"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"NR0 Order1 SexF - PR0 Order1 SexF",0.813333333333331,1.45246791732948,19,0.559966470604551,1,"F"
"NR0 Order1 SexF - PR1 Order1 SexF",0.344285714285713,1.25355263909815,19,0.274647991274946,1,"F"
"NR0 Order1 SexF - PR2 Order1 SexF",0.309999999999998,0.912901262483844,19,0.339576702037351,1,"F"
"NR0 Order1 SexF - PR3 Order1 SexF",1.81120879120879,1.3669881638034,19,1.32496303857484,1,"F"
"NR0 Order1 SexF - PR4 Order1 SexF",0.370000000000003,0.739761873220239,19,0.500160948264832,1,"F"
"NR0 Order1 SexF - PR5 Order1 SexF",0.423333333355555,0.709357600214168,19,0.596784094831355,1,"F"
"NR0 Order1 SexF - PR6 Order1 SexF",0.838333333333331,0.70426193994413,19,1.19037148791519,1,"F"
"NR0 Order1 SexF - NR1 Order1 SexF",-0.0609523809523852,0.651039521964687,19,-0.0936231655621229,1,"F"
"NR0 Order1 SexF - NR2 Order1 SexF",0.454632034632034,0.54373120790975,19,0.836133788199802,1,"F"
"NR0 Order1 SexF - NR3 Order1 SexF",-0.0254545454545475,0.506727242463049,19,-0.0502332286908844,1,"F"
"NR0 Order1 SexF - NR4 Order1 SexF",0.0471504965622591,0.663177970992092,19,0.0710978027387181,1,"F"
"NR0 Order1 SexF - NR5 Order1 SexF",0.280555555555552,0.611391186793515,19,0.458880601512995,1,"F"
"NR0 Order1 SexF - NR6 Order1 SexF",-0.313333333333335,0.582138043346792,19,-0.538245759600142,1,"F"
