"contrast","estimate","SE","df","t.ratio","p.value","Sex"
"PR0 Order2 SexM - PR1 Order2 SexM",2.44444444444445,1.54621239599686,19,1.58092410251858,1,"M"
"PR0 Order2 SexM - PR2 Order2 SexM",1.80555555555556,1.17993720669294,19,1.53021325653088,1,"M"
"PR0 Order2 SexM - PR3 Order2 SexM",1.36111111111111,1.49408847596558,19,0.910997663797302,1,"M"
"PR0 Order2 SexM - PR4 Order2 SexM",0.00943732193732939,0.961598828966387,19,0.00981419865857518,1,"M"
"PR0 Order2 SexM - PR5 Order2 SexM",0.326388888888891,0.885651935047936,19,0.368529527202157,1,"M"
"PR0 Order2 SexM - PR6 Order2 SexM",0.128894335511983,1.25563272445539,19,0.102652896027291,1,"M"
"PR0 Order2 SexM - NR0 Order2 SexM",-0.793324526780406,1.32591573728984,19,-0.598321978138637,1,"M"
"PR0 Order2 SexM - NR1 Order2 SexM",-0.451923076961541,1.12993538766235,19,-0.399954795553838,1,"M"
"PR0 Order2 SexM - NR2 Order2 SexM",-0.119467787114844,1.05457313162925,19,-0.113285445581449,1,"M"
"PR0 Order2 SexM - NR3 Order2 SexM",-0.0888888888888879,1.10913189976883,19,-0.0801427575091965,1,"M"
"PR0 Order2 SexM - NR4 Order2 SexM",0.067414067414067,1.01700217766563,19,0.0662870433265005,1,"M"
"PR0 Order2 SexM - NR5 Order2 SexM",-0.665608465608468,1.06458649741914,19,-0.625227228808644,1,"M"
"PR0 Order2 SexM - NR6 Order2 SexM",-0.160555375996552,1.05172988621367,19,-0.152658375597338,1,"M"
