"Effect","df","MSE","F","pes","p.value"
"Order","1, 19","3.55","6.03 *",".241",".024"
"Sex","1, 19","3.55","2.33",".109",".144"
"Order:Sex","1, 19","3.55","0.12",".006",".735"
"phase","1, 19","2.54","12.25 **",".392",".002"
"Order:phase","1, 19","2.54","4.91 *",".205",".039"
"Sex:phase","1, 19","2.54","0.50",".026",".488"
"Order:Sex:phase","1, 19","2.54","2.70",".124",".117"
"day","3.83, 72.69","2.90","1.04",".052",".391"
"Order:day","3.83, 72.69","2.90","1.05",".053",".383"
"Sex:day","3.83, 72.69","2.90","0.59",".030",".665"
"Order:Sex:day","3.83, 72.69","2.90","0.67",".034",".606"
"phase:day","3.83, 72.72","3.88","0.72",".036",".576"
"Order:phase:day","3.83, 72.72","3.88","1.23",".061",".306"
"Sex:phase:day","3.83, 72.72","3.88","0.72",".037",".572"
"Order:Sex:phase:day","3.83, 72.72","3.88","0.67",".034",".610"
