Mouse,Sex,Order,G0,G1,G2,NR0,NR1,NR2,NR3,NR4,NR5,NR6,PR0,PR1,PR2,PR3,PR4,PR5,PR6
FEDXA01,M,2.0,21,17,13,22,18,17,16,18,20,20,4,2,3,6,13,16,17
FEDXA02,M,2.0,18,7,10,17,12,7,9,7,7,13,4,1,3,4,4,6,9
FEDXA03,M,2.0,7,14,12,32,26,20,25,22,12,17,2,3,2,5,8,10,17
FEDXA04,M,2.0,8,12,14,28,22,17,24,18,15,21,6,0,3,2,7,12,15
FEDXA05,M,2.0,15,19,16,12,13,17,15,13,14,14,3,0,4,3,9,5,8
FEDXA06,M,2.0,10,24,0,11,9,3,9,9,9,8,4,3,0,0,1,5,1
FEDXA07,M,1.0,18,23,18,12,11,9,12,7,9,10,4,5,6,6,9,10,10
FEDXA08,M,1.0,23,20,14,6,7,8,10,12,11,12,7,7,8,12,11,11,13
FEDXA09,M,1.0,9,5,12,5,7,7,10,6,15,9,2,2,3,8,10,14,7
FEDXA10,M,1.0,9,19,19,5,9,9,9,15,7,13,5,4,8,10,11,9,8
FEDXA11,M,1.0,15,13,19,11,7,8,7,8,7,10,5,3,5,7,5,9,7
FEDXA12,M,1.0,13,12,13,7,13,6,8,7,7,4,4,7,6,9,16,11,11
FEDXB01,F,2.0,11,21,23,6,6,4,3,2,3,6,4,2,1,3,2,1,0
FEDXB02,F,2.0,7,7,11,7,8,7,7,5,7,9,8,6,3,2,1,1,8
FEDXB03,F,2.0,2,10,13,4,2,4,3,2,2,5,2,0,3,0,4,4,3
FEDXB04,F,2.0,5,14,11,9,18,13,14,14,15,12,0,1,3,4,7,7,7
FEDXB05,F,2.0,19,9,6,12,9,5,8,6,3,9,2,1,6,2,3,10,7
FEDXB06,F,2.0,22,13,17,3,11,8,7,17,23,27,0,3,5,2,4,5,4
FEDXB07,F,1.0,21,18,19,14,14,11,9,11,10,12,1,10,5,8,10,5,6
FEDXB08,F,1.0,10,21,18,14,14,12,11,14,16,18,5,10,10,13,15,9,8
FEDXB10,F,1.0,10,11,8,4,3,4,2,5,6,9,4,1,3,1,3,4,4
FEDXB11,F,1.0,19,7,14,2,1,2,3,6,6,3,3,4,1,0,2,4,1
FEDXB12,F,1.0,18,21,21,15,15,14,18,17,18,18,10,14,16,14,12,18,15
