Mouse,Sex,Order,G0,G1,G2,NR0,NR1,NR2,NR3,NR4,NR5,NR6,PR0,PR1,PR2,PR3,PR4,PR5,PR6
FEDXA01,M,2,0,0,0,0,0,0,0,0,0,12,10,5,17,10,10,11,8
FEDXA02,M,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDXA03,M,2,0,0,0,0,0,0,0,35,10,25,50,70,45,40,55,45,40
FEDXA04,M,2,0,0,0,0,0,0,0,0,25,32,70,32,25,25,13,40,14
FEDXA05,M,2,0,0,0,0,0,0,0,25,30,26,30,45,45,25,20,38,13
FEDXA06,M,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
FEDXA07,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDXA08,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDXA09,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,27,15
FEDXA10,M,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDXA11,M,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
FEDXA12,M,1,0,0,0,0,0,0,0,0,0,3,0,40,40,34,40,32,28
FEDXB01,F,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
FEDXB02,F,2,0,0,0,0,68,60,58,0,0,0,0,0,0,0,0,0,0
FEDXB03,F,2,0,0,0,0,0,0,11,4,10,25,5,0,0,0,0,0,0
FEDXB04,F,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1
FEDXB05,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDXB06,F,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,38,15
FEDXB07,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDXB08,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEDXB10,F,1,0,0,0,0,0,0,5,0,0,0,12,20,25,40,6,0,0
FEDXB11,F,1,0,0,0,0,13,3,0,0,0,0,0,0,0,3,0,0,0
FEDXB12,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
