"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"NR X0 Order1 - PR X0 Order1",-1.09090909090909,5.21700478451806,21,-0.209106400313541,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X1 Order1",-1.18181818181818,3.15854714142466,21,-0.37416512367934,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X1 Order1",-5.45454545454546,7.76763290518787,21,-0.702214628461968,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X2 Order1",-0.272727272727274,3.13231434442686,21,-0.0870689345762892,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X2 Order1",-5.90909090909091,7.49771271257051,21,-0.78811914187961,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X3 Order1",-0.454545454545455,2.8266235340839,21,-0.16080862876307,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X3 Order1",-7.45454545454546,7.57256209663104,21,-0.984415229537954,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X4 Order1",-8.88178419700125e-16,3.81437056398861,21,-2.32850585647183e-16,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X4 Order1",-4.81818181818182,5.02399137227276,21,-0.959034652163856,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X5 Order1",-2.66453525910038e-15,3.25996087052358,21,-8.17351914617437e-16,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X5 Order1",-5.54545454545455,4.45839057181881,21,-1.24382430299108,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X6 Order1",-0.272727272727275,3.79783971679896,21,-0.0718111592548054,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X6 Order1",-4.27272727272727,3.68947949623901,21,-1.15808402705119,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X0 Order2",-13.75,7.14702710170434,21,-1.92387685177814,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X0 Order2",-2.77555756156289e-15,5.21247670689409,21,-5.32483446476011e-16,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X1 Order2",-13.1666666666667,7.12674710443161,21,-1.84750019521238,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X1 Order2",-5.66666666666667,7.07872483985254,21,-0.800520827531518,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X2 Order2",-11,6.3733357333039,21,-1.72594077266626,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X2 Order2",-5.16666666666667,6.85463718850611,21,-0.753747649157881,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X3 Order2",-8.33333333333334,5.92790784257746,21,-1.40577983913292,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X3 Order2",-5.91666666666667,6.89016812472067,21,-0.858711508858361,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X4 Order2",-9.33333333333334,6.15944743372266,21,-1.51528743994694,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X4 Order2",-5.33333333333333,6.19466364089751,21,-0.860956081315275,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X5 Order2",-14.3333333333333,6.57211997324767,21,-2.1809299574077,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X5 Order2",-6.66666666666667,6.09166195371554,21,-1.09439209157042,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X6 Order2",-7.58333333333334,5.73523209690656,21,-1.32223652071964,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X6 Order2",-10,6.11856753553221,21,-1.63436947323491,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X1 Order1",-0.0909090909090905,5.19847453381114,21,-0.0174876476392859,1,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X1 Order1",-4.36363636363636,4.96446773770031,21,-0.878973657235958,1,"NANA OrderNA - NANA OrderNA"
