"Order","phase","day","n","mean","sd"
"1","NR","0",11,0,0
"1","NR","1",11,1.18181818181818,3.91964747951093
"1","NR","2",11,0.272727272727273,0.904534033733291
"1","NR","3",11,0.454545454545455,1.50755672288882
"1","NR","4",11,0,0
"1","NR","5",11,0,0
"1","NR","6",11,0.272727272727273,0.904534033733291
"1","PR","0",11,1.09090909090909,3.61813613493316
"1","PR","1",11,5.45454545454545,12.9333958136573
"1","PR","2",11,5.90909090909091,13.5680105059994
"1","PR","3",11,7.45454545454545,14.7605124325928
"1","PR","4",11,4.81818181818182,11.9567402064123
"1","PR","5",11,5.54545454545455,11.9110338456713
"1","PR","6",11,4.27272727272727,9.07844600238289
"2","NR","0",12,13.75,23.6571150166095
"2","NR","1",12,13.1666666666667,23.2176787397148
"2","NR","2",12,11,17.8682043662123
"2","NR","3",12,8.33333333333333,13.8717065433292
"2","NR","4",12,9.33333333333333,16.0812331805139
"2","NR","5",12,14.3333333333333,19.4671440373183
"2","NR","6",12,7.58333333333333,11.9274956095214
"2","PR","0",12,0,0
"2","PR","1",12,5.66666666666667,19.6299091524473
"2","PR","2",12,5.16666666666667,17.2775910217585
"2","PR","3",12,5.91666666666667,16.7030663125794
"2","PR","4",12,5.33333333333333,11.7731075169668
"2","PR","5",12,6.66666666666667,10.5169415994414
"2","PR","6",12,10,13.1218069709098
