"contrast","estimate","SE","df","t.ratio","p.value"
"PR0 Order2 - PR1 Order2",-5.66666666666667,4.75311598765606,21,-1.19220037579203,0.562480552240427
"PR0 Order2 - PR2 Order2",-5.16666666666667,4.36313153445055,21,-1.18416477382622,0.562480552240427
"PR0 Order2 - PR3 Order2",-5.91666666666667,4.27128754667692,21,-1.38521853235329,0.562480552240427
"PR0 Order2 - PR4 Order2",-5.33333333333333,3.48286536207634,21,-1.53130620304938,0.562480552240427
"PR0 Order2 - PR5 Order2",-6.66666666666667,3.39198046950915,21,-1.96542012154669,0.313647554329379
"PR0 Order2 - PR6 Order2",-10,3.42240306113157,21,-2.92192352022197,0.0977930592147014
"PR0 Order2 - NR0 Order2",-13.75,4.99490180199211,21,-2.75280687090107,0.0977930592147014
"PR0 Order2 - NR1 Order2",-13.1666666666667,4.97716043765178,21,-2.64541736831748,0.0977930592147014
"PR0 Order2 - NR2 Order2",-11,3.80978083548516,21,-2.88730519549668,0.0977930592147014
"PR0 Order2 - NR3 Order2",-8.33333333333333,2.92852156834102,21,-2.84557690249626,0.0977930592147014
"PR0 Order2 - NR4 Order2",-9.33333333333333,3.43625381889061,21,-2.71613618354496,0.0977930592147014
"PR0 Order2 - NR5 Order2",-14.3333333333333,4.13059421413052,21,-3.47004149773411,0.0297485599625189
"PR0 Order2 - NR6 Order2",-7.58333333333333,2.60536155848068,21,-2.91066447520458,0.0977930592147014
