"","time_phase","Sex","Order","mean_value","sd_value","n"
"1","NR0","F",1,0,0,5
"2","NR0","F",2,0,0,6
"3","NR0","M",1,0,0,6
"4","NR0","M",2,0,0,6
"5","NR1","F",1,2.6,5.81377674149945,5
"6","NR1","F",2,11.3333333333333,27.7608837515427,6
"7","NR1","M",1,0,0,6
"8","NR1","M",2,0,0,6
"9","NR2","F",1,0.6,1.34164078649987,5
"10","NR2","F",2,10.3333333333333,24.3447461820136,6
"11","NR2","M",1,0,0,6
"12","NR2","M",2,0,0,6
"13","NR3","F",1,1,2.23606797749979,5
"14","NR3","F",2,11.8333333333333,23.0166606323912,6
"15","NR3","M",1,0,0,6
"16","NR3","M",2,0,0,6
"17","NR4","F",1,0,0,5
"18","NR4","F",2,0.666666666666667,1.63299316185545,6
"19","NR4","M",1,0,0,6
"20","NR4","M",2,10,15.8113883008419,6
"21","NR5","F",1,0,0,5
"22","NR5","F",2,1.66666666666667,4.08248290463863,6
"23","NR5","M",1,0,0,6
"24","NR5","M",2,11.6666666666667,12.9099444873581,6
"25","NR6","F",1,0,0,5
"26","NR6","F",2,4.16666666666667,10.2062072615966,6
"27","NR6","M",1,0.5,1.22474487139159,6
"28","NR6","M",2,15.8333333333333,13.8912442447272,6
"29","PR0","F",1,2.4,5.3665631459995,5
"30","PR0","F",2,0.833333333333333,2.04124145231932,6
"31","PR0","M",1,0,0,6
"32","PR0","M",2,26.6666666666667,28.7518115371304,6
"33","PR1","F",1,4,8.94427190999916,5
"34","PR1","F",2,1,2.44948974278318,6
"35","PR1","M",1,6.66666666666667,16.3299316185545,6
"36","PR1","M",2,25.3333333333333,28.7170100579198,6
"37","PR2","F",1,5,11.1803398874989,5
"38","PR2","F",2,0,0,6
"39","PR2","M",1,6.66666666666667,16.3299316185545,6
"40","PR2","M",2,22,20.2977831301844,6
"41","PR3","F",1,8.6,17.6011363269534,5
"42","PR3","F",2,0,0,6
"43","PR3","M",1,6.5,13.6198384718762,6
"44","PR3","M",2,16.6666666666667,16.0208197875972,6
"45","PR4","F",1,1.2,2.68328157299975,5
"46","PR4","F",2,2.33333333333333,5.71547606649408,6
"47","PR4","M",1,7.83333333333333,16.0052074858987,6
"48","PR4","M",2,16.3333333333333,20.4613456709637,6
"49","PR5","F",1,0,0,5
"50","PR5","F",2,6.33333333333333,15.5134350376268,6
"51","PR5","M",1,10.1666666666667,15.0786825242349,6
"52","PR5","M",2,22.3333333333333,20.9634602741691,6
"53","PR6","F",1,0,0,5
"54","PR6","F",2,2.66666666666667,6.05530070819498,6
"55","PR6","M",1,7.83333333333333,11.4615298571642,6
"56","PR6","M",2,12.5,14.7749788493926,6
