"Order","phase","day","n","mean","sd"
"1","NR","0",11,25.2015151515151,4.27789833229053
"1","NR","1",11,31.1969696969697,8.77124030942355
"1","NR","2",11,32.2590909090909,7.51634649590242
"1","NR","3",11,33.3848484848485,7.73981572614926
"1","NR","4",11,36.6606060606061,9.83596651955147
"1","NR","5",11,37.549999999697,7.75653846009072
"1","NR","6",11,37.0560606060606,8.45997528472641
"1","PR","0",11,32.4575757572727,3.87465671309698
"1","PR","1",11,30.4227272727273,6.73736790316709
"1","PR","2",11,29.2818181818182,3.80293347697577
"1","PR","3",11,29.3909090906061,4.54473665981903
"1","PR","4",11,33.3560606060606,8.74252465674174
"1","PR","5",11,32.4909090909091,6.45020397453685
"1","PR","6",11,30.8060606060606,4.69748320751107
"2","NR","0",12,29.8097222222222,6.5154534960553
"2","NR","1",12,32.1430555555556,8.72162197156096
"2","NR","2",12,34.6319444444444,8.59570146958401
"2","NR","3",12,35.7319444444444,6.61053054279602
"2","NR","4",12,37.5986111111111,4.79284746101018
"2","NR","5",12,40.6916666666667,4.90497840273666
"2","NR","6",12,41.0472222222222,8.32258953889932
"2","PR","0",12,43.9652777777778,9.55657121833862
"2","PR","1",12,41.1333333330555,10.6217876902481
"2","PR","2",12,36.7569444444444,6.40889319906619
"2","PR","3",12,35.2763888888889,9.14679239006418
"2","PR","4",12,33.2875,9.46688306677545
"2","PR","5",12,36.9347222225,9.79191446089376
"2","PR","6",12,37.8402777777778,8.80440792476834
