"","time_phase","Order","mean_value","sd_value","n"
"1","NR0",1,29.6363636363636,8.28580385083701,11
"2","NR0",2,36.0833333333333,15.5004887508476,12
"3","NR1",1,32.1818181818182,8.73862897505303,11
"4","NR1",2,37.3333333333333,15.0956546025268,12
"5","NR2",1,37.8181818181818,11.2678141786079,11
"6","NR2",2,37.0833333333333,11.2932669669976,12
"7","NR3",1,31.8181818181818,11.1338958304646,11
"8","NR3",2,32.0833333333333,12.9857147619524,12
"9","NR4",1,33.1818181818182,12.3597587502199,11
"10","NR4",2,29.3333333333333,9.67971950507708,12
"11","NR5",1,31.1818181818182,12.5603995304145,11
"12","NR5",2,35.6666666666667,13.3234812085713,12
"13","NR6",1,29.1818181818182,14.19731088494,11
"14","NR6",2,28.5,11.9962115231889,12
"15","PR0",1,33.9090909090909,10.8577580140151,11
"16","PR0",2,36,9.79795897113271,12
"17","PR1",1,39.8181818181818,19.0516045613916,11
"18","PR1",2,40.75,5.94099777356081,12
"19","PR2",1,41.4545454545455,17.0491268771374,11
"20","PR2",2,53.4166666666667,10.8078955426395,12
"21","PR3",1,37.6363636363636,16.782566712352,11
"22","PR3",2,50.5,10.1399300696889,12
"23","PR4",1,36,12.2637677734047,11
"24","PR4",2,51.4166666666667,11.7895048344884,12
"25","PR5",1,39.8181818181818,15.8796610909565,11
"26","PR5",2,53.1666666666667,11.2155195505103,12
"27","PR6",1,40.3636363636364,15.8067879550067,11
"28","PR6",2,47.25,13.8572265360976,12
