"Order","phase","day","n","mean","sd"
"1","NR","0",11,1.54371715827651,0.403725193822066
"1","NR","1",11,1.40412165918357,0.368912988107867
"1","NR","2",11,1.61550206668394,0.474347510209565
"1","NR","3",11,1.4056844662443,0.470181260027762
"1","NR","4",11,1.45926384197039,0.492222099392087
"1","NR","5",11,1.35593233643642,0.533757006142999
"1","NR","6",11,1.260413798202,0.588654574006258
"1","PR","0",11,1.80608743828561,0.512011851898492
"1","PR","1",11,1.72813902099212,0.775650443487659
"1","PR","2",11,1.79609079129638,0.694876044357059
"1","PR","3",11,1.67327366457072,0.730488444019683
"1","PR","4",11,1.54366659236614,0.499783243734924
"1","PR","5",11,1.73245265578283,0.648746229507754
"1","PR","6",11,1.82625896231959,0.657495294087513
"2","NR","0",12,1.86452592672273,0.784924314821546
"2","NR","1",12,1.67524881820721,0.625778045510196
"2","NR","2",12,1.6442784580128,0.477925980165983
"2","NR","3",12,1.40212363981502,0.495937058742526
"2","NR","4",12,1.29773163531306,0.411203914636784
"2","NR","5",12,1.57141251167121,0.526242809942252
"2","NR","6",12,1.31015513911845,0.47141539899857
"2","PR","0",12,1.81908690262943,0.388659566694504
"2","PR","1",12,1.77903873837943,0.26456762363212
"2","PR","2",12,2.2933319909505,0.483681172641925
"2","PR","3",12,2.17442852432567,0.413809303629963
"2","PR","4",12,2.21685535915642,0.511805588962809
"2","PR","5",12,2.28790918894497,0.457007546518029
"2","PR","6",12,2.04221776149714,0.551635035219847
