"contrast","estimate","SE","df","t.ratio","p.value"
"PR0 Order2 - PR1 Order2",0.0400481642500034,0.11739642351276,21,0.341136152632881,1
"PR0 Order2 - PR2 Order2",-0.474245088321065,0.137769686482982,21,-3.44230360413608,0.0293129177759467
"PR0 Order2 - PR3 Order2",-0.355341621696242,0.147435573130161,21,-2.41014847470044,0.201582809695289
"PR0 Order2 - PR4 Order2",-0.397768456526992,0.167549198815741,21,-2.37403974079535,0.201582809695289
"PR0 Order2 - PR5 Order2",-0.468822286315543,0.164147870148939,21,-2.85609728527187,0.0872352745294249
"PR0 Order2 - PR6 Order2",-0.223130858867706,0.124927932603526,21,-1.78607661407348,0.531214152589492
"PR0 Order2 - NR0 Order2",-0.0454390240933009,0.22466691956061,21,-0.202250621418444,1
"PR0 Order2 - NR1 Order2",0.143838084422217,0.190979260359153,21,0.753160757622145,1
"PR0 Order2 - NR2 Order2",0.174808444616634,0.149644951426697,21,1.16815464170378,1
"PR0 Order2 - NR3 Order2",0.416963262814412,0.144183937979334,21,2.89188427405954,0.0872352745294249
"PR0 Order2 - NR4 Order2",0.521355267316369,0.125221486949223,21,4.16346491339602,0.00571409641118598
"PR0 Order2 - NR5 Order2",0.247674390958224,0.181809312297169,21,1.36227560529682,0.93772387197027
"PR0 Order2 - NR6 Order2",0.508931763510982,0.159057468139981,21,3.19967222829856,0.0473747013688195
