Mouse,Sex,Order,G0,G1,G2,PR0,PR1,PR2,PR3,PR4,PR5,PR6,NR0,NR1,NR2,NR3,NR4,NR5,NR6
FEDXA01,M,2,2.2903243272510694,1.2979365212897642,1.2101566720691517,1.7477103944157242,1.429086972212198,1.5142132750703945,1.154888075661803,1.3565112540192923,1.4895222333098057,1.112608324782732,0.6902313096591298,1.0420435632100729,1.0088861383248289,1.1023622047244095,0.8925914906277894,0.7364290629126139,0.7646411400104275
FEDXA02,M,2,2.266556486837445,1.9276268273852517,1.2645629646976173,1.861018132,1.9091150140784603,2.4055989964947653,2.197131522734208,2.114015925586639,2.025862574299212,1.7255085340191716,1.0820115578507317,0.903992634,1.594617567130766,1.3830839979044185,1.4310025713327452,1.1813792133514591,0.9846685381127178
FEDXA03,M,2,2.638979594556772,1.5817035374585873,1.5803948404756678,1.9836843307753305,1.454759193269902,1.9047390002525224,2.394640566351499,2.641200808236313,2.480960612998179,2.270509555656042,1.2879567103439022,1.189587438348285,1.2625672200140283,0.8618213157138754,0.9620056359926148,1.5411398727132617,0.8972122334175953
FEDXA04,M,2,2.989870384489707,1.9759921723981575,1.2357029899599137,1.5858580117092027,1.607899470069169,1.6395356984375362,2.1385778204706893,1.958349593784369,2.0159416663688017,1.9326736539001208,1.0006436889226988,1.1036738030759798,1.0833448271538375,0.4596918362135017,1.0150921102100003,1.250554005007007,0.610010428
FEDXA05,M,2,1.515636314646099,0.5555769898530036,0.7021747913677082,2.038778521289438,2.031101237702317,2.3136246786632397,2.468077813008826,2.247134902998677,2.816350479170741,2.7935419610386574,2.185973337749441,1.7312270071413114,1.6908865768086656,1.699243570347957,1.6780334625386386,1.565015097930937,1.3105523735559652
FEDXA06,M,2,4.277612746421821,1.510182289680421,2.358336062888946,2.7602534267766106,2.237331112575044,3.0558335761614583,2.3426130784065498,2.4121878967414294,2.023277053134441,2.9564625690721167,2.049092849519744,1.7269419321625386,1.953818827708704,1.6858182342134644,1.5024488443173305,1.2594605310725244,1.7586034015092111
FEDXA07,M,1,1.5673042910396997,0.8518996178283659,0.5047495530863331,1.6949394358762182,1.9076255730270613,1.714903697600165,1.7220426632191337,1.4359455654622244,1.5882696425095697,1.4298063219867772,1.2882996489553868,1.1841383931290734,1.2964684014869887,0.9866933439311504,1.5721129763540849,1.4249901042353867,1.3870246085011189
FEDXA08,M,1,1.4325317345571755,1.7250467200153343,1.1619427874672754,0.991143945,1.1610886446522937,1.1768694304533127,0.5556215125252288,1.0989413531631196,0.6453540484015536,0.6482748685442631,1.7060263802227311,1.8546685638584957,1.7717781058848343,1.2243559377619069,0.8009987762518695,0.7553503986571549,0.8329172805981414
FEDXA09,M,1,3.321348619496642,1.9585812113399013,1.1103845631870506,2.076212178756805,2.2168290650921865,2.2841834396700618,2.1036775399958456,2.0951427606997783,1.8210265036996949,2.177935943060498,1.715028150714595,1.4431486880466473,1.3993262503239186,1.3859813758752615,1.6258423360787249,0.6715008510340644,1.6066709730459794
FEDXA10,M,1,4.0464183729266665,1.1110396708030603,0.9581093309203174,1.5687377003092493,1.507017975868013,1.5162025567337234,1.3681276919179124,1.1660408594153004,1.388266905508285,1.7720436793222716,1.602158463485529,1.600632348582156,1.848653191,1.4178472114478031,1.1389233378046622,1.7871326449563154,1.0463088548730857
FEDXA11,M,1,2.424106391336064,1.5123739688359306,0.7653712050344416,1.6410602735100457,0.6248734342002489,1.809090680670368,2.294225698826646,2.097621966763374,2.326054442117857,1.984215402296156,1.3694535771540366,1.3589868485143692,1.5559293523969726,1.6452788434940533,1.656595502488526,1.3912262986648716,1.2750294091604792
FEDXA12,M,1,1.925377545706605,1.2612656148065815,1.3904657123795925,1.9693937779825232,2.328918581947352,2.4337933606863107,2.296690677523749,1.2598572161821662,1.415459471414353,1.7177211565989126,1.5498244339508414,1.3396876463032543,1.6579674547129262,1.4124696818376368,1.6754776423976985,1.7678763923823204,1.935008938899989
FEDXB01,F,2,4.0534834623504565,1.3696506827116832,0.7580809321587761,1.1604106564378616,1.648232488,2.686253934942288,2.718527812630698,3.1985583962157893,3.026481715006306,2.4328008668600787,3.127452079,1.8793939534559967,1.8494844621799544,1.8083478382766955,1.6542162822145496,2.596849723286504,2.1534449136827507
FEDXB02,F,2,6.321929191884349,2.014909377,1.403417581703593,1.4540362970542302,2.0535984539803023,2.994587248400777,1.7078893718505976,2.0549381421681683,2.315719254776768,1.2627000736575051,1.904652958503732,1.7857609064564135,1.2875843486969172,1.4599236641221371,1.0041841004184109,1.935460747183425,1.6398563173512417
FEDXB03,F,2,1.0210738293104915,1.903778597600131,1.2651703294128676,1.630239341511168,1.8166029056258364,2.3466666666666667,2.5170051904344315,2.6898918906297435,2.923196492164211,2.283553151255476,3.038402025601351,2.6329231483631297,2.5204101006265427,2.067098679353622,2.0459631300394268,1.7769838285069577,1.5198958589874396
FEDXB04,F,2,1.9003091772867808,1.018469870266338,1.5913413882712246,1.733800350262697,1.6884167575363185,2.364054252014245,2.033706807268618,1.4942135846476878,1.964317437758548,2.0930232558139523,2.344631950675891,1.1528558802054645,1.2437381240283296,0.8766696294853222,0.5910359546872436,0.9827193315609574,1.2246223308026525
FEDXB05,F,2,1.8603665081026648,1.4749607847727857,1.4227715301979669,1.908928216345198,1.977783435393748,1.9272621472214144,2.096143096702069,1.9844713940559688,2.0197061608050784,1.8178320669423864,2.2573717295543263,2.150985868523073,2.148099528611493,1.403061224489795,1.3421098619444285,2.1347248576850086,1.8031555221637876
FEDXB06,F,2,1.8416441789975828,1.010881010881011,1.0176438717580267,1.964325152975719,1.4945378201098367,2.367614417080647,2.3239411363880893,2.450790520792985,2.353574587547592,1.8253991249674013,1.4058909232918275,2.803599683544304,2.087903774869506,2.018361482935034,1.4540961794335685,1.8962338688438247,1.0551986118276038
FEDXB07,F,1,2.093878705945232,1.1209032205661371,1.1772400261608895,2.2246744647980576,1.703073811692075,2.544493882091212,2.5350489725369703,2.472556255311223,2.891936572985309,2.963694739441837,1.369101600210631,1.2541143117987652,1.361863104385861,1.5209303963103349,1.7632036196984353,1.4437537597754164,1.091978160436791
FEDXB08,F,1,2.8286417053839843,0.5183087776551327,0.2715956242927196,1.7088258712562012,1.4314115308151094,1.1612070819296108,0.7135445207475891,1.0566610001589882,1.7381741124716683,1.7177849057604122,0.989068194,0.7553037876263468,1.1000893234920783,0.8970844754547715,0.7929141167031136,0.9848232551501024,0.4412521756183662
FEDXB10,F,1,2.200096763515062,1.5814030796993908,2.029418705,2.910266774454325,3.4865404137641334,2.9129287598944598,2.4066711234650437,1.817434693278544,2.4688488004463456,2.6592252133946173,1.938610662358643,1.7977632480518426,2.6878725749297816,2.389553362862358,2.327001113225841,2.295213582375025,2.038240602035882
FEDXB11,F,1,1.761494824079879,2.3366404832236105,1.999302568871324,1.870463013820644,1.698353540595367,1.6213376035229057,1.6480033805197545,1.4580107206670638,1.774939544056534,1.9641882843112943,2.402745995423341,1.9099294628323389,2.058895108298857,1.8734476641040805,1.8222912840796728,1.7351069982648923,1.9090041361756287
FEDXB12,F,1,1.7035707948025318,0.6356252837612875,0.2788428023701637,1.2112443853775885,0.9437966592594442,0.5819882110080334,0.762356529,1.0221201249257936,0.99864917,1.0539580707984868,1.0505716345658669,0.9469649522759724,1.0316798666110882,0.7088868356079312,0.8765415565917142,0.6582814153050434,0.3011166408765842
