"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 Order1 - NR1 Order1",0.0943052805063029,0.0885053589392668,21,1.06553186876533,0.999988480104891
"2","NR0 Order1 - NR2 Order1",0.139394015955429,0.0990081001539895,21,1.40790516875514,0.998930046785733
"3","NR0 Order1 - NR3 Order1",-0.0111402097839623,0.0931690361044025,21,-0.119569872671849,1
"4","NR0 Order1 - NR4 Order1",-0.0669567026871282,0.105026728416496,21,-0.637520597819667,0.999999999748511
"5","NR0 Order1 - NR5 Order1",-0.0526531284227647,0.104676856102628,21,-0.503006398770156,1
"6","NR0 Order1 - NR6 Order1",-0.0331496479788844,0.103331065470642,21,-0.320810085794602,1
"7","NR0 Order1 - PR0 Order1",0.211460206803313,0.0907084641410019,21,2.33120700262997,0.814196253589475
"8","NR0 Order1 - PR1 Order1",0.289121933037942,0.125543233338577,21,2.30296707635536,0.827989193593387
"9","NR0 Order1 - PR2 Order1",0.320078068238591,0.0979911479979017,21,3.26639777957744,0.289920780327597
"10","NR0 Order1 - PR3 Order1",0.152915084998887,0.118122389774252,21,1.29454784390265,0.99969296489531
"11","NR0 Order1 - PR4 Order1",0.23402483062223,0.0645327498609685,21,3.62645061811903,0.160115367299969
"12","NR0 Order1 - PR5 Order1",0.117592020803648,0.10309271566877,21,1.14064335235346,0.999961473810766
"13","NR0 Order1 - PR6 Order1",0.123325636251487,0.085396501867236,21,1.44415325633852,0.99847103776055
"14","NR0 Order1 - NR0 Order2",-0.0201855537694091,0.129020797207623,21,-0.156451938030781,1
"15","NR0 Order1 - NR1 Order2",-0.0960728685068574,0.142968837342551,21,-0.671984680666237,0.999999999158668
"16","NR0 Order1 - NR2 Order2",-0.123573121732369,0.138346856957798,21,-0.893212353715161,0.999999611723423
"17","NR0 Order1 - NR3 Order2",-0.00901958791017868,0.140636352035653,21,-0.0641341145416807,1
"18","NR0 Order1 - NR4 Order2",-0.202906215653614,0.141934756478592,21,-1.42957384567196,0.998672505941872
"19","NR0 Order1 - NR5 Order2",-0.0657612826477889,0.141462913841395,21,-0.464865885072316,1
"20","NR0 Order1 - NR6 Order2",-0.276603808740383,0.141929754469853,21,-1.94887823045685,0.952563061237042
"21","NR0 Order1 - PR0 Order2",0.554098697045743,0.120947373671712,21,4.5813206208986,0.0251239900789734
"22","NR0 Order1 - PR1 Order2",0.63144313203468,0.13180047429968,21,4.79090181875175,0.0162356201893255
"23","NR0 Order1 - PR2 Order2",0.674205234436406,0.127985953019245,21,5.26780649385035,0.00591087354903652
"24","NR0 Order1 - PR3 Order2",0.502208379571499,0.143568711369619,21,3.49803501599006,0.199693494183388
"25","NR0 Order1 - PR4 Order2",0.345936586412753,0.11986309842185,21,2.88609748093822,0.489428427758912
"26","NR0 Order1 - PR5 Order2",0.289105586077763,0.141682648594766,21,2.04051511561341,0.929343455661215
"27","NR0 Order1 - PR6 Order2",0.112825262979525,0.138231678591191,21,0.816204101182885,0.999999939782079
"28","NR1 Order1 - NR2 Order1",0.0450887354491259,0.0833937777635273,21,0.540672657581004,1
