"contrast","estimate","SE","df","t.ratio","p.value"
"PR0 Order2 - PR1 Order2",0.0773444349889371,0.0790948302141205,21,0.977869663283368,0.678540544347438
"PR0 Order2 - PR2 Order2",0.120106537390664,0.0910432313469608,21,1.31922533519207,0.603894130135468
"PR0 Order2 - PR3 Order2",-0.0518903174742438,0.0843193969413826,21,-0.615401904621271,0.678540544347438
"PR0 Order2 - PR4 Order2",-0.20816211063299,0.0691333828253875,21,-3.01102162407923,0.033260322632052
"PR0 Order2 - PR5 Order2",-0.26499311096798,0.0959272470914237,21,-2.76243839996188,0.0466816898153367
"PR0 Order2 - PR6 Order2",-0.441273434066218,0.097829259048476,21,-4.51064884226057,0.00115010919239113
"PR0 Order2 - NR0 Order2",-0.574284250815152,0.0868467424715389,21,-6.61261705933707,1.20829483916441e-05
"PR0 Order2 - NR1 Order2",-0.6501715655526,0.0886595991506283,21,-7.33334654996568,3.34994104387442e-06
"PR0 Order2 - NR2 Order2",-0.677671818778112,0.0919549374436892,21,-7.36960774067298,3.34994104387442e-06
"PR0 Order2 - NR3 Order2",-0.563118284955921,0.0979668375881253,21,-5.74805004243781,7.34608997215897e-05
"PR0 Order2 - NR4 Order2",-0.757004912699357,0.102259918999649,21,-7.402752907539,3.34994104387442e-06
"PR0 Order2 - NR5 Order2",-0.619859979693531,0.0905571906881418,21,-6.84495593318688,8.20354468822103e-06
"PR0 Order2 - NR6 Order2",-0.830702505786125,0.0780063034356441,21,-10.6491715310092,8.27957003865659e-09
