"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"NR X0 Order1 - PR X0 Order1",23.5454545454546,15.6952825063944,21,1.50016124500225,0.997439553973603,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X1 Order1",-6.72727272727271,13.3245260660147,21,-0.504878949836062,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X1 Order1",-9.72727272727275,17.9743000535868,21,-0.54117671888601,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X2 Order1",-18.4545454545454,10.735181861886,21,-1.71907152500752,0.986567333932317,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X2 Order1",-19,17.558149113406,21,-1.08211861496797,0.999984772377974,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X3 Order1",-10.7272727272727,11.5491012409039,21,-0.928840478883281,0.999999151010523,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X3 Order1",-18.7272727272728,11.8656223976622,21,-1.57827984910108,0.995083575187032,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X4 Order1",-20.7272727272727,13.2787462384824,21,-1.56093597656111,0.99571958322371,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X4 Order1",-25.5454545454545,10.1630950946126,21,-2.51355067601366,0.714921673385988,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X5 Order1",-23.6363636363636,17.5367532573861,21,-1.34781868054216,0.999433265187668,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X5 Order1",-38.5454545454545,10.1473225819322,21,-3.7985837381465,0.117492593964673,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X6 Order1",-14.0909090909091,16.1582844013435,21,-0.872054776417819,0.999999761541392,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X6 Order1",-31.4545454545454,7.78044054979482,21,-4.04277177535595,0.0740914419993434,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X0 Order2",-62.4848484848485,16.5287035491663,21,-3.7803841238353,0.121481564466075,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X0 Order2",26.2651515151515,14.7711464540654,21,1.77813899529259,0.980653238555528,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X1 Order2",-65.2348484848485,16.095625584296,21,-4.05295514257588,0.0726455000221423,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X1 Order2",17.2651515151515,16.3211116888332,21,1.05784163752547,0.999989903536519,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X2 Order2",-36.8181818181818,14.5539702705562,21,-2.52976893134569,0.70542165912217,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X2 Order2",-25.8181818181818,15.8250905448175,21,-1.63147134893562,0.99263730722724,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X3 Order2",-26.9848484848484,15.1309337125419,21,-1.78342255656576,0.980040959038375,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X3 Order2",-25.9848484848486,15.3333565040406,21,-1.69466147076155,0.988553646839265,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X4 Order2",-18.4015151515151,15.8288751948448,21,-1.16252828612283,0.999946632018375,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X4 Order2",-49.5681818181818,16.0230532239931,21,-3.09355408892718,0.373421679585214,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X5 Order2",-37.8181818181818,15.4626071834734,21,-2.44578300214483,0.753608251163877,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X5 Order2",-60.4015151515151,15.6485079402633,21,-3.85988973403038,0.104883158739416,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X6 Order2",-34.0681818181819,14.4620514807414,21,-2.35569496233292,0.801844247284567,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X6 Order2",-51.9015151515151,17.3773554332402,21,-2.98673266774733,0.431319101994969,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X1 Order1",-30.2727272727273,16.0147634563723,21,-1.89030124329946,0.964269855368486,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X1 Order1",-33.2727272727273,10.0203649383953,21,-3.32051052803828,0.266598073450254,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X2 Order1",-42,13.1387725787969,21,-3.1966456339901,0.321998882485937,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X2 Order1",-42.5454545454546,11.6966795042844,21,-3.63739594043509,0.157063564574833,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X3 Order1",-34.2727272727273,12.8868589428162,21,-2.65950977075237,0.627215843585636,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - PR X3 Order1",-42.2727272727273,14.6843309337022,21,-2.8787642735364,0.493772274562218,"NANA OrderNA - NANA OrderNA"
"PR X0 Order1 - NR X4 Order1",-44.2727272727273,13.4317012884261,21,-3.29613697639898,0.276932875731019,"NANA OrderNA - NANA OrderNA"
