"contrast","estimate","SE","df","t.ratio","p.value"
"O2:NR0 - O1:PR0",86.0303030303031,14.6008815729897,21,5.89213073198616,9.06093813869401e-05
"O2:PR0 - O1:PR0",-2.71969696969696,12.5767431897012,21,-0.216248111985307,1
"O2:NR1 - O1:PR0",88.7803030303031,14.1087513495026,21,6.2925698264172,4.28802695031276e-05
"O2:PR1 - O1:PR0",6.28030303030308,14.3654581706124,21,0.437180837235721,1
"O2:NR2 - O1:PR0",60.3636363636363,12.3209477041533,21,4.89926893718479,0.000760588407657172
"O2:PR2 - O1:PR0",49.3636363636364,13.7993185499835,21,3.577251745065,0.00710671092863312
"O2:NR3 - O1:PR0",50.530303030303,12.9974173090497,21,3.88771875433441,0.00509673870849683
"O2:PR3 - O1:PR0",49.5303030303031,13.232517650555,21,3.74307477520921,0.00599434808177226
"O2:NR4 - O1:PR0",41.9469696969697,13.8036586319069,21,3.03882983602695,0.018724920907234
"O2:PR4 - O1:PR0",73.1136363636364,14.0259023350073,21,5.2127581254542,0.000399624384969143
"O2:NR5 - O1:PR0",61.3636363636364,13.3820746748271,21,4.58550993435022,0.00112234125217975
"O2:PR5 - O1:PR0",83.9469696969697,13.5964518330603,21,6.17418211219262,5.1886900693307e-05
"O2:NR6 - O1:PR0",57.6136363636365,12.2122329949875,21,4.71769875233168,0.000936265482179338
"O2:PR6 - O1:PR0",75.4469696969697,15.55506938414,21,4.85031392877588,0.000768727178126436
