"contrast","estimate","SE","df","t.ratio","p.value"
"NR0 Order1 - PR0 Order1",-2.54545454545455,2.98455181244787,21,-0.852876647957006,1
"NR0 Order1 - PR1 Order1",-6.54545454545455,4.48457060096168,21,-1.45954989404134,0.933990085514713
"NR0 Order1 - PR2 Order1",-7.27272727272727,3.68522369358805,21,-1.97348326110601,0.555697684680461
"NR0 Order1 - PR3 Order1",-8.54545454545455,3.07128670860251,21,-2.78236952659587,0.145104265587985
"NR0 Order1 - PR4 Order1",-7.90909090909091,3.30654326869827,21,-2.39195143277366,0.314317935141595
"NR0 Order1 - PR5 Order1",-7.36363636363636,3.27092803676533,21,-2.25123765514523,0.387271882342624
"NR0 Order1 - PR6 Order1",-7.0909090909091,3.27909933625651,21,-2.16245632223031,0.422719789662268
"NR0 Order1 - NR1 Order1",-2.27272727272727,2.60772120655544,21,-0.871537673204465,1
"NR0 Order1 - NR2 Order1",-4.36363636363637,2.28036235558732,21,-1.91357147821031,0.555697684680461
"NR0 Order1 - NR3 Order1",-4.27272727272728,2.71368065640963,21,-1.57451366380758,0.912203650792995
"NR0 Order1 - NR4 Order1",-2.90909090909092,2.5565684502058,21,-1.1378889185841,1
"NR0 Order1 - NR5 Order1",-4.72727272727273,3.20995598018516,21,-1.47269082705615,0.933990085514713
"NR0 Order1 - NR6 Order1",-1.54545454545455,2.59006087226762,21,-0.596686572891815,1
