"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 Order1 - NR1 Order1",0.0157836954148983,0.169684641754815,19,0.093017819713495,1
"2","NR0 Order1 - NR2 Order1",0.0523775180516682,0.154433120730668,19,0.339159875833986,1
"3","NR0 Order1 - NR3 Order1",-0.072596960972426,0.200206971822338,19,-0.36260955506009,1
"4","NR0 Order1 - NR4 Order1",0.15328615182531,0.157401564138115,19,0.973854057071548,0.999997236150072
"5","NR0 Order1 - NR5 Order1",0.0317863768260405,0.18456138941422,19,0.172226579605449,1
"6","NR0 Order1 - NR6 Order1",0.140870258586824,0.14074366649397,19,1.00089945143542,0.999995373614302
"7","NR0 Order1 - PR0 Order1",0.052745905184431,0.205474934604097,19,0.256702382147294,1
"8","NR0 Order1 - PR1 Order1",-0.0740759144575701,0.214120113403454,19,-0.345954956216528,1
"9","NR0 Order1 - PR2 Order1",-0.122515707761932,0.166753013272288,19,-0.734713606415486,0.999999991375964
"10","NR0 Order1 - PR3 Order1",-0.116064980954978,0.148344027703502,19,-0.782404136868658,0.999999966548161
"11","NR0 Order1 - PR4 Order1",-0.0923798152980195,0.160952620383811,19,-0.573956578511917,1
"12","NR0 Order1 - PR5 Order1",-0.0900416167964877,0.187109341233455,19,-0.481224594148634,1
"13","NR0 Order1 - PR6 Order1",-0.107363002212571,0.165175805612305,19,-0.649992302532306,0.999999999440531
"14","NR0 Order1 - NR0 Order2",0.109891928489439,0.192518963071478,19,0.570810930706286,1
"15","NR0 Order1 - NR1 Order2",0.0927946728294485,0.201841091767867,19,0.459741235130503,1
"16","NR0 Order1 - NR2 Order2",0.279290348893997,0.192354642758104,19,1.45195533047372,0.998117206020213
"17","NR0 Order1 - NR3 Order2",0.125276990849457,0.217950584303198,19,0.574795388826211,1
"18","NR0 Order1 - NR4 Order2",0.146172514687917,0.178753444846985,19,0.817732574681525,0.999999915196097
"19","NR0 Order1 - NR5 Order2",0.263481248096954,0.20175439074496,19,1.30595050310466,0.999584593142782
"20","NR0 Order1 - NR6 Order2",0.114650799605593,0.189576267924783,19,0.604774009218716,1
"21","NR0 Order1 - PR0 Order2",-0.403142697120215,0.226259281223005,19,-1.78177308325695,0.978712618527324
