"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"NR X0 Order1 - PR X0 Order1",-0.00610740781818182,0.196971682549423,21,-0.0310065271268086,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X1 Order1",-0.011752599818182,0.156427497683852,21,-0.0751312908037089,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X1 Order1",-0.0987334413636364,0.20969881236178,21,-0.47083452811024,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X2 Order1",-0.265926916454546,0.260683046274866,21,-1.02011588499756,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X2 Order1",-0.0986975300909092,0.172351460858061,21,-0.572652703954687,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X3 Order1",-0.0945964644545453,0.183162441331191,21,-0.516462129282813,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X3 Order1",-0.099147301363636,0.137672959163146,21,-0.720165397521121,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X4 Order1",0.127793944,0.143863080435611,21,0.888302569450382,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X4 Order1",-0.0864337694545454,0.14637766068168,21,-0.590484702734172,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X5 Order1",-0.0131356834545458,0.169945119571626,21,-0.0772936786161105,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X5 Order1",-0.0953254417272727,0.170361637391309,21,-0.559547578826781,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X6 Order1",0.0723951728181819,0.134062646872662,21,0.540010021486044,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X6 Order1",-0.102148174818182,0.150686781764244,21,-0.677884109158274,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X0 Order2",0.0633182047575757,0.181395827689052,21,0.349060976562898,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X0 Order2",-0.514821421659091,0.213420165064658,21,-2.41224357362446,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X1 Order2",0.0735260221742421,0.188603117992389,21,0.389845210179448,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X1 Order2",-0.778081248159091,0.22619197909319,21,-3.43991529354154,0.776255423360251,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - NR X2 Order2",0.245444840757575,0.251603638663997,21,0.97552182496595,1,"NANA OrderNA - NANA OrderNA"
"NR X0 Order1 - PR X2 Order2",-0.867026414825758,0.206509031030395,21,-4.19849151632571,0.138244428934529,"NANA OrderNA - NANA OrderNA"
