"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 F Order1 - NR1 F Order1",-6.6,3.83044131945059,19,-1.72303905727152,0.999282458026348
"2","NR0 F Order1 - NR2 F Order1",-9.6,3.16150086498458,19,-3.03653246036573,0.640771358446271
"3","NR0 F Order1 - NR3 F Order1",-10,3.77851729947821,19,-2.64654074797565,0.845736036995894
"4","NR0 F Order1 - NR4 F Order1",-6.00000000000001,3.86368608655499,19,-1.55292119121143,0.999905721333896
"5","NR0 F Order1 - NR5 F Order1",-9.8,4.65546274105307,19,-2.10505390013781,0.984441190635487
"6","NR0 F Order1 - NR6 F Order1",-1.20000000000001,4.03641320716145,19,-0.297293646218121,1
"7","NR0 F Order1 - PR0 F Order1",-7.8,4.24735211631906,19,-1.83643827645724,0.997853583709663
"8","NR0 F Order1 - PR1 F Order1",-13.6,6.60876610825986,19,-2.05787279761683,0.988420322448256
"9","NR0 F Order1 - PR2 F Order1",-7.2,5.71590578538244,19,-1.25964287557239,0.999999377318852
"10","NR0 F Order1 - PR3 F Order1",-8.40000000000001,4.78158015429312,19,-1.756741438802,0.998987021410483
"11","NR0 F Order1 - PR4 F Order1",-8.40000000000001,5.08665264075692,19,-1.65138070028506,0.999675205226907
"12","NR0 F Order1 - PR5 F Order1",-11.4,4.92401918276937,19,-2.3151818822908,0.953213993636605
"13","NR0 F Order1 - PR6 F Order1",-13.8,4.66844577615637,19,-2.95601591229401,0.687068103300279
"14","NR0 F Order1 - NR0 M Order1",-1.76666666666667,4.78316981198581,19,-0.369350605583707,1
"15","NR0 F Order1 - NR1 M Order1",-0.433333333333333,6.08009887577343,19,-0.0712707707863074,1
"16","NR0 F Order1 - NR2 M Order1",-1.76666666666667,5.55380908220992,19,-0.31809999957069,1
"17","NR0 F Order1 - NR3 M Order1",-1.26666666666667,5.86208952228226,19,-0.216077673643838,1
"18","NR0 F Order1 - NR4 M Order1",-2.10000000000001,5.18319935518166,19,-0.405155166933842,1
"19","NR0 F Order1 - NR5 M Order1",-2.26666666666667,5.62024848049053,19,-0.403303639427137,1
"20","NR0 F Order1 - NR6 M Order1",-3.60000000000001,4.98199095925802,19,-0.722602676207217,1
"21","NR0 F Order1 - PR0 M Order1",0.066666666666666,5.30593841428077,19,0.0125645383457966,1
"22","NR0 F Order1 - PR1 M Order1",-2.43333333333334,7.27145343708665,19,-0.334641946673631,1
"23","NR0 F Order1 - PR2 M Order1",-9.1,6.31171749825495,19,-1.44176288031204,0.999981670682858
"24","NR0 F Order1 - PR3 M Order1",-10.4333333333333,6.25291043346128,19,-1.66855633778173,0.999604200420432
"25","NR0 F Order1 - PR4 M Order1",-9.26666666666667,6.36437912426867,19,-1.45602053016153,0.999977021376379
"26","NR0 F Order1 - PR5 M Order1",-5.76666666666666,5.98531829460383,19,-0.963468671643695,1
"27","NR0 F Order1 - PR6 M Order1",-3.26666666666667,6.1895781110656,19,-0.527768873427186,1
"28","NR0 F Order1 - NR0 F Order2",-2.1,4.78316981198581,19,-0.439039399090067,1
"29","NR0 F Order1 - NR1 F Order2",-3.1,6.08009887577343,19,-0.509860129471276,1
"30","NR0 F Order1 - NR2 F Order2",-0.266666666666673,5.55380908220992,19,-0.0480150942748222,1
"31","NR0 F Order1 - NR3 F Order2",2.23333333333333,5.86208952228226,19,0.380979056161503,1
"32","NR0 F Order1 - NR4 F Order2",-0.600000000000008,5.18319935518166,19,-0.115758619123956,1
"33","NR0 F Order1 - NR5 F Order2",-2.76666666666667,5.62024848049053,19,-0.492267677536064,1
"34","NR0 F Order1 - NR6 F Order2",1.23333333333333,4.98199095925802,19,0.247558324256175,1
"35","NR0 F Order1 - PR0 F Order2",-14.9333333333333,5.30593841428077,19,-2.81445658945847,0.76470041420346
"36","NR0 F Order1 - PR1 F Order2",-26.4333333333333,7.27145343708665,19,-3.6352200508519,0.319182366388245
"37","NR0 F Order1 - PR2 F Order2",-29.2666666666667,6.31171749825495,19,-4.63687842093031,0.0622771384535766
"38","NR0 F Order1 - PR3 F Order2",-25.1,6.25291043346128,19,-4.01413074233113,0.180803602067735
"39","NR0 F Order1 - PR4 F Order2",-19.1,6.36437912426867,19,-3.00107828698762,0.66127468163335
"40","NR0 F Order1 - PR5 F Order2",-13.4333333333333,5.98531829460383,19,-2.24438077845323,0.966540094288357
"41","NR0 F Order1 - PR6 F Order2",-10.2666666666667,6.1895781110656,19,-1.6587021736283,0.999646429284593
"42","NR0 F Order1 - NR0 M Order2",-2.6,4.78316981198581,19,-0.543572589349607,1
"43","NR0 F Order1 - NR1 M Order2",-4.93333333333334,6.08009887577343,19,-0.811390313567192,1
"44","NR0 F Order1 - NR2 M Order2",-1.10000000000001,5.55380908220992,19,-0.198062263883638,1
"45","NR0 F Order1 - NR3 M Order2",-2.1,5.86208952228226,19,-0.358234037883205,1
"46","NR0 F Order1 - NR4 M Order2",-2.26666666666668,5.18319935518166,19,-0.437310338912719,1
"47","NR0 F Order1 - NR5 M Order2",2.06666666666666,5.62024848049053,19,0.367718024183565,1
"48","NR0 F Order1 - NR6 M Order2",0.233333333333323,4.98199095925802,19,0.0468353586430583,1
"49","NR0 F Order1 - PR0 M Order2",-9.93333333333334,5.30593841428077,19,-1.87211621352371,0.997076369933144
"50","NR0 F Order1 - PR1 M Order2",-23.2666666666667,7.27145343708665,19,-3.1997271065506,0.545890132823033
"51","NR0 F Order1 - PR2 M Order2",-26.4333333333333,6.31171749825495,19,-4.18797789043023,0.136084821196652
"52","NR0 F Order1 - PR3 M Order2",-27.1,6.25291043346128,19,-4.33398179749696,0.106244002933972
"53","NR0 F Order1 - PR4 M Order2",-24.2666666666667,6.36437912426868,19,-3.8128882948115,0.246915824715433
