mouse_id,sex,order,grain_meals_per_day_day1,grain_meals_per_day_day2,grain_meals_per_day_day3,grain_snacks_per_day_day1,grain_snacks_per_day_day2,grain_snacks_per_day_day3,grain_mega_meals_per_day_day1,grain_mega_meals_per_day_day2,grain_mega_meals_per_day_day3,grain_meal_size_per_day_day1,grain_meal_size_per_day_day2,grain_meal_size_per_day_day3,grain_meal_freq_per_day_day1,grain_meal_freq_per_day_day2,grain_meal_freq_per_day_day3,grain_snack_size_per_day_day1,grain_snack_size_per_day_day2,grain_snack_size_per_day_day3,grain_snack_freq_per_day_day1,grain_snack_freq_per_day_day2,grain_snack_freq_per_day_day3,grain_mega_meal_size_per_day_day1,grain_mega_meal_size_per_day_day2,grain_mega_meal_size_per_day_day3,grain_mega_meal_freq_per_day_day1,grain_mega_meal_freq_per_day_day2,grain_mega_meal_freq_per_day_day3,grain_pellets_per_day_day1,grain_pellets_per_day_day2,grain_pellets_per_day_day3,pr_meals_per_day_day1,pr_meals_per_day_day2,pr_meals_per_day_day3,pr_meals_per_day_day4,pr_meals_per_day_day5,pr_meals_per_day_day6,pr_meals_per_day_day7,pr_snacks_per_day_day1,pr_snacks_per_day_day2,pr_snacks_per_day_day3,pr_snacks_per_day_day4,pr_snacks_per_day_day5,pr_snacks_per_day_day6,pr_snacks_per_day_day7,pr_mega_meals_per_day_day1,pr_mega_meals_per_day_day2,pr_mega_meals_per_day_day3,pr_mega_meals_per_day_day4,pr_mega_meals_per_day_day5,pr_mega_meals_per_day_day6,pr_mega_meals_per_day_day7,pr_meal_size_per_day_day1,pr_meal_size_per_day_day2,pr_meal_size_per_day_day3,pr_meal_size_per_day_day4,pr_meal_size_per_day_day5,pr_meal_size_per_day_day6,pr_meal_size_per_day_day7,pr_meal_freq_per_day_day1,pr_meal_freq_per_day_day2,pr_meal_freq_per_day_day3,pr_meal_freq_per_day_day4,pr_meal_freq_per_day_day5,pr_meal_freq_per_day_day6,pr_meal_freq_per_day_day7,pr_snack_size_per_day_day1,pr_snack_size_per_day_day2,pr_snack_size_per_day_day3,pr_snack_size_per_day_day4,pr_snack_size_per_day_day5,pr_snack_size_per_day_day6,pr_snack_size_per_day_day7,pr_snack_freq_per_day_day1,pr_snack_freq_per_day_day2,pr_snack_freq_per_day_day3,pr_snack_freq_per_day_day4,pr_snack_freq_per_day_day5,pr_snack_freq_per_day_day6,pr_snack_freq_per_day_day7,pr_mega_meal_size_per_day_day1,pr_mega_meal_size_per_day_day2,pr_mega_meal_size_per_day_day3,pr_mega_meal_size_per_day_day4,pr_mega_meal_size_per_day_day5,pr_mega_meal_size_per_day_day6,pr_mega_meal_size_per_day_day7,pr_mega_meal_freq_per_day_day1,pr_mega_meal_freq_per_day_day2,pr_mega_meal_freq_per_day_day3,pr_mega_meal_freq_per_day_day4,pr_mega_meal_freq_per_day_day5,pr_mega_meal_freq_per_day_day6,pr_mega_meal_freq_per_day_day7,pr_pellets_per_day_day1,pr_pellets_per_day_day2,pr_pellets_per_day_day3,pr_pellets_per_day_day4,pr_pellets_per_day_day5,pr_pellets_per_day_day6,pr_pellets_per_day_day7,nr_meals_per_day_day1,nr_meals_per_day_day2,nr_meals_per_day_day3,nr_meals_per_day_day4,nr_meals_per_day_day5,nr_meals_per_day_day6,nr_meals_per_day_day7,nr_snacks_per_day_day1,nr_snacks_per_day_day2,nr_snacks_per_day_day3,nr_snacks_per_day_day4,nr_snacks_per_day_day5,nr_snacks_per_day_day6,nr_snacks_per_day_day7,nr_mega_meals_per_day_day1,nr_mega_meals_per_day_day2,nr_mega_meals_per_day_day3,nr_mega_meals_per_day_day4,nr_mega_meals_per_day_day5,nr_mega_meals_per_day_day6,nr_mega_meals_per_day_day7,nr_meal_size_per_day_day1,nr_meal_size_per_day_day2,nr_meal_size_per_day_day3,nr_meal_size_per_day_day4,nr_meal_size_per_day_day5,nr_meal_size_per_day_day6,nr_meal_size_per_day_day7,nr_meal_freq_per_day_day1,nr_meal_freq_per_day_day2,nr_meal_freq_per_day_day3,nr_meal_freq_per_day_day4,nr_meal_freq_per_day_day5,nr_meal_freq_per_day_day6,nr_meal_freq_per_day_day7,nr_snack_size_per_day_day1,nr_snack_size_per_day_day2,nr_snack_size_per_day_day3,nr_snack_size_per_day_day4,nr_snack_size_per_day_day5,nr_snack_size_per_day_day6,nr_snack_size_per_day_day7,nr_snack_freq_per_day_day1,nr_snack_freq_per_day_day2,nr_snack_freq_per_day_day3,nr_snack_freq_per_day_day4,nr_snack_freq_per_day_day5,nr_snack_freq_per_day_day6,nr_snack_freq_per_day_day7,nr_mega_meal_size_per_day_day1,nr_mega_meal_size_per_day_day2,nr_mega_meal_size_per_day_day3,nr_mega_meal_size_per_day_day4,nr_mega_meal_size_per_day_day5,nr_mega_meal_size_per_day_day6,nr_mega_meal_size_per_day_day7,nr_mega_meal_freq_per_day_day1,nr_mega_meal_freq_per_day_day2,nr_mega_meal_freq_per_day_day3,nr_mega_meal_freq_per_day_day4,nr_mega_meal_freq_per_day_day5,nr_mega_meal_freq_per_day_day6,nr_mega_meal_freq_per_day_day7,nr_pellets_per_day_day1,nr_pellets_per_day_day2,nr_pellets_per_day_day3,nr_pellets_per_day_day4,nr_pellets_per_day_day5,nr_pellets_per_day_day6,nr_pellets_per_day_day7
FEDXA01,M,2.0,47,30,28,30,18,25,21,17,13,3.021276595744681,3.2666666666666666,3.2857142857142856,2.2903243272510694,1.2979365212897642,1.2101566720691517,1.0,1.0,1.0,1.4809329877823028,0.809382845580245,2.3950183618074408,8.0,9.117647058823529,8.23076923076923,1.0748866108370183,0.8594902043395828,0.5695439997079264,340,271,224,37,33,36,27,30,34,25,32,44,52,62,28,25,13,4,2,3,6,13,16,17,2.72972972972973,2.9393939393939394,2.9166666666666665,2.7037037037037037,3.2666666666666666,2.9411764705882355,3.88,1.7477103944157242,1.429086972212198,1.5142132750703945,1.154888075661803,1.3565112540192923,1.4895222333098055,1.1126083247827319,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4997266123362927,2.073922777799599,2.1963581753332075,2.7045038713664296,1.1807564806897113,1.2434717731907492,0.6403064714735258,7.0,7.0,6.333333333333333,8.166666666666666,6.846153846153846,6.625,7.647058823529412,0.5167216879575139,1.194029850746268,0.41075571444871267,0.3271636727151557,0.5628991712873312,0.893314102265855,0.7502022604133466,161,155,176,184,215,231,240,14,24,24,21,20,11,11,13,14,14,19,18,12,13,22,18,17,16,18,20,20,3.857142857142857,3.5833333333333335,3.2916666666666665,3.6666666666666665,3.9,3.727272727272727,3.8181818181818183,0.6902313096591298,1.0420435632100729,1.0088861383248287,1.1023622047244097,0.8925914906277894,0.7364290629126139,0.7646411400104275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6949290964436855,0.6133998661230451,0.8322050130444832,1.4066548759922672,0.9987515605493129,0.546226987659316,0.7606045831301803,8.136363636363637,7.444444444444445,7.647058823529412,7.125,8.055555555555555,8.5,8.2,1.0861366721979182,0.9535581847077521,0.7849374102195772,0.7593034445484387,0.7641058899829021,0.8589937842255339,0.862234144472121,246,234,222,211,241,223,219
FEDXA02,M,2.0,48,43,30,29,20,9,18,7,10,3.1875,3.2790697674418605,3.6333333333333333,2.266556486837445,1.9276268273852515,1.2645629646976173,1.0,1.0,1.0,1.37276301429304,1.116019530341781,0.4315741801422595,6.777777777777778,7.571428571428571,7.6,0.8873308867831518,0.31715666532420456,0.49562882907689115,304,214,194,40,42,57,52,50,48,41,10,24,32,32,22,16,17,4,1,3,4,4,6,9,2.95,2.857142857142857,2.7017543859649122,2.9038461538461537,3.08,3.5208333333333335,3.4390243902439024,1.86101813200305,1.9091150140784603,2.4055989964947653,2.197131522734208,2.114015925586639,2.0258625742992122,1.7255085340191716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5907643834717253,1.0591869759231107,1.4801110083256246,1.3601426260670393,1.0630016374520175,0.6763977124605142,0.8950770760815516,6.5,9.0,6.0,7.0,6.75,6.833333333333333,6.222222222222222,0.2782393631410133,92.30769230765517,0.3137437178630565,0.22043965464454116,0.21995478707154645,0.2945066332165308,0.40217971475031383,154,153,204,211,203,226,214,22,21,37,33,32,28,19,13,16,16,13,16,12,12,17,12,7,9,7,7,13,3.590909090909091,3.619047619047619,3.4324324324324325,3.0,3.75,3.9642857142857144,3.9473684210526314,1.0820115578507317,0.9039926341340921,1.594617567130766,1.3830839979044185,1.4310025713327452,1.1813792133514593,0.9846685381127178,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.745306005446467,0.7598343139065511,0.7283579069826255,0.610241097390828,0.72849608559829,0.5204380353464167,0.6690620740924292,7.823529411764706,6.583333333333333,7.428571428571429,6.666666666666667,6.571428571428571,7.428571428571429,7.230769230769231,0.9505319562009784,0.636867555136219,0.3420288281440864,0.5172000957777956,0.468488566648076,0.40959625511995346,0.6062019118675684,225,171,195,172,182,175,181
FEDXA03,M,2.0,55,37,34,38,13,15,7,14,12,2.909090909090909,3.2972972972972974,3.264705882352941,2.638979594556772,1.5817035374585873,1.5803948404756678,1.0,1.0,1.0,1.8571312209823247,0.5587726105904126,0.7030060015882726,6.571428571428571,7.714285714285714,6.666666666666667,0.46665802485139163,0.6512890094979648,0.6228104320747371,244,243,206,41,33,44,56,61,59,53,18,42,43,29,25,26,27,2,3,2,5,8,10,17,2.8536585365853657,2.6363636363636362,2.6136363636363638,3.267857142857143,3.3278688524590163,3.23728813559322,3.2830188679245285,1.9836843307753305,1.454759193269902,1.9047390002525224,2.394640566351499,2.6412008082363134,2.480960612998179,2.270509555656042,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8520373949745572,1.804791291165833,1.8598839374752196,1.252143876608657,1.1045248702183275,1.1151751992660817,1.2167490767978961,6.0,6.666666666666667,6.5,7.0,8.125,6.3,6.882352941176471,0.6311913737178928,0.25641025641025644,3.1427324312527323,0.2411317114993033,0.3844254308100964,0.45793370137634515,0.7425382188789128,147,149,171,247,293,280,318,24,27,27,20,22,30,21,7,10,15,12,12,7,11,32,26,20,25,22,12,17,3.4583333333333335,4.222222222222222,4.074074074074074,3.8,3.8181818181818183,3.966666666666667,4.0476190476190474,1.2879567103439022,1.189587438348285,1.2625672200140285,0.8618213157138754,0.9620056359926149,1.5411398727132617,0.8972122334175953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.39031038969084936,0.4849595193512319,0.6342718207124989,1.3379998141666938,0.6132443750443607,0.4619869103708726,0.45962069685925866,8.1875,8.73076923076923,7.7,8.0,7.045454545454546,8.0,7.764705882352941,1.5832440009895274,1.1471994116926094,0.8354412754403471,1.1309232103140203,1.0081979734202353,0.5472788081483735,0.7965431070387334,352,351,279,288,251,222,228
FEDXA04,M,2.0,61,46,28,57,22,17,8,12,14,2.7868852459016393,3.108695652173913,3.107142857142857,2.989870384489707,1.9759921723981577,1.2357029899599135,1.0,1.0,1.0,3.2281408300034613,0.955679171744718,1.0171857859920883,6.875,8.5,7.357142857142857,0.4778972520908004,0.5201560468140443,0.6394721816913026,282,267,201,31,37,39,47,46,47,44,27,39,35,27,36,18,18,6,0,3,2,7,12,15,2.838709677419355,2.8378378378378377,2.8974358974358974,2.9148936170212765,3.4782608695652173,3.5106382978723403,3.8181818181818183,1.5858580117092027,1.6078994700691687,1.6395356984375362,2.1385778204706893,1.9583495937843691,2.0159416663688017,1.9326736539001212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3026347530086573,1.7066796328936973,1.5003393624748453,1.213862004370903,1.5572618146425863,0.8317716222113826,0.7845036319612596,8.166666666666666,0.0,6.666666666666667,6.0,8.0,7.416666666666667,7.933333333333334,0.3609263777027705,0.0,0.5796168088874574,1.0932280595201922,0.36477859965548676,0.5495344222256142,0.6613756613756612,164,144,168,176,252,272,305,19,18,24,6,21,29,13,15,17,10,9,10,9,6,28,22,17,24,18,15,21,3.3684210526315788,3.5,4.083333333333333,3.3333333333333335,4.142857142857143,3.689655172413793,4.0,1.0006436889226988,1.1036738030759798,1.0833448271538375,0.4596918362135017,1.0150921102100003,1.250554005007007,0.610010427528676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7675033400608319,1.1973704805133825,0.43417958149912567,0.6816747317483692,0.5321507760532149,0.8924144769459587,1.1237124128602654,7.642857142857143,8.5,7.764705882352941,7.541666666666667,7.888888888888889,8.2,7.476190476190476,1.3817304529005374,0.9516599978371365,0.9324861726927822,1.1043085929012386,0.8185332087007047,0.6529151452131645,0.9814740285873789,293,267,240,210,239,239,215
FEDXA05,M,2.0,25,12,14,13,6,8,15,19,16,3.16,3.8333333333333335,3.7857142857142856,1.515636314646099,0.5555769898530036,0.7021747913677082,1.0,1.0,1.0,0.8485331979548174,0.4194663455936615,0.3690557043453746,9.0,9.68421052631579,10.375,1.1875700996239362,0.8196623087155028,0.7328430748874017,227,236,227,38,48,54,56,50,64,67,14,25,26,30,37,37,26,3,0,4,3,9,5,8,3.0789473684210527,2.9583333333333335,2.7777777777777777,3.017857142857143,2.96,2.8125,2.970149253731343,2.038778521289438,2.031101237702317,2.3136246786632393,2.468077813008826,2.247134902998677,2.816350479170741,2.7935419610386574,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6890140536993493,1.087455595563181,1.1258525085100497,1.3444039186884589,1.6721484345577349,1.5621518289607932,1.1156005291951225,7.666666666666667,0.0,7.0,7.0,7.555555555555555,6.4,6.875,0.30139815254095387,0.0,0.2739204869697545,0.14796142042963611,0.4147040753635061,0.2750569215018105,0.40307343494142844,154,167,204,220,253,249,279,44,40,33,39,38,37,30,13,25,10,13,13,5,8,12,13,17,15,13,14,14,3.409090909090909,3.5,3.696969696969697,3.6153846153846154,3.5526315789473686,3.4324324324324325,3.7666666666666666,2.185973337749441,1.7312270071413114,1.6908865768086656,1.699243570347957,1.6780334625386386,1.565015097930937,1.3105523735559652,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8539522662579374,1.135102411462012,0.5908904390644236,0.5538723726566938,0.7037170696499455,0.24912115592216363,0.5634905106632753,8.666666666666666,7.230769230769231,7.176470588235294,7.533333333333333,6.923076923076923,7.642857142857143,7.0,0.6961566352429296,0.5948144382308083,0.7405525102552003,0.662406005814453,0.549812030075188,0.6664374685954565,0.681329674340638,267,259,254,267,238,239,219
FEDXA06,M,2.0,44,33,2,23,19,1,10,24,0,2.6363636363636362,3.1515151515151514,3.0,4.277612746421821,1.5101822896804207,2.358336062888946,1.0,1.0,1.0,1.2015149536371945,0.9212493434078144,100.0,8.1,8.916666666666666,0.0,2.0351630957091986,1.0223279258812255,0.0,220,337,7,57,50,67,55,57,48,70,27,34,39,51,66,45,35,4,3,0,0,1,5,1,2.736842105263158,2.56,2.388059701492537,2.7454545454545456,2.6666666666666665,2.7291666666666665,2.8285714285714287,2.7602534267766106,2.2373311125750437,3.0558335761614583,2.3426130784065498,2.4121878967414294,2.023277053134441,2.9564625690721167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.31399294337123,1.422610676553656,1.6421628829081723,2.1472428512952466,2.7940450151696883,1.8980223076202078,1.5563625583635952,8.0,6.0,0.0,0.0,6.0,7.8,7.0,0.277713492247165,0.23294939821405455,0.0,0.0,39.999999999990905,0.43452021726010814,42.85714285712963,215,180,199,202,224,215,240,40,41,44,39,34,30,38,23,16,10,15,13,11,17,11,9,3,9,9,9,8,3.025,3.097560975609756,3.522727272727273,3.230769230769231,3.588235294117647,3.2666666666666666,3.0789473684210527,2.049092849519744,1.7269419321625386,1.9538188277087036,1.6858182342134644,1.5024488443173305,1.2594605310725244,1.7586034015092111,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.216645115786999,0.7467524049057486,0.45321214104968954,0.8517618852329722,0.6571741511500547,0.5669940723346983,0.7763049406989282,7.636363636363637,7.555555555555555,6.333333333333333,7.0,6.444444444444445,7.555555555555555,6.625,0.6140201262152482,0.8076779259628568,0.3733665214685748,0.9400841433338161,0.5324918647076229,0.608290778011415,0.3710814188710364,228,211,184,204,193,177,187
FEDXA07,M,1.0,32,20,12,29,11,4,18,23,18,3.40625,3.4,3.4166666666666665,1.5673042910396997,0.8518996178283659,0.5047495530863331,1.0,1.0,1.0,1.4324131496624775,0.585824814710712,0.19630831311175936,8.055555555555555,8.26086956521739,8.222222222222221,0.9068898436734637,1.094412942622626,0.8065218744165783,283,269,193,33,43,37,37,34,34,34,4,5,17,10,11,7,6,4,5,6,6,9,10,10,3.4242424242424243,2.9069767441860463,2.945945945945946,3.5135135135135136,3.7058823529411766,3.5294117647058822,3.588235294117647,1.6949394358762182,1.9076255730270615,1.714903697600165,1.7220426632191335,1.4359455654622244,1.5882696425095695,1.4298063219867772,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2424038380607693,0.2813818977645771,0.7303538397279074,0.6134028523232635,0.5597331373325042,0.34857664536476063,0.3718176028092884,6.25,7.4,7.0,8.0,6.777777777777778,7.4,6.8,0.28940651566613745,0.2429412082276089,0.27187252199524214,0.2910031525341524,0.4092872843030747,0.44379792401193346,0.516269664854943,142,167,168,188,198,201,196,21,27,31,20,34,33,31,7,5,8,4,7,9,3,12,11,9,12,7,9,10,4.0,3.740740740740741,3.5483870967741935,3.6,3.7941176470588234,3.757575757575758,3.838709677419355,1.2882996489553868,1.1841383931290734,1.2964684014869887,0.9866933439311505,1.5721129763540849,1.4249901042353867,1.3870246085011189,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38836148440389595,0.5224963715529755,0.34421762202992773,0.18167825286080164,0.3846095145067995,0.3899949445099786,0.2003822105126444,7.166666666666667,7.545454545454546,7.0,7.416666666666667,6.571428571428571,8.0,6.7,0.7258552322064655,0.6399379454113541,0.5132510653127821,0.5780888276305052,0.32539641547440734,0.37809389331684035,0.7949827753732006,177,189,181,165,182,205,189
FEDXA08,M,1.0,30,20,27,16,4,18,23,20,14,3.0,3.5,3.6296296296296298,1.4325317345571755,1.7250467200153345,1.1619427874672754,1.0,1.0,1.0,0.9034868947343655,0.2792646032115429,0.8632978510811204,8.652173913043478,7.95,7.642857142857143,1.156085505647785,0.8751245837080974,0.6461621302837214,305,233,223,18,26,27,13,25,15,15,10,9,11,16,10,14,11,7,7,8,12,11,11,13,3.6666666666666665,3.3846153846153846,3.0,3.6923076923076925,3.32,3.0,3.3333333333333335,0.9911439453035379,1.1610886446522937,1.1768694304533127,0.5556215125252288,1.0989413531631196,0.6453540484015536,0.6482748685442631,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5155008233693706,0.44138682651045574,0.5164453950285609,0.7408645992771428,0.4511165133705922,0.5957446808510638,0.6462246446580395,8.142857142857142,7.428571428571429,7.375,7.166666666666667,7.363636363636363,7.818181818181818,8.0,0.7060801344914541,0.44667387489586463,0.42047478611265215,0.7572835956947024,1.0312231452305933,0.49682583494341714,0.6523284501623853,133,149,151,150,174,145,165,36,42,42,28,18,17,19,13,18,20,6,8,10,10,6,7,8,10,12,11,12,3.1944444444444446,3.119047619047619,3.0952380952380953,3.357142857142857,3.2777777777777777,3.764705882352941,3.473684210526316,1.7060263802227311,1.8546685638584954,1.7717781058848345,1.2243559377619069,0.8009987762518695,0.7553503986571549,0.8329172805981414,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7568773955654747,0.7930291756412767,0.8587888691420464,0.39569136073862365,0.444691495275153,0.518455578438008,0.5439874278461125,6.666666666666667,8.428571428571429,7.25,7.0,7.916666666666667,9.818181818181818,8.833333333333334,0.49961834709596836,0.4704915890293311,0.5384787973973522,0.4791885740146686,0.7073618024626672,0.46314164415283676,0.5968746977631015,168,208,208,170,162,182,182
FEDXA09,M,1.0,68,46,25,36,10,13,9,5,12,2.9558823529411766,3.260869565217391,3.48,3.321348619496642,1.9585812113399013,1.1103845631870506,1.0,1.0,1.0,1.8132214060860439,0.44931479493772,0.6175934967932645,7.222222222222222,6.4,7.583333333333333,0.6275421266705403,0.5358578190586764,0.5435671594841144,302,192,191,41,51,54,45,50,43,34,6,17,19,24,20,18,11,2,2,3,8,10,14,7,3.2195121951219514,3.0392156862745097,2.9814814814814814,2.933333333333333,3.04,3.3255813953488373,3.1176470588235294,2.076212178756805,2.2168290650921865,2.2841834396700618,2.1036775399958456,2.0951427606997783,1.8210265036996949,2.177935943060498,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5517100457204158,0.728909851002251,0.9375,1.1578044596912522,0.974711647804191,0.8033124240696201,0.8027569430366913,6.5,8.0,7.0,6.875,7.0,6.714285714285714,8.428571428571429,2.0797227036395163,0.542822677925211,0.20460358056265981,0.3690036900369005,0.4804868933852972,0.6676380977612928,0.43845912934544384,151,188,201,211,242,255,176,33,33,33,32,38,16,38,9,5,3,8,12,5,18,5,7,7,10,6,15,9,3.484848484848485,3.5454545454545454,3.6666666666666665,3.625,3.8157894736842106,4.0,3.526315789473684,1.715028150714595,1.4431486880466473,1.3993262503239186,1.3859813758752615,1.6258423360787249,0.6715008510340644,1.6066709730459794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8401772022491056,0.2356884722149479,0.2060872054193303,0.35421304438732215,0.5022905378694511,0.2983837546622459,0.8494684267792308,7.8,6.428571428571429,7.714285714285714,6.8,6.666666666666667,8.266666666666667,6.555555555555555,0.8179215704094152,0.5105555330442888,0.3293816252107651,0.5420054200542005,0.30024186149954135,0.7006071929005139,0.5495810292770639,163,167,178,192,197,193,211
FEDXA10,M,1.0,37,24,20,15,7,5,9,19,19,3.189189189189189,3.8333333333333335,3.6,4.0464183729266665,1.1110396708030605,0.9581093309203174,1.0,1.0,1.0,2.4525388318648385,0.6006006006006005,0.2652871733651678,7.333333333333333,8.842105263157896,7.2105263157894735,1.3365785239882846,0.9017203875815701,0.8636145551880002,199,267,214,31,34,34,30,27,31,38,9,6,10,17,16,11,9,5,4,8,10,11,9,8,3.4193548387096775,3.5,3.588235294117647,3.3333333333333335,3.3703703703703702,3.4193548387096775,3.473684210526316,1.5687377003092493,1.507017975868013,1.5162025567337234,1.3681276919179124,1.1660408594153004,1.388266905508285,1.7720436793222716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5096663573012851,0.39545229856648534,0.4866508955728286,0.7192807192807192,0.7451102142191868,0.4900141064667015,0.45560008437038607,7.6,8.75,7.625,7.0,7.7272727272727275,8.0,7.375,0.4651282978888343,0.5478409739395094,0.6148459682756556,0.7142148596369411,0.695432274379643,0.4132705774308348,0.37420578719644526,153,160,193,187,192,189,200,32,36,44,33,25,40,24,23,2,9,12,6,7,8,5,9,9,9,15,7,13,3.46875,3.638888888888889,3.3181818181818183,3.8484848484848486,3.84,3.65,3.6666666666666665,1.602158463485529,1.600632348582156,1.84865319079408,1.4178472114478033,1.1389233378046622,1.7871326449563154,1.0463088548730857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.123946300343428,0.14909610486426042,0.4820926391596113,0.5372599741319275,0.3110688671908754,0.35887722696136376,0.3553230602198562,7.4,7.444444444444445,6.555555555555555,7.333333333333333,7.066666666666666,7.714285714285714,7.0,0.3905741439916678,0.3963351233654235,0.43715846994535507,0.42699561143399356,0.7818834704042624,0.37570444583594254,1.2547253277567747,171,200,214,205,208,207,187
