Mouse_ID,Sex,Order,PR,NR
FEDXA07,M,1,0.6999999999999993,-2
FEDXA08,M,1,-1,-0.3
FEDXA09,M,1,-0.7,0
FEDXA10,M,1,-1.5,-0.9
FEDXA11,M,1,1,-0.7
FEDXA12,M,1,0.6999999999999993,-0.1
FEDXA01,M,2,-1.5,0.40000000000000213
FEDXA02,M,2,0,0.1999999999999993
FEDXA03,M,2,-1.8,0.6999999999999993
FEDXA04,M,2,-2.9,1.5999999999999979
FEDXA05,M,2,-2.1,1.6000000000000014
FEDXA06,M,2,-1.5,0.6000000000000014
FEDXB07,F,1,0.8000000000000007,0.1999999999999993
FEDXB08,F,1,-0.4,0.1999999999999993
FEDXB10,F,1,0.9000000000000021,-3
FEDXB11,F,1,-0.4,1.3000000000000007
FEDXB12,F,1,-0.3,-0.4
FEDXB01,F,2,-0.9,-0.4
FEDXB02,F,2,-0.3,0.8000000000000007
FEDXB03,F,2,0.5999999999999979,0
FEDXB04,F,2,-1,0.6999999999999993
FEDXB05,F,2,0.7000000000000028,1
FEDXB06,F,2,-0.9,2.1999999999999993
