"","diff","lwr","upr","p adj","Group1","Group2"
"M.1.NR-F.1.NR",-7.8333333333334,-60.4171744668973,44.7505078002305,0.999701346029584,"M.1.NR-F.1.NR",""
"F.2.NR-F.1.NR",-12,-64.583841133564,40.5838411335639,0.995410990192666,"F.2.NR-F.1.NR",""
"M.2.NR-F.1.NR",39.6666666666666,-12.9171744668973,92.2505078002305,0.262126057383007,"M.2.NR-F.1.NR",""
"F.1.PR-F.1.NR",-19.8,-74.7220308340657,35.1220308340657,0.939402661746276,"F.1.PR-F.1.NR",""
"M.1.PR-F.1.NR",-15.6666666666667,-68.2505078002306,36.9171744668972,0.978002924617459,"M.1.PR-F.1.NR",""
"F.2.PR-F.1.NR",-47.1666666666667,-99.7505078002306,5.41717446689724,0.106567514599651,"F.2.PR-F.1.NR",""
"M.2.PR-F.1.NR",-31,-83.583841133564,21.5838411335639,0.565941962581782,"M.2.PR-F.1.NR",""
"F.2.NR-M.1.NR",-4.16666666666664,-54.3033919863534,45.9700586530201,0.999994261538917,"F.2.NR-M.1.NR",""
"M.2.NR-M.1.NR",47.5,-2.63672531968675,97.6367253196867,0.0743044369800406,"M.2.NR-M.1.NR",""
"F.1.PR-M.1.NR",-11.9666666666666,-64.5505078002306,40.6171744668973,0.99548863256445,"F.1.PR-M.1.NR",""
"M.1.PR-M.1.NR",-7.8333333333333,-57.97005865302,42.3033919863534,0.99959099225209,"M.1.PR-M.1.NR",""
"F.2.PR-M.1.NR",-39.3333333333333,-89.47005865302,10.8033919863535,0.220242946286722,"F.2.PR-M.1.NR",""
"M.2.PR-M.1.NR",-23.1666666666666,-73.3033919863534,26.9700586530201,0.812381106423932,"M.2.PR-M.1.NR",""
"M.2.NR-F.2.NR",51.6666666666666,1.52994134697989,101.803391986353,0.0393928429958929,"M.2.NR-F.2.NR",""
"F.1.PR-F.2.NR",-7.79999999999999,-60.3838411335639,44.7838411335639,0.999709657163622,"F.1.PR-F.2.NR",""
"M.1.PR-F.2.NR",-3.66666666666666,-53.8033919863534,46.4700586530201,0.999997622432035,"M.1.PR-F.2.NR",""
"F.2.PR-F.2.NR",-35.1666666666666,-85.3033919863534,14.9700586530201,0.34749070434646,"F.2.PR-F.2.NR",""
"M.2.PR-F.2.NR",-19,-69.1367253196867,31.1367253196868,0.92247533178582,"M.2.PR-F.2.NR",""
"F.1.PR-M.2.NR",-59.4666666666666,-112.050507800231,-6.88282553310269,0.0172917281521506,"F.1.PR-M.2.NR",""
"M.1.PR-M.2.NR",-55.3333333333333,-105.47005865302,-5.19660801364655,0.0217406103244324,"M.1.PR-M.2.NR",""
"F.2.PR-M.2.NR",-86.8333333333333,-136.97005865302,-36.6966080136465,5.98123955755092e-05,"F.2.PR-M.2.NR",""
"M.2.PR-M.2.NR",-70.6666666666666,-120.803391986353,-20.5299413469799,0.00139467801827198,"M.2.PR-M.2.NR",""
"M.1.PR-F.1.PR",4.13333333333333,-48.4505078002306,56.7171744668973,0.999996089023771,"M.1.PR-F.1.PR",""
"F.2.PR-F.1.PR",-27.3666666666667,-79.9505078002306,25.2171744668973,0.706686184029022,"F.2.PR-F.1.PR",""
"M.2.PR-F.1.PR",-11.2,-63.7838411335639,41.3838411335639,0.997005250180575,"M.2.PR-F.1.PR",""
"F.2.PR-M.1.PR",-31.5,-81.6367253196867,18.6367253196868,0.486393215144298,"F.2.PR-M.1.PR",""
"M.2.PR-M.1.PR",-15.3333333333333,-65.4700586530201,34.8033919863534,0.974567637435533,"M.2.PR-M.1.PR",""
"M.2.PR-F.2.PR",16.1666666666667,-33.9700586530201,66.3033919863534,0.96607692634402,"M.2.PR-F.2.PR",""
