"","diff","lwr","upr","p adj","Group1","Group2"
"M.1.NR-F.1.NR",0.0166751016891462,-0.848205558602331,0.881555761980623,0.999999999780121,"M.1.NR-F.1.NR",""
"F.2.NR-F.1.NR",-0.418557855720447,-1.28343851601192,0.44632280457103,0.774969708349955,"F.2.NR-F.1.NR",""
"M.2.NR-F.1.NR",0.1242544327119,-0.740626227579577,0.989135093003377,0.999765132936464,"M.2.NR-F.1.NR",""
"F.1.PR-F.1.NR",-0.417229210448811,-1.32056759859855,0.486109177700928,0.812700668964001,"F.1.PR-F.1.NR",""
"M.1.PR-F.1.NR",0.107214297359563,-0.757666362931914,0.97209495765104,0.999912444545075,"M.1.PR-F.1.NR",""
"F.2.PR-F.1.NR",-0.328281997518705,-1.19316265781018,0.536598662772773,0.921873569452555,"F.2.PR-F.1.NR",""
"M.2.PR-F.1.NR",-0.331337069082135,-1.19621772937361,0.533543591209342,0.918303055138821,"M.2.PR-F.1.NR",""
"F.2.NR-M.1.NR",-0.435232957409593,-1.25986431115954,0.389398396340356,0.692225976644368,"F.2.NR-M.1.NR",""
"M.2.NR-M.1.NR",0.107579331022754,-0.717052022727196,0.932210684772703,0.999876618546799,"M.2.NR-M.1.NR",""
"F.1.PR-M.1.NR",-0.433904312137957,-1.29878497242943,0.43097634815352,0.742571406807966,"F.1.PR-M.1.NR",""
"M.1.PR-M.1.NR",0.0905391956704165,-0.734092158079533,0.915170549420366,0.999961470231864,"M.1.PR-M.1.NR",""
"F.2.PR-M.1.NR",-0.344957099207851,-1.1695884529578,0.479674254542098,0.877137484303764,"F.2.PR-M.1.NR",""
"M.2.PR-M.1.NR",-0.348012170771281,-1.17264352452123,0.476619182978668,0.872222373376609,"M.2.PR-M.1.NR",""
"M.2.NR-F.2.NR",0.542812288432347,-0.281819065317602,1.3674436421823,0.427093174272181,"M.2.NR-F.2.NR",""
"F.1.PR-F.2.NR",0.00132864527163612,-0.863552015019841,0.866209305563113,1,"F.1.PR-F.2.NR",""
"M.1.PR-F.2.NR",0.52577215308001,-0.298859200669939,1.35040350682996,0.467706053243961,"M.1.PR-F.2.NR",""
"F.2.PR-F.2.NR",0.0902758582017427,-0.734355495548207,0.914907211951692,0.999962224761822,"F.2.PR-F.2.NR",""
"M.2.PR-F.2.NR",0.0872207866383121,-0.737410567111637,0.911852140388261,0.999970106610712,"M.2.PR-F.2.NR",""
"F.1.PR-M.2.NR",-0.541483643160711,-1.40636430345219,0.323397017130766,0.490849352808059,"F.1.PR-M.2.NR",""
"M.1.PR-M.2.NR",-0.0170401353523371,-0.841671489102286,0.807591218397612,0.999999999642984,"M.1.PR-M.2.NR",""
"F.2.PR-M.2.NR",-0.452536430230604,-1.27716778398055,0.372094923519345,0.650036776222686,"F.2.PR-M.2.NR",""
"M.2.PR-M.2.NR",-0.455591501794035,-1.28022285554398,0.369039851955914,0.642475963872145,"M.2.PR-M.2.NR",""
"M.1.PR-F.1.PR",0.524443507808374,-0.340437152483103,1.38932416809985,0.531121890476945,"M.1.PR-F.1.PR",""
"F.2.PR-F.1.PR",0.0889472129301065,-0.775933447361371,0.953827873221584,0.999975305054106,"F.2.PR-F.1.PR",""
"M.2.PR-F.1.PR",0.085892141366676,-0.778988518924801,0.950772801658153,0.999980543132701,"M.2.PR-F.1.PR",""
"F.2.PR-M.1.PR",-0.435496294878267,-1.26012764862822,0.389135058871682,0.691593609975279,"F.2.PR-M.1.PR",""
"M.2.PR-M.1.PR",-0.438551366441698,-1.26318272019165,0.386079987308251,0.684232842264011,"M.2.PR-M.1.PR",""
"M.2.PR-F.2.PR",-0.00305507156343054,-0.82768642531338,0.821576282186519,1,"M.2.PR-F.2.PR",""
