Mouse ID,Sex,Order,PR,NR
FEDXA01,M,2,3.013333333333333,3.656
FEDXA02,M,2,3.0542168674698797,3.563451776649746
FEDXA03,M,2,3.0859598853868198,3.923976608187135
FEDXA04,M,2,3.2157534246575343,3.776923076923077
FEDXA05,M,2,2.9376623376623376,3.5622641509433963
FEDXA06,M,2,2.661764705882353,3.2602230483271377
FEDXA07,M,1,3.3661417322834644,3.738916256157636
FEDXA08,M,1,3.300699300699301,3.25
FEDXA09,M,1,3.087227414330218,3.6096491228070176
FEDXA10,M,1,3.444933920704846,3.6125
FEDXA11,M,1,2.9113475177304964,3.1794871794871797
FEDXA12,M,1,3.1548387096774198,3.3694029850746268
FEDXB01,F,2,2.812820512820513,3.161290322580645
FEDXB02,F,2,2.926605504587156,3.3950617283950617
FEDXB03,F,2,2.9453125,3.234159779614325
FEDXB04,F,2,2.782758620689655,3.567415730337079
FEDXB05,F,2,3.085173501577287,3.4489795918367347
FEDXB06,F,2,2.946107784431138,3.454225352112676
FEDXB07,F,1,3.3442211055276383,3.4166666666666665
FEDXB08,F,1,3.605769230769231,3.8181818181818175
FEDXB10,F,1,2.765909090909091,2.8722222222222222
FEDXB11,F,1,2.555956678700361,2.6537216828478964
FEDXB12,F,1,3.557971014492753,3.5391304347826087
