"","diff","lwr","upr","p adj","Group1","Group2"
"M.1.NR-F.1.NR",0.200008025647501,-0.33578344105497,0.735799492349972,0.927966361175494,"M.1.NR-F.1.NR",""
"F.2.NR-F.1.NR",0.116870852539178,-0.418920614163293,0.652662319241649,0.996526951339309,"F.2.NR-F.1.NR",""
"M.2.NR-F.1.NR",0.363821878564838,-0.171969588137633,0.89961334526731,0.387769724160193,"M.2.NR-F.1.NR",""
"F.1.PR-F.1.NR",-0.0940191408604272,-0.653635076488216,0.465596794767362,0.999341974141168,"F.1.PR-F.1.NR",""
"M.1.PR-F.1.NR",-0.0491197990359513,-0.584911265738422,0.48667166766652,0.999988741694354,"M.1.PR-F.1.NR",""
"F.2.PR-F.1.NR",-0.343521494255951,-0.879312960958422,0.19226997244652,0.460608979829987,"F.2.PR-F.1.NR",""
"M.2.PR-F.1.NR",-0.265202805874866,-0.800994272577337,0.270588660827605,0.755035590015978,"M.2.PR-F.1.NR",""
"F.2.NR-M.1.NR",-0.083137173108323,-0.593994292246155,0.427719946029509,0.999465532512983,"F.2.NR-M.1.NR",""
"M.2.NR-M.1.NR",0.163813852917337,-0.347043266220494,0.674670972055169,0.967075590801974,"M.2.NR-M.1.NR",""
"F.1.PR-M.1.NR",-0.294027166507928,-0.829818633210399,0.241764300194543,0.650042019948777,"F.1.PR-M.1.NR",""
"M.1.PR-M.1.NR",-0.249127824683452,-0.759984943821284,0.261729294454379,0.768323401243567,"M.1.PR-M.1.NR",""
"F.2.PR-M.1.NR",-0.543529519903452,-1.05438663904128,-0.0326724007656202,0.030133168297778,"F.2.PR-M.1.NR",""
"M.2.PR-M.1.NR",-0.465210831522367,-0.976067950660198,0.0456462876154647,0.0968362748131704,"M.2.PR-M.1.NR",""
"M.2.NR-F.2.NR",0.24695102602566,-0.263906093112171,0.757808145163492,0.775934541762318,"M.2.NR-F.2.NR",""
"F.1.PR-F.2.NR",-0.210889993399605,-0.746681460102076,0.324901473302866,0.907084925985697,"F.1.PR-F.2.NR",""
"M.1.PR-F.2.NR",-0.165990651575129,-0.676847770712961,0.344866467562702,0.964658667520038,"M.1.PR-F.2.NR",""
"F.2.PR-F.2.NR",-0.460392346795129,-0.97124946593296,0.0504647723427029,0.103468529016967,"F.2.PR-F.2.NR",""
"M.2.PR-F.2.NR",-0.382073658414044,-0.892930777551875,0.128783460723788,0.271721147631854,"M.2.PR-F.2.NR",""
"F.1.PR-M.2.NR",-0.457841019425266,-0.993632486127737,0.0779504472772056,0.14207481286099,"F.1.PR-M.2.NR",""
"M.1.PR-M.2.NR",-0.41294167760079,-0.923798796738621,0.0979154415370419,0.19072810587652,"M.1.PR-M.2.NR",""
"F.2.PR-M.2.NR",-0.707343372820789,-1.21820049195862,-0.196486253682958,0.00176403022190164,"F.2.PR-M.2.NR",""
"M.2.PR-M.2.NR",-0.629024684439704,-1.13988180357754,-0.118167565301873,0.00721374122178975,"M.2.PR-M.2.NR",""
"M.1.PR-F.1.PR",0.0448993418244759,-0.490892124877995,0.580690808526947,0.99999392379156,"M.1.PR-F.1.PR",""
"F.2.PR-F.1.PR",-0.249502353395524,-0.785293820097995,0.286289113306948,0.806435041892591,"F.2.PR-F.1.PR",""
"M.2.PR-F.1.PR",-0.171183665014439,-0.70697513171691,0.364607801688032,0.967716833826625,"M.2.PR-F.1.PR",""
"F.2.PR-M.1.PR",-0.294401695219999,-0.805258814357831,0.216455423917832,0.593401457133401,"F.2.PR-M.1.PR",""
"M.2.PR-M.1.PR",-0.216083006838915,-0.726940125976746,0.294774112298917,0.870931213626907,"M.2.PR-M.1.PR",""
"M.2.PR-F.2.PR",0.0783186883810849,-0.432538430756747,0.589175807518917,0.999638961093687,"M.2.PR-F.2.PR",""
