mouse_id,sex,order,preference_ratio
FEDXA01,M,2,0.5054945054945055
FEDXA02,M,2,0.5453770771197273
FEDXA03,M,2,0.47743119266055045
FEDXA04,M,2,0.5221305326331583
FEDXA05,M,2,0.49155653450807635
FEDXA06,M,2,0.46322067594433397
FEDXA07,M,1,0.45020420986490733
FEDXA08,M,1,0.4982618771726535
FEDXA09,M,1,0.48743386243386244
FEDXA10,M,1,0.5328218243819267
FEDXA11,M,1,0.5007627765064836
FEDXA12,M,1,0.539553753
FEDXB01,F,2,0.48799699924981244
FEDXB02,F,2,0.5511744966442953
FEDXB03,F,2,0.5348618090452262
FEDXB04,F,2,0.5331905781584583
FEDXB05,F,2,0.48408534452605806
FEDXB06,F,2,0.4967343976777939
FEDXB07,F,1,0.45793315405301577
FEDXB08,F,1,0.49323621227887615
FEDXB10,F,1,0.5283793876026885
FEDXB11,F,1,0.5082892416225749
FEDXB12,F,1,0.5862180524102232
