MouseID,Phase,Start_Time,End_Time,Duration_Minutes,Number_of_Pellets
FEDXA01,GRAIN,4/23/2022 17:16,4/23/2022 17:18,1.97,13
FEDXA01,GRAIN,4/23/2022 18:33,4/23/2022 18:35,2.05,13
FEDXA01,GRAIN,4/23/2022 23:06,4/23/2022 23:08,1.53,12
FEDXA01,GRAIN,4/24/2022 4:50,4/24/2022 4:52,2.28,11
FEDXA01,GRAIN,4/24/2022 8:21,4/24/2022 8:23,2.08,13
FEDXA01,GRAIN,4/24/2022 10:49,4/24/2022 10:52,2.4,12
FEDXA01,GRAIN,4/24/2022 13:00,4/24/2022 13:02,2.68,17
FEDXA01,GRAIN,4/24/2022 15:57,4/24/2022 15:58,1.82,11
FEDXA01,GRAIN,4/24/2022 18:25,4/24/2022 18:27,2.18,12
FEDXA01,GRAIN,4/25/2022 4:04,4/25/2022 4:08,3.37,12
FEDXA01,GRAIN,4/26/2022 2:21,4/26/2022 2:24,2.55,10
FEDXA01,GRAIN,4/26/2022 6:17,4/26/2022 6:19,1.8,13
FEDXA01,PR,4/30/2022 3:16,4/30/2022 3:22,5.73,15
FEDXA01,PR,4/30/2022 12:51,4/30/2022 12:53,2.58,11
FEDXA01,PR,5/2/2022 18:30,5/2/2022 18:33,2.63,10
FEDXA01,PR,5/2/2022 23:29,5/2/2022 23:31,1.9,11
FEDXA01,PR,5/3/2022 5:03,5/3/2022 5:06,3,10
FEDXA01,NR,5/3/2022 11:45,5/3/2022 11:48,3.25,12
FEDXA01,NR,5/3/2022 12:33,5/3/2022 12:36,3.48,13
FEDXA01,NR,5/3/2022 13:57,5/3/2022 14:00,2.62,10
FEDXA01,NR,5/3/2022 21:09,5/3/2022 21:10,1.53,10
FEDXA01,NR,5/3/2022 23:12,5/3/2022 23:14,1.78,11
FEDXA01,NR,5/4/2022 23:30,5/4/2022 23:32,1.5,10
FEDXA01,NR,5/5/2022 0:51,5/5/2022 0:53,2.05,12
FEDXA01,NR,5/5/2022 10:43,5/5/2022 10:45,2.1,11
FEDXA01,NR,5/5/2022 22:19,5/5/2022 22:20,1.53,10
FEDXA01,NR,5/6/2022 0:35,5/6/2022 0:36,1.57,10
FEDXA01,NR,5/6/2022 13:17,5/6/2022 13:19,2.62,10
FEDXA01,NR,5/6/2022 23:34,5/6/2022 23:35,1.78,11
FEDXA01,NR,5/7/2022 10:57,5/7/2022 10:59,2.12,10
FEDXA01,NR,5/7/2022 11:55,5/7/2022 11:57,2.75,13
FEDXA01,NR,5/7/2022 23:21,5/7/2022 23:23,1.83,12
FEDXA01,NR,5/7/2022 23:51,5/7/2022 23:53,1.72,11
FEDXA01,NR,5/8/2022 3:14,5/8/2022 3:17,2.37,10
FEDXA01,NR,5/8/2022 11:25,5/8/2022 11:27,2.33,10
FEDXA01,NR,5/8/2022 13:31,5/8/2022 13:33,2.6,12
FEDXA01,NR,5/8/2022 22:14,5/8/2022 22:16,1.78,12
FEDXA01,NR,5/8/2022 22:54,5/8/2022 22:56,1.93,12
FEDXA01,NR,5/8/2022 23:26,5/8/2022 23:28,2,12
FEDXA01,NR,5/8/2022 23:57,5/8/2022 23:59,2.13,13
FEDXA01,NR,5/9/2022 2:55,5/9/2022 2:57,2.02,10
FEDXA01,NR,5/9/2022 8:47,5/9/2022 8:50,2.7,11
FEDXA01,NR,5/9/2022 11:19,5/9/2022 11:21,2.53,11
FEDXA01,NR,5/9/2022 13:31,5/9/2022 13:33,2.17,10
FEDXA01,NR,5/9/2022 23:55,5/9/2022 23:57,1.9,12
FEDXA01,NR,5/10/2022 0:20,5/10/2022 0:22,1.62,10
FEDXA02,GRAIN,4/23/2022 18:54,4/23/2022 18:56,1.87,10
FEDXA02,GRAIN,4/23/2022 23:00,4/23/2022 23:01,1.02,10
FEDXA02,GRAIN,4/26/2022 0:24,4/26/2022 0:26,1.45,11
FEDXA02,PR,4/30/2022 0:01,4/30/2022 0:03,1.68,10
FEDXA02,NR,5/3/2022 11:15,5/3/2022 11:17,2.28,11
FEDXA02,NR,5/3/2022 11:33,5/3/2022 11:35,1.98,10
FEDXA02,NR,5/4/2022 3:25,5/4/2022 3:27,1.98,11
FEDXA02,NR,5/4/2022 23:01,5/4/2022 23:03,1.83,10
FEDXA02,NR,5/5/2022 10:42,5/5/2022 10:43,1.47,10
FEDXA02,NR,5/9/2022 4:01,5/9/2022 4:03,1.92,10
FEDXA02,NR,5/9/2022 8:45,5/9/2022 8:48,3.53,14
FEDXA02,NR,5/9/2022 11:07,5/9/2022 11:08,1.47,11
FEDXA03,GRAIN,4/24/2022 10:58,4/24/2022 11:00,1.52,10
FEDXA03,PR,4/30/2022 18:56,4/30/2022 18:58,1.47,11
FEDXA03,PR,4/30/2022 22:41,4/30/2022 22:42,0.88,11
FEDXA03,NR,5/3/2022 11:53,5/3/2022 11:55,2.75,12
FEDXA03,NR,5/3/2022 12:29,5/3/2022 12:32,3.03,15
FEDXA03,NR,5/3/2022 17:10,5/3/2022 17:12,2.58,11
FEDXA03,NR,5/3/2022 23:40,5/3/2022 23:42,2.15,10
FEDXA03,NR,5/4/2022 1:53,5/4/2022 1:54,1.88,10
FEDXA03,NR,5/4/2022 3:13,5/4/2022 3:15,2.1,11
FEDXA03,NR,5/4/2022 6:34,5/4/2022 6:36,2.05,10
FEDXA03,NR,5/4/2022 9:19,5/4/2022 9:20,1.45,12
FEDXA03,NR,5/4/2022 9:53,5/4/2022 9:56,2.8,27
FEDXA03,NR,5/4/2022 13:06,5/4/2022 13:08,2.03,10
FEDXA03,NR,5/5/2022 0:14,5/5/2022 0:16,2.27,13
FEDXA03,NR,5/5/2022 0:36,5/5/2022 0:39,2.5,10
FEDXA03,NR,5/5/2022 1:49,5/5/2022 1:51,2.05,10
FEDXA03,NR,5/5/2022 21:43,5/5/2022 21:45,1.62,10
FEDXA03,NR,5/5/2022 23:07,5/5/2022 23:09,2.02,11
FEDXA03,NR,5/6/2022 0:28,5/6/2022 0:30,1.98,11
FEDXA03,NR,5/6/2022 1:52,5/6/2022 1:53,1.73,10
FEDXA03,NR,5/6/2022 7:18,5/6/2022 7:20,2.13,10
FEDXA03,NR,5/6/2022 11:07,5/6/2022 11:09,1.87,11
FEDXA03,NR,5/6/2022 12:12,5/6/2022 12:14,1.92,10
FEDXA03,NR,5/6/2022 23:45,5/6/2022 23:47,1.85,12
FEDXA03,NR,5/7/2022 0:40,5/7/2022 0:42,2.02,11
FEDXA03,NR,5/7/2022 4:30,5/7/2022 4:32,2,10
FEDXA03,NR,5/7/2022 9:41,5/7/2022 9:43,2.37,11
FEDXA03,NR,5/8/2022 21:50,5/8/2022 21:51,1.78,11
FEDXA03,NR,5/8/2022 23:13,5/8/2022 23:15,1.87,10
FEDXA03,NR,5/9/2022 2:00,5/9/2022 2:02,2.22,11
FEDXA03,NR,5/9/2022 8:20,5/9/2022 8:23,2.77,13
FEDXA03,NR,5/9/2022 22:44,5/9/2022 22:46,1.8,10
FEDXA03,NR,5/10/2022 0:07,5/10/2022 0:08,1.7,10
FEDXA03,NR,5/10/2022 2:51,5/10/2022 2:53,2.13,12
FEDXA04,GRAIN,4/24/2022 7:21,4/24/2022 7:24,2.93,11
FEDXA04,GRAIN,4/24/2022 11:08,4/24/2022 11:10,2.02,10
FEDXA04,GRAIN,4/24/2022 15:26,4/24/2022 15:28,2.13,11
FEDXA04,GRAIN,4/25/2022 5:26,4/25/2022 5:28,2.05,12
FEDXA04,GRAIN,4/25/2022 23:54,4/25/2022 23:55,1.7,10
FEDXA04,GRAIN,4/26/2022 8:18,4/26/2022 8:20,2.42,12
FEDXA04,PR,4/26/2022 17:32,4/26/2022 17:34,2.42,10
FEDXA04,PR,4/26/2022 18:55,4/26/2022 18:57,2.03,10
FEDXA04,PR,4/30/2022 16:49,4/30/2022 16:52,3.3,10
FEDXA04,PR,5/1/2022 2:29,5/1/2022 2:32,2.8,11
