"contrast","estimate","SE","df","t.ratio","p.value"
"NR0 Order1 - PR0 Order1",-1.09090909090909,5.21700478451806,21,-0.209106400313541,1
"NR0 Order1 - PR1 Order1",-5.45454545454546,7.76763290518787,21,-0.702214628461968,1
"NR0 Order1 - PR2 Order1",-5.90909090909091,7.49771271257051,21,-0.78811914187961,1
"NR0 Order1 - PR3 Order1",-7.45454545454546,7.57256209663104,21,-0.984415229537954,1
"NR0 Order1 - PR4 Order1",-4.81818181818182,5.02399137227276,21,-0.959034652163856,1
"NR0 Order1 - PR5 Order1",-5.54545454545455,4.45839057181881,21,-1.24382430299108,1
"NR0 Order1 - PR6 Order1",-4.27272727272727,3.68947949623901,21,-1.15808402705119,1
"NR0 Order1 - NR1 Order1",-1.18181818181818,3.15854714142466,21,-0.37416512367934,1
"NR0 Order1 - NR2 Order1",-0.272727272727274,3.13231434442686,21,-0.0870689345762892,1
"NR0 Order1 - NR3 Order1",-0.454545454545455,2.8266235340839,21,-0.16080862876307,1
"NR0 Order1 - NR4 Order1",-8.88178419700125e-16,3.81437056398861,21,-2.32850585647183e-16,1
"NR0 Order1 - NR5 Order1",-2.66453525910038e-15,3.25996087052358,21,-8.17351914617437e-16,1
"NR0 Order1 - NR6 Order1",-0.272727272727275,3.79783971679896,21,-0.0718111592548054,1
