"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 F Order1 - NR1 F Order1",-2.6,6.47954947535002,19,-0.401262465838267,1
"2","NR0 F Order1 - NR2 F Order1",-0.599999999999999,5.59184870412501,19,-0.107299040397389,1
"3","NR0 F Order1 - NR3 F Order1",-1,5.30028135631877,19,-0.188669229569831,1
"4","NR0 F Order1 - NR4 F Order1",3.10862446895044e-15,3.64667596778698,19,8.52454261472795e-16,1
"5","NR0 F Order1 - NR5 F Order1",0,3.10630372098698,19,0,1
"6","NR0 F Order1 - NR6 F Order1",4.44089209850063e-16,3.96453576849158,19,1.12015437817333e-16,1
"7","NR0 F Order1 - PR0 F Order1",-2.40000000000001,6.70378264522247,19,-0.358006833904496,1
"8","NR0 F Order1 - PR1 F Order1",-3.99999999999999,7.81810763660516,19,-0.511632761522954,1
"9","NR0 F Order1 - PR2 F Order1",-4.99999999999999,6.4017541455722,19,-0.781035929575374,1
"10","NR0 F Order1 - PR3 F Order1",-8.59999999999999,6.02628744343291,19,-1.42708094838253,0.999985334269833
"11","NR0 F Order1 - PR4 F Order1",-1.2,6.12698947281616,19,-0.195854751395295,1
"12","NR0 F Order1 - PR5 F Order1",2.22044604925031e-16,6.91108948681298,19,3.21287411121957e-17,1
"13","NR0 F Order1 - PR6 F Order1",-1.99840144432528e-15,4.50924975282289,19,-4.43178256665477e-16,1
"14","NR0 F Order1 - NR0 M Order1",0,0,19,NA,NA
"15","NR0 F Order1 - NR1 M Order1",4.44089209850063e-16,5.91499235019996,19,7.5078577208143e-17,1
"16","NR0 F Order1 - NR2 M Order1",-8.88178419700125e-16,5.10463612234217,19,-1.7399446276155e-16,1
"17","NR0 F Order1 - NR3 M Order1",-8.88178419700125e-16,4.83847276663311,19,-1.83565861076071e-16,1
"18","NR0 F Order1 - NR4 M Order1",2.22044604925031e-15,3.32894447911485,19,6.67012040357224e-16,1
"19","NR0 F Order1 - NR5 M Order1",-1.77635683940025e-15,2.835654364078,19,-6.26436304051401e-16,1
"20","NR0 F Order1 - NR6 M Order1",-0.5,3.61910945073153,19,-0.138155534339791,1
"21","NR0 F Order1 - PR0 M Order1",1.77635683940025e-15,6.11968829233333,19,2.90269169693765e-16,1
"22","NR0 F Order1 - PR1 M Order1",-6.66666666666667,7.13692318262008,19,-0.934109348815946,1
"23","NR0 F Order1 - PR2 M Order1",-6.66666666666666,5.84397525522018,19,-1.1407759916012,1
"24","NR0 F Order1 - PR3 M Order1",-6.5,5.50122261796391,19,-1.18155552890636,0.999999893119151
"25","NR0 F Order1 - PR4 M Order1",-7.83333333333334,5.59315057309683,19,-1.40052251963533,0.999990593854595
"26","NR0 F Order1 - PR5 M Order1",-10.1666666666667,6.30893268144045,19,-1.61147173064231,0.999796576136281
"27","NR0 F Order1 - PR6 M Order1",-7.83333333333334,4.11636301174282,19,-1.90297437592045,0.99619892776559
"28","NR0 F Order1 - NR0 F Order2",0,0,19,NA,NA
"29","NR0 F Order1 - NR1 F Order2",-11.3333333333333,5.91499235019996,19,-1.91603516324923,0.995780949766185
"30","NR0 F Order1 - NR2 F Order2",-10.3333333333333,5.10463612234217,19,-2.02430361061506,0.990669524707562
"31","NR0 F Order1 - NR3 F Order2",-11.8333333333333,4.83847276663311,19,-2.44567529963957,0.919656019999423
"32","NR0 F Order1 - NR4 F Order2",-0.666666666666667,3.32894447911485,19,-0.200263678426962,1
"33","NR0 F Order1 - NR5 F Order2",-1.66666666666667,2.835654364078,19,-0.587753813645259,1
"34","NR0 F Order1 - NR6 F Order2",-4.16666666666666,3.61910945073153,19,-1.15129611949825,0.999999949767473
"35","NR0 F Order1 - PR0 F Order2",-0.833333333333321,6.11968829233333,19,-0.136172512965621,1
"36","NR0 F Order1 - PR1 F Order2",-1,7.13692318262008,19,-0.140116402322392,1
"37","NR0 F Order1 - PR2 F Order2",-5.32907051820075e-15,5.84397525522018,19,-9.11891355706976e-16,1
"38","NR0 F Order1 - PR3 F Order2",-2.99760216648792e-15,5.50122261796391,19,-5.44897448196231e-16,1
"39","NR0 F Order1 - PR4 F Order2",-2.33333333333333,5.59315057309683,19,-0.417176920742437,1
"40","NR0 F Order1 - PR5 F Order2",-6.33333333333333,6.30893268144045,19,-1.00386763548209,1
"41","NR0 F Order1 - PR6 F Order2",-2.66666666666667,4.11636301174282,19,-0.647821064143133,1
"42","NR0 F Order1 - NR0 M Order2",0,0,19,NA,NA
"43","NR0 F Order1 - NR1 M Order2",4.44089209850063e-16,5.91499235019996,19,7.5078577208143e-17,1
"44","NR0 F Order1 - NR2 M Order2",-3.5527136788005e-15,5.10463612234217,19,-6.95977851046198e-16,1
"45","NR0 F Order1 - NR3 M Order2",-1.77635683940025e-15,4.83847276663311,19,-3.67131722152141e-16,1
"46","NR0 F Order1 - NR4 M Order2",-10,3.32894447911485,19,-3.00395517640443,0.659009229799925
"47","NR0 F Order1 - NR5 M Order2",-11.6666666666667,2.835654364078,19,-4.11427669551681,0.153444418880362
"48","NR0 F Order1 - NR6 M Order2",-15.8333333333333,3.61910945073153,19,-4.37492525409337,0.0987871010184181
"49","NR0 F Order1 - PR0 M Order2",-26.6666666666667,6.11968829233333,19,-4.35752041489994,0.101808454802191
"50","NR0 F Order1 - PR1 M Order2",-25.3333333333333,7.13692318262008,19,-3.54961552550059,0.358129128319672
"51","NR0 F Order1 - PR2 M Order2",-22,5.84397525522018,19,-3.76456077228396,0.264822125341175
"52","NR0 F Order1 - PR3 M Order2",-16.6666666666667,5.50122261796391,19,-3.02962956129837,0.644162115095582
"53","NR0 F Order1 - PR4 M Order2",-16.3333333333333,5.59315057309683,19,-2.92023844519706,0.706665729334555
"54","NR0 F Order1 - PR5 M Order2",-22.3333333333333,6.30893268144045,19,-3.53995429354212,0.362763255639937
"55","NR0 F Order1 - PR6 M Order2",-12.5,4.11636301174282,19,-3.03666123817094,0.640083411824901
"56","NR1 F Order1 - NR2 F Order1",2,1.22259430806186,19,1.63586562346305,0.999726489508288
"57","NR1 F Order1 - NR3 F Order1",1.6,2.06397674405503,19,0.775202532978416,1
"58","NR1 F Order1 - NR4 F Order1",2.60000000000001,7.49914615022645,19,0.346706137994323,1
"59","NR1 F Order1 - NR5 F Order1",2.6,7.3498060602173,19,0.353750830797178,1
"60","NR1 F Order1 - NR6 F Order1",2.6,7.97916145618446,19,0.325848776751447,1
"61","NR1 F Order1 - PR0 F Order1",0.199999999999997,9.42205326451184,19,0.0212267957296842,1
"62","NR1 F Order1 - PR1 F Order1",-1.39999999999999,10.2778248774012,19,-0.136215591985645,1
"63","NR1 F Order1 - PR2 F Order1",-2.39999999999998,9.18343283290574,19,-0.261340181135794,1
"64","NR1 F Order1 - PR3 F Order1",-5.99999999999999,8.93495010245347,19,-0.671520258221972,1
"65","NR1 F Order1 - PR4 F Order1",1.40000000000001,9.1210379526309,19,0.153491302993228,1
"66","NR1 F Order1 - PR5 F Order1",2.6,9.94054253876076,19,0.261555140462598,1
"67","NR1 F Order1 - PR6 F Order1",2.6,8.1323698020006,19,0.319710006222342,1
"68","NR1 F Order1 - NR0 M Order1",2.6,6.47954947535002,19,0.401262465838267,1
"69","NR1 F Order1 - NR1 M Order1",2.6,8.77335146374706,19,0.296351971164455,1
"70","NR1 F Order1 - NR2 M Order1",2.6,8.24874968374173,19,0.31519928470185,1
"71","NR1 F Order1 - NR3 M Order1",2.6,8.0867410071647,19,0.321513944578719,1
"72","NR1 F Order1 - NR4 M Order1",2.6,7.284671080326,19,0.356913849826649,1
"73","NR1 F Order1 - NR5 M Order1",2.6,7.07287049761435,19,0.367601810449799,1
"74","NR1 F Order1 - NR6 M Order1",2.1,7.42175953665187,19,0.28295177034897,1
"75","NR1 F Order1 - PR0 M Order1",2.6,8.91263968747926,19,0.291720532992326,1
"76","NR1 F Order1 - PR1 M Order1",-4.06666666666667,9.63951419513083,19,-0.421874648903038,1
"77","NR1 F Order1 - PR2 M Order1",-4.06666666666666,8.72562938630415,19,-0.466059981077096,1
"78","NR1 F Order1 - PR3 M Order1",-3.9,8.49988304013099,19,-0.458829842903332,1
"79","NR1 F Order1 - PR4 M Order1",-5.23333333333333,8.55966674216013,19,-0.611394519316607,1
"80","NR1 F Order1 - PR5 M Order1",-7.56666666666667,9.04362720275754,19,-0.836684938136269,1
"81","NR1 F Order1 - PR6 M Order1",-5.23333333333334,7.67652303116152,19,-0.681732251970003,1
"82","NR1 F Order1 - NR0 F Order2",2.6,6.47954947535002,19,0.401262465838267,1
"83","NR1 F Order1 - NR1 F Order2",-8.73333333333333,8.77335146374706,19,-0.995438672372914,1
"84","NR1 F Order1 - NR2 F Order2",-7.73333333333333,8.24874968374173,19,-0.937515821164475,1
"85","NR1 F Order1 - NR3 F Order2",-9.23333333333333,8.0867410071647,19,-1.14178670061929,1
"86","NR1 F Order1 - NR4 F Order2",1.93333333333334,7.284671080326,19,0.265397478076226,1
"87","NR1 F Order1 - NR5 F Order2",0.933333333333336,7.07287049761435,19,0.131959624264031,1
"88","NR1 F Order1 - NR6 F Order2",-1.56666666666666,7.42175953665187,19,-0.211091003276215,1
"89","NR1 F Order1 - PR0 F Order2",1.76666666666668,8.91263968747926,19,0.198220362161453,1
"90","NR1 F Order1 - PR1 F Order2",1.6,9.63951419513083,19,0.165983468420868,1
"91","NR1 F Order1 - PR2 F Order2",2.6,8.72562938630415,19,0.297972774786996,1
"92","NR1 F Order1 - PR3 F Order2",2.6,8.49988304013099,19,0.305886561935555,1
"93","NR1 F Order1 - PR4 F Order2",0.266666666666671,8.55966674216013,19,0.0311538608568977,1
"94","NR1 F Order1 - PR5 F Order2",-3.73333333333333,9.04362720275754,19,-0.412813713970317,1
"95","NR1 F Order1 - PR6 F Order2",-0.0666666666666631,7.67652303116152,19,-0.00868448728624161,1
"96","NR1 F Order1 - NR0 M Order2",2.6,6.47954947535002,19,0.401262465838267,1
"97","NR1 F Order1 - NR1 M Order2",2.6,8.77335146374707,19,0.296351971164455,1
"98","NR1 F Order1 - NR2 M Order2",2.6,8.24874968374173,19,0.315199284701849,1
"99","NR1 F Order1 - NR3 M Order2",2.6,8.0867410071647,19,0.321513944578719,1
"100","NR1 F Order1 - NR4 M Order2",-7.4,7.284671080326,19,-1.01583172642969,1
"101","NR1 F Order1 - NR5 M Order2",-9.06666666666666,7.07287049761435,19,-1.28189349285058,0.999998986891544
