"","contrast","estimate","SE","df","t.ratio","p.value"
"1","NR0 order1 - NR1 order1",-5.99545454545454,2.1293975751302,21,-2.81556371411193,0.531684246838084
"2","NR0 order1 - NR2 order1",-7.05757575757575,2.53704809332128,21,-2.78180605884242,0.552211542446965
"3","NR0 order1 - NR3 order1",-8.18333333333333,2.80822476714258,21,-2.91405924094175,0.472989208645042
"4","NR0 order1 - NR4 order1",-11.4590909090909,2.90375919336118,21,-3.94629518015462,0.089140482089233
"5","NR0 order1 - NR5 order1",-12.3484848484848,2.53008540602993,21,-4.88065929278703,0.0134433511215943
"6","NR0 order1 - NR6 order1",-11.8545454545454,2.91766658428266,21,-4.06302266283795,0.0712413115982394
"7","NR0 order1 - PR0 order1",-7.2560606060606,2.95717534438893,21,-2.45371334500964,0.749175226597464
"8","NR0 order1 - PR1 order1",-5.22121212121211,3.34544608354962,21,-1.56069235337137,0.995728010608479
"9","NR0 order1 - PR2 order1",-4.08030303030302,2.54358337424003,21,-1.60415540989378,0.993993107682031
"10","NR0 order1 - PR3 order1",-4.18939393939393,2.80375498607691,21,-1.49420828859795,0.997571285636859
"11","NR0 order1 - PR4 order1",-8.15454545454545,2.93861824856177,21,-2.77495910145406,0.556392166688715
"12","NR0 order1 - PR5 order1",-7.28939393939392,3.01505472735804,21,-2.41766554790907,0.769098278451594
"13","NR0 order1 - PR6 order1",-5.60454545454543,2.8539783142125,21,-1.96376595667718,0.949208334468962
"14","NR0 order1 - NR0 order2",-4.60820707070708,2.32227063804984,21,-1.98435401765958,0.944306448775061
"15","NR0 order1 - NR1 order2",-6.94154040404041,3.03101340266196,21,-2.29017146474643,0.83407255747284
"16","NR0 order1 - NR2 order2",-9.43042929292928,2.87763410070128,21,-3.2771467681145,0.285178554095719
"17","NR0 order1 - NR3 order2",-10.5304292929293,2.66427885805071,21,-3.95245012026773,0.0881039879243722
"18","NR0 order1 - NR4 order2",-12.3970959595959,2.76686898358141,21,-4.48055041028696,0.0309152213176954
"19","NR0 order1 - NR5 order2",-15.4901515151515,2.50027008540057,21,-6.19539129216507,0.000817841859772628
"20","NR0 order1 - NR6 order2",-15.845707070707,2.94573054902425,21,-5.37921130497011,0.00465974471852582
"21","NR0 order1 - PR0 order2",-18.7637626262626,2.71955931820648,21,-6.8995599767381,0.000187411514212421
"22","NR0 order1 - PR1 order2",-15.9318181818182,3.08865169792195,21,-5.15817895314552,0.00746633731279644
"23","NR0 order1 - PR2 order2",-11.5554292929293,2.27607514745059,21,-5.07691027067906,0.00887459250040645
"24","NR0 order1 - PR3 order2",-10.0748737373737,2.69913472840263,21,-3.73263091736667,0.132508735672103
"25","NR0 order1 - PR4 order2",-8.08598484848486,3.1239045644422,21,-2.58842249552802,0.670463472570174
"26","NR0 order1 - PR5 order2",-11.7332070707071,2.94109044851347,21,-3.98940708424572,0.0821047168292264
