"contrast","estimate","SE","df","t.ratio","p.value"
"PR0 Order2 - PR1 Order2",2.83194444472221,2.48329600881249,21,1.14039745349425,0.497826270146737
"PR0 Order2 - PR2 Order2",7.20833333333333,1.96464499245151,21,3.6690258856073,0.0117971027832773
"PR0 Order2 - PR3 Order2",8.68888888888887,1.86535014354579,21,4.65804713337756,0.00161861633276677
"PR0 Order2 - PR4 Order2",10.6777777777778,2.56279761802327,21,4.166453762359,0.00480056565925264
"PR0 Order2 - PR5 Order2",7.03055555527776,2.67413134842056,21,2.62909881350079,0.0784107302763804
"PR0 Order2 - PR6 Order2",6.12500000000001,2.58437167840701,21,2.37001513798334,0.109765491150989
"PR0 Order2 - NR0 Order2",14.1555555555555,2.83127983708915,21,4.99970203231797,0.00077973764431016
"PR0 Order2 - NR1 Order2",11.8222222222222,3.1904314358814,21,3.70552461628317,0.0117971027832773
"PR0 Order2 - NR2 Order2",9.33333333333332,3.26711254331519,21,2.85675293078905,0.0661087209546164
"PR0 Order2 - NR3 Order2",8.23333333333331,2.00074130483391,21,4.11514137956821,0.00493393494092634
"PR0 Order2 - NR4 Order2",6.36666666666666,2.33450170022003,21,2.72720583843078,0.0757422529068077
"PR0 Order2 - NR5 Order2",3.2736111111111,2.38443374799137,21,1.37290923426527,0.497826270146737
"PR0 Order2 - NR6 Order2",2.91805555555556,2.03312727339645,21,1.43525473969998,0.497826270146737
